UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,CLUSTER
AC,39218.0,1.1953422222450114,455.22352746187977,538.1072033250039,480.7887781120915,428.5969478300781,511.47457799989803,482.8382069457902,0
AL,97140.0,1.1661418079112456,462.28963043030683,541.2791846819025,485.98481675931646,441.58416718138767,531.9349804406012,492.6145558987029,0
AM,100324.0,1.1814048995462334,457.4573332403014,539.7016386906423,485.0033690841673,432.0391072923727,530.1499641162633,488.8702824847494,0
AP,30836.0,1.3031445769157017,460.67330068750806,540.9291509923466,486.9249286548191,431.2195680373589,529.0101180438448,489.75141328317545,0
BA,412873.0,1.1992716276505009,467.3104501868613,551.0016622544947,493.9659042853371,445.55325850806423,531.4480239686296,497.85585984067734,1
CE,333908.0,0.9697581657026754,466.42374785869157,548.3891850449824,491.90977245229226,456.6512410604119,535.3617014267403,499.7471295686237,1
DF,105967.0,2.6035874762702704,485.2442817103438,563.7217605480952,515.4096454556607,468.49943284229994,548.074409957817,516.1899061028432,2
ES,108479.0,1.9110742064031028,485.30988670618274,563.2971017431946,508.32962601056425,479.79381723651585,534.5669392232599,514.2594741839434,2
GO,180098.0,1.9610355661012533,478.99313651456424,555.2472864773623,502.70345034370166,462.52303468111813,532.3511421559373,506.36361003453675,1
MA,194557.0,1.0891602709247792,458.4168212914467,539.6647954070015,484.5548368858484,435.8975878534312,522.249710881644,488.1567504638743,0
MG,607001.0,1.9150151386693117,490.0248149508814,568.2716941158251,513.7055843400589,485.9978074171212,548.3548280810081,521.270945780979,2
MS,83852.0,1.7512426294913837,475.4021168248819,550.6536874493155,494.8326122215331,453.80497424032825,519.1297643467061,498.76463101655304,1
MT,99852.0,1.9553931265294229,470.16273284461005,545.4485658774987,488.8239254096062,445.0101820694628,514.5618515402796,492.8014515482915,0
PA,260393.0,1.2277433691272601,463.81587830702057,545.7930025000672,488.75029167450737,439.5511803312685,528.9691504763953,493.3759006578518,0
PB,159344.0,1.1427421208988873,468.7982139271012,552.0714090270108,494.5163225474445,451.3397448287981,539.15910231951,501.1769585299731,1
PE,285385.0,1.2374852217022263,470.67594968200854,552.9923920318167,498.2003377893022,457.48657953291166,533.3454666503145,502.54014513727066,1
PI,117114.0,1.0499635325415784,464.1161278754035,543.2127346004747,486.34787301262014,445.00047560496614,523.6298478405656,492.4614117868059,0
PR,263723.0,2.462793349336825,488.0363070342746,568.1993690349343,514.5166314655908,476.3259677767961,540.540870534614,517.523829169242,2
RJ,386174.0,2.1385520530447515,486.93601925556874,571.6184719841316,522.186974006536,482.1404928866262,563.3465354995417,525.2456987264809,2
RN,131348.0,1.2742321250012538,474.7553757955964,555.116186009684,498.9210387672442,456.9968031488869,543.6258793434235,505.88305661296704,1
RO,62373.0,1.687081536225064,468.1862456511631,546.4867490741186,487.9819537299793,441.93210203132764,506.8705369310439,490.2915174835265,0
RR,13557.0,1.2861692176619468,465.9724865383197,543.5545843475695,488.891310761968,438.38408940030973,524.7400604853582,492.3085063067051,0
RS,291909.0,2.2641740657665568,482.2308030927447,567.2400724198296,516.0955064763333,475.7975889746462,541.5994916223892,516.5926925171885,2
SC,119924.0,2.812392858791858,489.9506695907408,570.0797029785531,517.8607251259131,485.1398293919483,551.12626330009,522.831438077449,2
SE,75159.0,1.1640618434228671,466.29566652031025,546.4280658337658,487.96900836892456,445.63622985936485,533.3611144373928,495.93801700395153,1
SP,863341.0,2.6115287446257556,491.0679392036286,570.6655473329774,524.4748179456321,485.8839649686508,549.7737510439097,524.3732040989596,2
TO,31081.0,1.4109150589017085,456.16958592065896,534.8689167015218,475.27746533251826,436.55892345806114,499.82516650043436,480.5400115826389,0
