NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
ALVARÃES,AM,67,400.5223880597015,461.8268656716418,456.3597014925373,396.8388059701493,485.97014925373134,440.3035820895522,1.2949438202247192
ALVINÓPOLIS,MG,265,485.10830188679245,520.6192452830189,509.6377358490566,530.392075471698,587.2452830188679,526.6005283018868,2.057098765432099
ALVORADA,RS,1530,484.5881045751634,527.5230718954249,526.8617647058824,510.1842483660131,575.9869281045752,525.0288235294117,2.289554195804196
ALVORADA D'OESTE,RO,211,471.3312796208531,485.13744075829385,482.2535545023697,490.5440758293839,612.0379146919431,508.2608530805687,2.293307086614173
ALVORADA DO NORTE,GO,273,470.2315018315018,476.5659340659341,492.1582417582418,487.2699633699634,559.7802197802198,497.20117216117217,1.6223880597014926
ALVORADA DO SUL,PR,237,489.20084388185654,516.2700421940929,519.1776371308017,521.3978902953587,586.4978902953586,526.5088607594937,2.642857142857143
ALÉM PARAÍBA,MG,648,498.3757716049383,531.8558641975309,527.6666666666666,550.0765432098765,677.3456790123457,557.0641049382715,2.335066864784547
AMAMBAI,MS,515,465.9499029126214,508.4897087378641,498.7652427184466,493.91844660194175,560.2718446601941,505.47902912621356,2.080030487804878
AMAPÁ,AP,179,440.4022346368715,463.1379888268156,454.2262569832402,431.34748603351954,548.7150837988827,467.56581005586594,1.3763736263736264
AMARANTE,PI,494,443.7933198380567,465.6811740890688,465.5599190283401,445.3378542510121,539.5546558704453,471.98538461538465,1.0
AMARANTE DO MARANHÃO,MA,580,443.58706896551723,465.83241379310346,466.171724137931,449.36879310344824,544.6206896551724,473.91613793103454,1.4217791411042944
AMARGOSA,BA,1199,479.15646371976646,503.98198498748957,495.3646371976647,492.8246038365304,599.9332777314429,514.2521934945788,1.348623853211009
AMERICANA,SP,2367,524.5328263624841,561.1809885931558,550.770933671314,593.4421208280523,668.8212927756654,579.7496324461343,4.615848753016895
AMONTADA,CE,929,449.09547900968784,469.7199138858988,478.0485468245425,485.9706135629709,549.6447793326157,486.4958665231431,0.8654684095860566
AMPARO,SP,991,528.826740665994,560.9605449041372,549.4985872855701,600.2619576185671,649.6064581231079,577.8308577194753,3.466893865628043
AMPÉRE,PR,321,503.26230529595017,539.516199376947,530.5034267912773,544.8657320872273,613.208722741433,546.271277258567,2.778877887788779
AMÉLIA RODRIGUES,BA,368,472.3,496.03940217391306,498.035597826087,485.46358695652174,599.7826086956521,510.32423913043476,1.3609865470852018
ANAGÉ,BA,481,465.1706860706861,489.4900207900208,479.30706860706863,474.0902286902287,595.8004158004157,500.77168399168403,1.0673758865248226
ANAJATUBA,MA,217,455.26866359447007,474.3995391705069,474.97373271889404,461.81520737327185,606.5437788018434,494.6001843317973,1.0929487179487178
ANAJÁS,PA,198,445.0232323232324,459.30707070707075,455.1818181818182,441.25656565656567,511.8181818181818,462.51737373737376,1.09375
