MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,RENDA_FAMILIAR_SM_MEDIA
ABAETETUBA,PA,4078,462.99656694458065,476.62614026483567,490.8384747425209,466.6885237861697,572.972045120157,494.0243501716528,0.8841381623071763
ABAETÉ,MG,530,492.0254716981132,522.3498113207547,533.6171698113208,539.0030188679245,604.0377358490566,538.2066415094339,1.4893117831074036
ABREU E LIMA,PE,1596,474.2505012531329,488.29843358395993,515.2845238095238,492.1638471177945,554.8872180451128,504.97690476190473,1.048085619535725
ACARAPE,CE,381,450.5619422572179,466.246719160105,489.8238845144357,472.13280839895015,575.01312335958,490.7556955380578,0.780373831775701
ACARAÚ,CE,727,469.59298486932596,489.9110041265474,509.4792297111417,512.6237964236589,629.5735900962861,522.2361210453921,0.683186490455213
ACARI,RN,363,476.4669421487603,500.1650137741047,510.1107438016529,504.6520661157025,607.32782369146,519.7445179063361,1.2797520661157025
ACARÁ,PA,467,447.29164882226985,468.8817987152034,479.31648822269807,451.5871520342613,550.9635974304068,479.608137044968,0.7841478696741855
ACOPIARA,CE,681,462.3187958883994,485.9020558002937,500.9894273127753,492.35418502202646,582.9368575624082,504.9002643171806,0.791599025974026
ACRELÂNDIA,AC,226,463.4942477876106,482.5938053097345,496.53982300884957,480.9300884955752,529.3805309734513,490.58769911504424,0.9581866197183099
ACREÚNA,GO,262,478.737786259542,501.07595419847326,518.2503816793893,506.1812977099237,547.6335877862596,510.3758015267175,1.4525157232704402
ADAMANTINA,SP,262,531.0912213740457,566.4553435114503,562.5786259541985,586.2862595419847,650.9160305343512,579.465496183206,2.359777015437393
AFOGADOS DA INGAZEIRA,PE,550,482.4078181818182,511.14599999999996,524.0956363636363,514.9030909090909,590.9454545454546,524.6995999999999,0.9742807323452485
AFONSO CLÁUDIO,ES,404,493.2287128712871,517.8165841584158,517.5514851485149,521.4047029702971,586.2376237623762,527.2478217821782,1.3076923076923077
AFRÂNIO,PE,509,457.53064833005897,472.46129666011785,490.4893909626719,491.5294695481336,550.2554027504912,492.4532416502947,0.6998364231188658
AGRESTINA,PE,352,474.21846590909087,497.4625,505.9275568181818,489.32471590909086,567.1022727272727,506.8071022727272,0.7230392156862745
AGUDOS,SP,238,518.8289915966386,546.6361344537814,557.1852941176471,566.8991596638656,621.1764705882352,562.1452100840336,2.241228070175439
AIMORÉS,MG,308,502.77467532467534,530.6948051948052,541.5548701298701,544.0314935064936,621.5584415584416,548.1228571428571,1.562807881773399
ALAGOA GRANDE,PB,627,465.16379585326956,481.9231259968102,494.9162679425837,472.0098883572568,568.5805422647528,496.5187240829347,0.8599340866290018
ALAGOA NOVA,PB,612,464.8063725490196,486.25833333333327,496.45882352941175,473.13022875816995,567.2222222222222,497.5751960784313,0.8783649052841476
ALAGOINHA,PB,413,453.07433414043584,468.0191283292978,486.7409200968523,461.68280871670703,552.3970944309928,484.3828571428571,0.72255291005291
ALAGOINHAS,BA,2659,479.513463708161,495.4726212861978,514.3708913125234,488.31022940955245,552.5460699511094,506.04265513350884,1.0605979711692473
ALCÂNTARA,MA,192,456.5046875,468.21510416666666,480.70625,459.79062500000003,538.4375,480.73083333333335,0.974502487562189
ALEGRE,ES,746,506.01957104557636,524.6312332439678,528.9548257372654,534.1028150134049,602.1447721179625,539.1706434316354,1.456825938566553
ALEGRETE,RS,981,479.6896024464832,511.6388379204893,530.8094801223241,504.25575942915395,575.6167176350663,520.4020795107033,1.6226034308779012
ALENQUER,PA,747,440.5993306559572,456.6439089692102,476.7746987951807,444.9923694779116,518.5542168674699,467.5129049531459,0.687584803256445
ALEXANDRIA,RN,516,468.56007751937983,482.8953488372093,497.35562015503876,485.8027131782946,572.4806201550388,501.4188759689922,0.8427895981087471
ALEXÂNIA,GO,261,475.883908045977,494.13639846743297,512.3360153256706,485.43409961685825,543.2950191570882,502.2170881226054,1.3139810426540284
ALFENAS,MG,1823,508.31936368623144,532.623038946791,540.8550740537576,545.3930883159627,632.8250137136588,552.0031157432803,1.7550791556728231
ALHANDRA,PB,296,452.25168918918916,472.09358108108114,489.9554054054054,470.2331081081081,533.2432432432432,483.5554054054054,0.8687214611872146
ALIANÇA,PE,494,463.3034412955465,476.32530364372474,501.4904858299595,476.3917004048583,569.0283400809717,497.30785425101215,0.8370986920332937
