NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL
-0.703998795709329,-0.8909805072252587,-0.98788652323864,-1.04578362024324,-0.1090548231095859,-0.7367180384357942
0.6646706652236376,0.8124837384000367,0.781347300267664,0.9996680616581028,0.7965017250254716,0.8584369929245332
-0.1986060512191335,-0.4807947133010678,-0.011141548367843526,-0.3537409837763013,-0.5054034534870246,-0.35095849606204604
-1.1760052317628507,-1.214524296866441,-1.0105067941392862,-0.8791444141058811,0.012864549492035185,-0.8015479878759232
-0.40930854035005765,-0.42237576195447385,-0.25655945218438014,0.1686542835961778,1.2383950382156488,0.19444045895608053
-0.06203057793408482,-0.050762357214000506,-0.22955504453282513,-0.012716135200834745,0.7485982594138912,0.14457419777276745
-1.3609348815753382,-1.2812415110119237,-1.4221962000216353,-1.4415222560928964,-0.7667139955862612,-1.2671533781345499
-0.789202717459461,-0.6739489021936773,-0.7352140885954476,-0.45749714713932566,-0.29344183570325577,-0.5716374493036142
-0.6599723874377811,-0.8167202799917331,-0.8416079036539273,-0.7717210663427341,-1.2053338848552997,-0.9257214590233034
-0.02614365836449887,-0.028891669202854766,0.07993441597971636,-0.02031466004941693,-0.6801242095464459,-0.18849842966004818
2.3056469672825917,2.322359593498228,1.922080086340431,2.2983776435559347,2.0812483561396657,2.2724388612944026
0.09648072495754237,0.21057018860706886,0.2728049252667445,0.23158351803225394,0.26408117139180937,0.23188346895843356
0.5522526436436591,0.546938397827302,0.0780863324750992,0.4135694583063559,0.2113154368633209,0.363908222812489
-1.0016411638112177,-1.0808898151460788,-1.0352978527767813,-0.46402911155011234,-1.1399345721315284,-0.9692441232676029
-0.1703935010324319,-0.08871220054017956,-0.32611058761080847,-0.37289163149596116,0.05995559469738342,-0.17464379218071185
1.7137765646573389,1.575965639151214,1.6159346281169424,1.709183462334479,1.2778911927586358,1.6185968599706577
1.0335355081969406,1.037330506004617,1.018918730521653,1.0727577716156973,1.3218328279756464,1.16273492739941
-0.5832328219561363,-0.6679277535046264,-0.740228844096972,-0.874864350995959,-0.08554396185839083,-0.5842548318183997
-0.5969527103717551,-0.5371687772869982,-0.6867168708046595,-0.8537249848439998,-0.1226069055022989,-0.5572924871832284
-1.1436263075208006,-1.185848090342388,-1.1938198948865197,-1.1517059894807051,-0.7108714049528166,-1.0891549733655765
0.008930615244783457,-0.2209716847717324,-0.049859055203195064,-0.4591456377181533,-0.47085104755413454,-0.2919637087096162
-0.9040677744756987,-1.187302503894084,-1.3922085518298344,-1.2043372439820832,-0.7055967323028126,-1.0975743453464855
1.0900462085370253,0.7144027663177133,0.49009040536372783,0.7507949793232302,0.5945675412442109,0.7393092678419435
0.06387414643561774,0.3736875123453148,0.638488213414365,0.0077197321092882945,0.1364723496878805,0.2306259215093237
-1.6411111155362688,-1.6220101733566121,-1.5940572614094997,-1.633574398683897,-1.623832693741437,-1.6891497763661334
-0.4233017466570256,-0.6530991817438037,-0.7319179149425007,-0.5048202759400133,-0.0933111500819627,-0.46629714793022004
-0.15222623625848022,-0.3061353739987006,-0.16746329484465003,-0.5421273613931366,-0.7683465545359651,-0.45608246928415336
1.3054338850237388,1.1594936650881897,1.0622267736835485,1.1504360099849837,1.5847799654861274,1.327607362625425
-1.1007177508212336,-1.057181720401082,-0.9780688642401143,-0.967988934287531,-1.2706614743430618,-1.1301566770996503
-0.707618359688291,-0.9249004153674959,-0.5771284205529613,-0.8151690448974992,-0.29779318655117354,-0.6685678482814841
-1.36883362554784,-1.2472347230401213,-1.578223228793557,-1.5511167190378716,-1.7575226318953705,-1.5890302081534813
-0.39547794230183253,-0.2295526165795602,-0.015500737131278216,-0.32471583628299827,-0.11037806479516496,-0.21843842662878413
0.3062801970118356,0.5291510304307502,0.4669972530878941,0.13164404633407475,-0.26335883566741447,0.18877274005566777
0.9159162650212452,0.7458184183305976,0.7064168976138044,1.2545089065858457,1.587066955737687,1.1528042389894966
0.12865240436461667,0.2575200993192611,0.24833072019907693,0.1045200725278659,0.6734085173584098,0.3234071772569247
0.19196506489553045,0.03001228324455174,0.04557220220498071,-0.16952540788631704,0.2591472188944839,0.07345527999044642
-0.5870265854064093,-0.6617126996559493,-0.6957464051661264,-0.8154947329028889,-0.4653606864676564,-0.6662371264205992
-0.5214421247193736,-0.2612307674212469,-0.2674476752689053,-0.2647404025928519,-0.3275696493314052,-0.33270772842915336
-1.1633224686683334,-1.5767468609668602,-1.4998483489486778,-1.3220053260320113,-1.8692307202348053,-1.5808527385195665
-0.9628446260322273,-1.0297009746187005,-0.9953650559885795,-1.0078882535527247,-0.8124903265115523,-0.9897141062879177
-0.7961806604722128,-0.7281688821470472,-0.433273213402962,-0.7252980980931832,-1.3686850700448623,-0.893566983635834
-0.8204350162527577,-0.5511632851583265,-0.4817142391602562,-0.2895890537163857,-0.09646296783763683,-0.4139276132831336
-0.8898636027555011,-0.9386130100380764,-0.9989044247284904,-0.8196786535777727,-0.713945256766972,-0.8881461039371628
-1.6479032316323183,-1.2716302865122664,-1.81202565420058,-1.361896608912447,-1.9823011023344765,-1.6930857370622059
0.14607967592362836,0.5417722318566784,0.34478934755435314,0.6008486491768432,0.13654908939416224,0.37065239402000955
-0.036212809742587365,0.27010908012097584,0.68006884361475,-0.021527021612505214,-0.45707020095635037,0.031424799665494135
-0.5859057756027315,-0.5569011421190201,-0.741022436340258,-0.7667027941207756,-0.5754390893542981,-0.672253121735588
-0.9184592080254006,-1.104435078434964,-0.7751731780253204,-1.0869703033269709,-1.9821906460836467,-1.3013213033013227
0.3614813667809565,0.2403354114493628,0.6310848720737608,0.3105342202172083,-0.16065774847014874,0.24279115838108484
1.1565323505555136,1.4004874952744994,1.2812568499218384,1.469732659897063,2.1412853209018614,1.619909328073387
0.03169536731258687,-0.09969703203989849,-0.06754150376654913,0.1396018228760017,-0.7621492963674396,-0.20170133405922333
-1.8126763232585081,-2.152388556738839,-2.563464581936788,-1.9751532979348008,-2.104431671017643,-2.2003249179344113
-1.42410198290317,-1.5587167688005534,-1.4441797867227348,-1.4088173766287613,-1.2466793597456667,-1.4581365861578122
-1.3004091426406563,-1.4639396370852555,-1.3912189989623847,-1.1661027859314437,-0.8242325482881636,-1.2354675866865634
-0.3451835902416438,-0.4970294784115881,-0.600956125719579,-0.663645205404726,-0.7240594129433846,-0.6148236898514992
2.3997133325222784,2.1805119229724164,2.056932305980771,2.389542488255181,1.9086288169710428,2.258031813543628
-1.0978121180793259,-1.0578749908986058,-1.0439270767164335,-0.5597077339033752,-0.5728668372620932,-0.8483922695475888
2.0489031699161107,2.0051147048318994,1.8164794000094824,1.9989873120464308,1.2344972464072521,1.8464978301870445
0.5497308521456384,0.7639531052125088,0.49682366202531875,0.7808752319910809,-0.16297017002667505,0.46382419763353744
-0.49075754524716914,-0.5867463856683577,-0.25898947733355887,-0.7427681672527406,-0.12548779193467613,-0.4501381818642714
-0.9496219636959509,-0.7699888138804518,-0.9011645975727571,-1.0206199855450346,-0.3920872554357682,-0.8090360988860443
-1.1270126786739825,-1.3617011678398019,-0.9291455134083975,-1.2125423424257598,0.15494623491736392,-0.8506121357690255
-1.6379011933447076,-1.3897129246325948,-1.4513547002161744,-1.7758640460166126,-1.5011985465707745,-1.6208912231475918
-1.4614012274419286,-1.5490384751164739,-1.4420746637210866,-1.22875752700501,-2.1034912947674425,-1.6539694597284507
-0.005511569752312805,-0.08988367895931064,-0.04541915916252357,-0.4250259342185639,-0.030863687674033018,-0.13867547873135216
-1.2190351937211972,-0.9158127922654967,-0.9550101275635274,-1.1622259140476807,-0.8827311188228176,-1.0583663207794287
-0.9648112481227478,-0.8534588456853266,-0.8589857311508801,-1.1676604864002653,-1.5184400769737747,-1.166961699783532
0.9764599891326585,0.8606837001921164,0.9022218620879189,0.842360455253908,0.9909050293828032,0.9521774358405756
1.4375724954249722,1.2576057753334138,1.2622547464679803,1.402198126561018,1.2981318873979937,1.3840922946029925
1.0824144061383492,0.6708650032802507,0.980492924885958,1.1423520045431845,0.7915965869252704,0.9646494184339006
0.4502456550140128,0.6571578592123635,0.4932649670298782,0.5384893166626881,0.6546818889629354,0.5933970987959303
-0.9941765496139587,-0.9282989078881864,-0.8414945387167139,-0.6695929494352157,-0.6503502545945652,-0.8210174462449368
