UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,CLUSTER
AC,34927.0,1.0326739114919614,487.5798923468949,491.2125318521488,487.8900163197525,480.02506370429757,487.78709880608125,486.8989206058351,0
AL,77940.0,0.9996308439060365,493.1514267385168,498.9115858352579,492.7874724146779,493.6868142160636,513.3877341544778,498.38500667179886,0
AM,89847.0,0.9458955157531671,490.5073870023485,494.8683940476589,491.5969336761383,483.85950337796487,487.34982804100304,489.63640922902266,0
AP,32457.0,1.048072332286064,488.0424684967803,498.4116677450165,489.4902979326494,479.40602027297655,497.68370459377024,490.6068318082386,0
BA,310570.0,1.0358040165566804,501.79394114048364,510.4349734359403,500.2733960137811,497.7553192516985,522.9223685481534,506.63599967801144,1
CE,249462.0,0.8897620735659805,502.3197112185424,512.3812704941032,502.9463878266029,513.9101229846631,527.7799424361225,511.8674869920069,1
DF,83359.0,2.046759315169025,523.4261951318994,535.983490684869,527.1940306385634,527.9308329034657,549.544980146115,532.8159059009824,2
ES,89723.0,1.6418910559671356,521.8922650825317,533.3239604114888,518.3706284899077,534.6198889916743,541.9664968848567,530.0346479720919,2
GO,142777.0,1.6731201518256458,514.428510194219,521.8487515496195,512.1534399798287,519.3228867394608,538.9278385174083,521.3362853961073,1
MA,196414.0,0.8849098163001575,490.2433568890202,494.2171331982444,487.2155941022535,484.21209180608304,491.8713533658497,489.5519058722901,0
MG,482084.0,1.6753641679582143,524.3541774877408,536.874822022718,523.1195980368567,540.6775462367553,551.6641913027605,535.3380670173664,2
MS,53594.0,1.5966922870440676,511.36600925476745,516.9208810687765,509.7942456245101,513.7563869089824,516.8675598014703,513.7410165317013,1
MT,75064.0,1.7457502794889739,504.61132100607483,510.09114089310464,499.17833848449317,502.8773793029947,498.34567835447086,503.0207716082277,1
PA,239975.0,1.0584052056205164,495.88385081779353,503.50774747369513,491.5548144598395,486.3724567142411,511.1056568392541,497.68490526096474,0
PB,129643.0,0.9965338534276866,501.37727143000393,509.505836797976,501.21535293074055,506.0050762478499,522.1818378161566,508.0570750445453,1
PE,249414.0,1.05616531459595,500.75177816802585,509.08919026197407,503.80981540731466,509.4698589493773,515.519658078536,507.7280601730456,1
PI,108104.0,0.8876761498008516,495.44306131132987,500.1665609043144,490.31059720269366,495.98877377340335,512.7897210093984,498.9397428402279,0
PR,187773.0,2.14897364605163,524.4793793569895,537.9960617341152,525.6330526753048,535.9801702055141,533.2310822109675,531.4639492365782,2
RJ,292872.0,1.79737120000031,521.1068678467043,538.6653749760987,528.0634802917315,539.3009656095496,555.7046081564642,536.5682593761097,2
RN,107388.0,1.1120504852337678,506.9891114463441,513.1740278243379,505.2131867620218,510.45059876336273,521.188214698104,511.4030278988341,1
RO,51420.0,1.522453799962072,498.14127771295216,504.2207467911319,495.2748580318942,494.3210598988721,490.7954103461688,496.55067055620384,0
RR,11718.0,1.2459232789165067,500.8574842123229,505.50519713261644,495.65755248335887,492.49266086362854,485.46168288103775,495.994915514593,0
RS,197064.0,2.13503915771609,520.4501359964275,535.2332374254049,527.5526849145455,535.8777244955953,543.9540453862704,532.6135656436487,2
SC,86449.0,2.43908219359385,529.185552175271,541.3559879235156,528.023749262571,545.7872294647711,544.224224687388,537.7153487027034,2
SE,65907.0,0.9884795619106618,502.01189858436885,508.83799748129934,498.3134234603304,501.5178706358961,531.6109062770267,508.4584192877843,1
SP,730156.0,2.2186473033032477,522.0852869797687,538.7582301590345,530.5934949517637,540.1493942390393,540.8763058853176,534.4925424429848,2
TO,45804.0,1.2067832604129662,495.0697078857743,499.9379792157891,491.30186446598555,493.2722185835298,502.8914505283381,496.49464413588333,0
