NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
ABAETETUBA,PA,3420,460.1324269005848,481.72573099415206,460.3829239766082,479.53187134502923,596.8947368421053,1.4075954956944137
ABAETÉ,MG,487,498.4090349075976,521.487885010267,510.1254620123203,548.9944558521561,638.1930184804928,2.4133211678832116
ABREU E LIMA,PE,1355,470.62509225092253,496.7473062730627,485.63136531365313,500.05047970479706,580.6937269372694,1.6069743051914
ACARAPE,CE,310,461.34032258064514,480.2222580645161,471.06935483870967,486.9983870967742,586.3225806451613,1.199248120300752
ACARAÚ,CE,971,454.73532440782697,473.6788877445932,471.11719876416066,500.69783728115345,563.9958805355304,1.080155979202773
ACARI,RN,322,483.4801242236025,517.4531055900621,494.78416149068323,516.1816770186335,646.0248447204968,1.8489583333333333
ACARÁ,PA,387,449.47493540051676,470.50956072351426,441.66330749354006,464.43953488372097,573.3850129198967,1.3101503759398496
ACOPIARA,CE,774,454.60284237726097,483.1405684754522,473.49160206718346,500.00788113695086,540.7751937984497,1.0808325266214909
ACRELÂNDIA,AC,166,450.2421686746988,483.98674698795185,469.6734939759036,491.2921686746988,556.2650602409639,1.8257918552036199
ACREÚNA,GO,302,463.44701986754967,490.9374172185431,476.6913907284768,496.58145695364243,555.364238410596,2.3795454545454544
ADAMANTINA,SP,311,520.0247588424438,547.936655948553,522.9254019292604,583.3504823151126,664.1157556270097,4.338308457711443
AFOGADOS DA INGAZEIRA,PE,588,479.6520408163266,509.3316326530612,496.83214285714286,527.3324829931972,594.5578231292517,1.4642857142857142
AFONSO CLÁUDIO,ES,387,491.0020671834625,523.4819121447028,499.4490956072351,537.8167958656331,636.640826873385,2.210112359550562
AFRÂNIO,PE,581,454.13769363166955,466.98330464716,457.0795180722892,487.7141135972462,553.1497418244406,1.1379928315412187
AGRESTINA,PE,282,465.468085106383,492.50673758865247,482.00319148936165,504.10354609929084,595.0354609929078,1.2453987730061349
AGUDOS,SP,175,514.2828571428571,557.1005714285715,539.904,580.0674285714285,676.8,3.5622489959839356
AIMORÉS,MG,351,496.9301994301994,527.0735042735042,517.2304843304843,546.0019943019944,624.3304843304843,2.6265664160401
ALAGOA GRANDE,PB,468,468.7858974358974,494.7393162393162,473.401282051282,505.93739316239316,613.5897435897435,1.441025641025641
ALAGOA NOVA,PB,468,462.09850427350426,487.8070512820513,466.51517094017095,482.05811965811967,594.957264957265,1.2649434571890146
ALAGOINHA,PB,336,443.37589285714284,462.4544642857143,453.7002976190476,477.98511904761904,568.5119047619048,1.2963855421686747
ALAGOINHAS,BA,2302,482.5511728931364,506.0453084274544,490.4722415291052,506.32497827975675,589.1225021720244,1.9666250779787897
ALCÂNTARA,MA,140,447.4642857142857,463.905,455.03214285714284,474.3335714285714,547.2857142857143,1.2939814814814814
ALEGRE,ES,701,500.95007132667615,515.6590584878745,499.68544935805994,534.5867332382311,610.8987161198288,2.2613762486126525
ALEGRETE,RS,858,488.2460372960373,518.9544289044289,505.127972027972,520.8024475524476,601.934731934732,2.890144665461121
ALENQUER,PA,598,443.52709030100334,464.89113712374586,446.29147157190636,463.96086956521737,543.9799331103679,1.1625766871165644
ALEXANDRIA,RN,500,473.3422,494.3588,476.83759999999995,510.8546,606.04,1.3150442477876105
ALEXÂNIA,GO,226,472.5508849557522,500.3823008849557,480.5402654867257,491.5575221238938,571.6814159292036,2.128342245989305
ALFENAS,MG,1522,506.85440210249675,537.6696452036794,516.3033508541392,557.0988830486202,658.515111695138,3.099301397205589
ALHANDRA,PB,184,453.1923913043478,477.23641304347825,467.05380434782603,482.6190217391304,552.2826086956521,1.3333333333333333
ALIANÇA,PE,496,455.42096774193544,472.9350806451613,468.7326612903226,491.68850806451616,582.8225806451613,1.3017699115044248
ALMEIRIM,PA,157,452.3312101910828,469.356050955414,450.58343949044587,467.7299363057325,513.5031847133758,1.3744186046511628
ALMENARA,MG,667,475.707796101949,498.64197901049477,489.61109445277356,516.7977511244377,580.2098950524737,1.8826815642458101
ALMIRANTE TAMANDARÉ,PR,470,491.3053191489362,533.4934042553191,507.7427659574468,530.7687234042553,592.5106382978723,2.669188445667125
ALPINÓPOLIS,MG,521,493.8236084452975,516.7241842610365,499.1550863723608,549.867754318618,661.8042226487524,2.4434782608695653
ALTA FLORESTA,MT,690,479.42362318840577,503.9891304347826,485.23826086956524,516.5631884057971,617.9130434782609,3.12273276904474
ALTA FLORESTA D'OESTE,RO,191,479.944502617801,502.41937172774874,479.8157068062827,507.3738219895288,598.3246073298429,2.2788461538461537
ALTAMIRA,PA,2659,464.89300488905604,491.08589695374195,467.0795411808951,491.0553967657014,579.571267393757,1.9421787709497207
ALTINHO,PE,349,468.43180515759315,499.9868194842407,483.6063037249284,512.8607449856734,589.6275071633238,1.291044776119403
ALTO ALEGRE,RR,50,430.88199999999995,460.23800000000006,446.246,455.996,505.6,1.75
ALTO DO RODRIGUES,RN,361,458.53130193905815,482.25567867036006,466.3152354570637,485.8038781163435,564.3213296398892,1.6810747663551402
ALTO PARAÍSO,RO,80,465.2575,474.85875,459.175,487.6125,511.0,1.8772727272727272
ALTO SANTO,CE,258,444.6077519379845,473.44341085271316,469.67790697674417,485.9860465116279,495.1162790697674,1.2181818181818183
ALTOS,PI,1202,460.44450915141437,479.5433444259567,463.9903494176373,487.9487520798669,596.4226289517471,1.3135003479471121
ALVARÃES,AM,148,423.7635135135135,444.60067567567563,420.29527027027024,447.83716216216214,469.72972972972974,1.1531986531986531
ALVINÓPOLIS,MG,225,488.528,522.3391111111112,501.3888888888889,542.1453333333333,624.6222222222223,2.3986013986013988
ALVORADA,RS,1309,485.92391138273496,525.6631779984721,508.30725744843386,519.7354469060351,584.6906035141329,2.4675162418790606
ALVORADA D'OESTE,RO,155,458.7754838709677,486.01612903225805,463.2303225806451,484.46774193548384,582.0645161290323,1.9836734693877551
ALVORADA DO NORTE,GO,220,452.64818181818185,477.3722727272727,465.17318181818183,485.3222727272727,521.6363636363636,1.5815384615384616
ALVORADA DO SUL,PR,266,479.7278195488722,503.0266917293233,485.025939849624,514.9161654135339,583.7593984962406,2.945945945945946
ALÉM PARAÍBA,MG,561,501.2345811051693,531.7921568627452,516.7062388591801,557.1479500891265,668.7344028520499,2.8264462809917354
AMAMBAI,MS,407,471.8439803439803,496.4810810810811,486.6916461916462,509.23857493857497,561.5233415233415,2.1358024691358026
AMAPÁ,AP,104,439.3528846153846,466.2346153846154,427.8346153846154,454.9778846153846,538.4615384615385,1.583969465648855
AMARANTE,PI,369,448.740108401084,469.5539295392954,445.1666666666667,468.2926829268293,563.2520325203252,1.161122661122661
AMARANTE DO MARANHÃO,MA,352,458.98892045454545,474.10170454545454,453.37130681818184,483.41875,574.2045454545455,1.6670918367346939
AMARGOSA,BA,904,471.43816371681413,496.3394911504425,478.8950221238938,496.5659292035398,591.4159292035398,1.465998256320837
AMERICANA,SP,2199,525.9025466120963,560.2261937244201,540.0029558890404,590.8308321964529,668.2401091405184,4.586965460526316
AMONTADA,CE,745,440.1910067114094,458.6394630872484,451.35060402684564,478.80885906040265,482.8993288590604,1.0320512820512822
AMPARO,SP,775,524.7658064516129,552.8023225806452,537.6069677419355,583.9943225806451,660.1548387096774,3.8079507278835387
AMPÉRE,PR,244,477.6340163934426,519.9475409836066,499.45860655737704,526.0799180327868,595.655737704918,2.6209964412811386
AMÉLIA RODRIGUES,BA,330,467.0042424242424,492.67848484848486,483.1242424242424,494.20757575757574,589.2121212121212,1.492081447963801
ANAGÉ,BA,303,455.09603960396043,479.9141914191419,452.8283828382838,483.2660066006601,573.993399339934,1.2012987012987013
ANAJATUBA,MA,136,457.9595588235294,478.8110294117647,456.9051470588235,486.14485294117645,636.0294117647059,1.171270718232044
ANAJÁS,PA,159,439.20251572327044,458.8069182389937,441.5037735849057,461.15534591194967,512.8301886792453,1.3647686832740213
ANAMÃ,AM,110,431.6027272727273,460.6836363636363,446.6627272727273,464.2409090909091,472.90909090909093,1.1906779661016949
ANANINDEUA,PA,10468,476.5482518150554,509.00525410775697,486.4178162017578,500.58562285059224,605.2560183416125,1.8659734453326107
ANANÁS,TO,179,453.32569832402237,470.3966480446927,459.97430167597764,481.9435754189944,564.6927374301677,1.6422222222222222
ANASTÁCIO,MS,163,455.4791411042945,489.4368098159509,459.21349693251534,479.6963190184049,547.1165644171779,1.7588932806324111
ANCHIETA,ES,707,500.62574257425746,526.9318246110325,510.1188118811881,542.5229137199434,635.6152758132956,2.5317185697808533
ANDRADAS,MG,343,506.3702623906706,535.3169096209913,517.5137026239067,558.8297376093294,668.3381924198251,3.0971867007672635
ANDRADINA,SP,665,495.12075187969924,522.7954887218045,510.9348872180451,547.9496240601504,621.9248120300751,3.255763688760807
ANDRELÂNDIA,MG,440,481.4431818181818,508.49477272727273,491.94795454545454,522.5811363636363,608.5,2.2578558225508316
ANGICOS,RN,686,462.0590379008746,483.54577259475224,466.0946064139942,493.62623906705534,576.6763848396502,1.606164383561644
ANGRA DOS REIS,RJ,1189,492.6148023549201,527.4237174095879,507.5790580319596,534.6244743481917,614.5668629100085,2.7350993377483444
ANORI,AM,118,442.5830508474576,453.47542372881355,444.17542372881354,456.28898305084743,524.9152542372881,1.1850746268656716
ANÁPOLIS,GO,5565,497.7271698113208,530.3833962264151,511.0963881401617,542.1753099730458,659.3387241689129,2.892293997965412
APARECIDA,SP,302,497.637417218543,537.4460264900663,525.3956953642385,558.3129139072847,616.0264900662252,2.5471491228070176
APARECIDA DE GOIÂNIA,GO,5417,479.3718848070888,514.1354070518737,495.3175927635222,513.2340409820933,613.3505630422743,2.223588405000687
APARECIDA DO TABOADO,MS,162,489.1753086419753,507.86975308641973,502.93333333333334,536.8925925925927,641.2345679012345,3.089080459770115
APIAÍ,SP,258,480.15271317829456,519.777519379845,512.1779069767441,521.7612403100775,596.6666666666666,2.427469135802469
APODI,RN,969,481.7987616099071,501.5827657378741,486.39886480908154,518.290608875129,636.5118679050568,1.5756880733944953
APUCARANA,PR,1430,496.52671328671323,527.9935664335665,511.036013986014,544.244895104895,594.3776223776224,3.230358097274185
APUÍ,AM,85,454.3329411764706,477.90352941176474,452.8635294117647,491.1058823529412,497.88235294117646,1.85
AQUIDAUANA,MS,557,464.63895870736087,485.4842010771993,465.69605026929986,490.2016157989228,562.4775583482945,2.0
AQUIRAZ,CE,806,468.3553349875931,495.19156327543425,488.3241935483871,504.1259305210918,595.7568238213399,1.685214626391097
ARACAJU,SE,15251,501.2339125303259,529.6639761327126,510.0753262081175,541.5854370205233,656.0107533932202,2.966292743727307
ARACATI,CE,1426,464.4014726507714,491.31241234221596,480.63394109396916,505.25084151472646,563.1837307152875,1.3829841594276955
ARACI,BA,348,470.1614942528736,487.83678160919544,471.9362068965517,491.9913793103448,617.1264367816092,1.5089686098654709
ARACOIABA,CE,603,451.9293532338309,473.52985074626866,467.4457711442786,487.4127694859039,553.6318407960199,1.152555910543131
ARACRUZ,ES,1052,506.11739543726236,533.5252851711026,512.7502851711027,556.6005703422054,639.8288973384031,3.020283975659229
ARAGARÇAS,GO,241,465.37427385892113,488.7286307053942,476.0713692946058,498.57219917012446,559.7510373443984,2.090909090909091
ARAGUANÃ,TO,64,449.4015625,459.0234375,442.7890625,464.5046875,520.9375,1.2588235294117647
ARAGUARI,MG,1375,509.0485090909091,541.486109090909,522.8141090909091,556.9420363636364,655.8981818181818,3.3332315210751373
ARAGUATINS,TO,564,455.3595744680851,474.20531914893616,460.20709219858156,480.65354609929074,571.0992907801418,1.774108322324967
ARAGUAÍNA,TO,3433,478.03579959219337,499.7647829886397,482.9644916982231,511.5729973783863,620.372851733178,2.5694506978838363
ARAIOSES,MA,172,460.3563953488372,485.56162790697675,461.7906976744186,475.70581395348836,567.2093023255813,1.1931818181818181
ARAME,MA,212,444.0344339622642,457.1816037735849,440.19716981132075,468.8306603773585,534.9056603773585,1.2385892116182573
ARAPIRACA,AL,5681,483.9147861292026,513.2690195388136,492.9802675585284,529.2967435310684,635.3177257525084,1.9912963487121427
ARAPOEMA,TO,87,448.08045977011494,468.4126436781609,448.5206896551725,486.9241379310345,530.8045977011494,1.5387323943661972
ARAPONGAS,PR,1085,488.65391705069123,523.7150230414748,509.37152073732716,536.0546543778802,593.7327188940092,3.468541820873427
ARAPOTI,PR,154,503.11233766233767,525.974025974026,515.5110389610389,544.6376623376623,567.2727272727273,3.8304597701149423
ARAPUTANGA,MT,217,455.189400921659,486.536866359447,473.93917050691243,501.66175115207375,611.3364055299539,2.9170731707317072
ARARANGUÁ,SC,995,506.2828140703518,529.8874371859297,512.6668341708543,548.4481407035177,629.9497487437186,3.4673629242819843
ARARAQUARA,SP,2555,519.2091976516634,553.5841878669277,534.686771037182,573.0379647749511,661.6908023483365,4.064692256783587
ARARAS,SP,905,530.3070718232044,558.1622099447513,537.6458563535912,589.7567955801105,660.8839779005525,3.9166666666666665
ARARI,MA,705,458.97390070921983,480.34978723404254,471.56652482269504,482.2617021276596,576.7659574468086,1.5329457364341086
ARARIPE,CE,466,467.15386266094424,485.0178111587983,478.7115879828326,504.38390557939914,615.4077253218884,1.2043478260869565
ARARIPINA,PE,1834,466.7676663031625,491.511014176663,474.63467829880045,512.8556161395855,639.5201744820065,1.456252863032524
ARARUAMA,RJ,1153,499.1315698178664,529.5840416305291,510.46348655680833,540.1803989592368,617.5715524718127,2.748427672955975
ARARUNA,PB,424,453.65047169811317,473.4316037735849,461.59457547169814,488.0106132075472,586.2264150943396,1.1878453038674033
ARATUBA,CE,288,449.9899305555556,474.5559027777778,465.5288194444444,486.7760416666667,524.9305555555555,1.019578313253012
ARAUCÁRIA,PR,1147,495.01115954664346,533.1721011333915,514.7431560592851,537.2480383609416,609.2938099389712,3.061211742660837
ARAXÁ,MG,1171,516.2094790777114,545.4175918018788,529.3197267292912,579.0154568744663,681.6908625106746,3.7994227994227994
ARAÇATUBA,SP,1988,519.672032193159,547.0053822937625,530.5677062374245,581.830583501006,649.9597585513078,4.210956271023546
ARAÇOIABA,PE,260,455.1992307692308,466.21576923076924,453.10692307692307,478.64,524.6923076923077,1.25
ARAÇOIABA DA SERRA,SP,218,508.9509174311927,536.4119266055046,523.1403669724771,557.2509174311926,619.2660550458716,3.540453074433657
ARAÇUAÍ,MG,927,482.6920172599784,510.0046386192017,491.3611650485437,521.0771305285868,619.8921251348436,1.9944061962134252
ARCOS,MG,444,506.09932432432436,541.4808558558559,526.4644144144145,581.5905405405406,672.072072072072,3.2319474835886215
ARCOVERDE,PE,1805,476.45069252077565,510.51900277008315,494.93927977839337,527.1853185595568,610.803324099723,1.8453498293515358
AREADO,MG,435,494.1850574712644,524.1268965517241,508.2289655172414,548.6825287356322,635.448275862069,2.5641025641025643
AREIA,PB,457,467.7800875273523,488.04091903719916,470.8442013129103,495.67833698030637,614.0481400437636,1.6394316163410303
AREIA BRANCA,RN,668,461.17485029940116,485.42215568862275,471.0898203592814,486.4709580838323,575.1197604790419,1.5295758928571428
ARENÁPOLIS,MT,195,450.32153846153847,473.22564102564104,457.24666666666667,488.3615384615385,562.4615384615385,2.5197628458498023
ARINOS,MG,403,470.88287841191067,488.86426799007444,476.92605459057074,501.9434243176179,568.9826302729529,1.8962264150943395
ARIPUANÃ,MT,79,488.48227848101266,523.573417721519,496.0227848101266,514.4037974683545,607.3417721518987,3.091743119266055
ARIQUEMES,RO,1093,475.0354071363221,500.692406221409,486.3445562671546,513.1451052150046,596.4684354986276,2.401105651105651
AROEIRAS,PB,365,452.41506849315067,471.66821917808215,450.7208219178082,475.8643835616438,590.5753424657535,1.1655555555555555
ARRAIAS,TO,279,442.43261648745516,466.64695340501794,444.8204301075269,461.2616487455197,530.5376344086021,1.4025974025974026
ARROIO DO MEIO,RS,136,517.7014705882352,546.5860294117647,530.4,572.0139705882352,661.9117647058823,3.774074074074074
ARROIO GRANDE,RS,206,475.18398058252427,501.328640776699,490.2655339805825,509.5703883495146,572.4271844660194,2.1816666666666666
ARTUR NOGUEIRA,SP,478,499.5140167364017,536.6355648535565,518.1437238493725,546.2228033472803,613.8493723849373,3.377151799687011
ARUJÁ,SP,973,498.515210688592,543.1188078108942,522.7653648509764,551.0724563206578,621.1510791366907,3.4376434583014537
ASSARÉ,CE,545,454.52660550458717,480.86899082568806,468.57834862385323,492.9666055045871,530.5688073394496,1.0406290956749673
ASSAÍ,PR,403,488.80124069478904,516.0305210918114,501.47220843672454,529.6898263027296,596.6749379652606,2.542887029288703
ASSIS,SP,1283,506.7835541699143,544.1119251753702,528.2778643803586,567.4438035853468,655.0428682774747,3.912384716732543
ASSIS CHATEAUBRIAND,PR,502,493.43247011952195,515.3679282868526,504.6085657370518,541.4211155378487,611.8326693227092,3.1930434782608694
ASTORGA,PR,297,485.9969696969697,517.3686868686868,504.8542087542088,529.8252525252525,605.3872053872054,3.2130102040816326
ATALAIA,AL,269,450.55985130111526,479.2423791821561,464.45799256505575,482.0557620817844,576.1338289962825,1.3415841584158417
ATIBAIA,SP,1463,519.8486671223513,553.7556390977444,535.0159261790841,580.3641148325358,651.4012303485988,4.281232801320859
AUGUSTINÓPOLIS,TO,440,456.9752272727273,477.3863636363636,466.9756818181818,488.335,591.1363636363636,1.771103896103896
AUGUSTO CORRÊA,PA,318,446.3738993710692,472.39119496855346,446.01037735849053,463.0091194968553,580.2515723270441,1.1398305084745763
