CLUSTER,QTD_UFS,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
0,10,470.63635619387753,490.9661877427278,505.4008132200016,485.1236843474656,563.2985956322998,0.9601838258820438
1,9,483.889772139064,505.2180148789813,519.7847747685604,508.6778255575607,589.0428102278399,1.0881515681112595
2,8,505.465645546969,534.6657678504336,543.3748156181558,544.0072935336237,604.6287344950182,1.819262510530709
