CLUSTER,QTD_MUNICIPIOS,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
0,473,452.634116461093,460.74770066615827,482.5054528788561,469.0257810024144,549.5011036085008,1.207629062233646
1,687,476.03543041928464,494.63641084641415,511.8908696459558,503.4606589041136,611.3024357673957,1.7764271422836264
2,557,507.8269452745732,530.6446389754557,540.7297885014302,548.4727614145629,659.442823976054,2.9537660944874924
