CLUSTER,QTD_MUNICIPIOS,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
0,606,453.2890478394984,469.2393768450806,484.96526945365287,465.16171300601496,520.4293656158842,1.2595023490732529
1,627,478.71681593445817,501.41172908334534,516.0816575039706,504.6529579432344,563.373274570449,1.7918367188749804
2,478,507.9991711539339,535.8657744065224,543.9359386993167,551.426687307749,604.5429244758889,2.7036268800085304
