CLUSTER,QTD_MUNICIPIOS,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
0,607,461.1690863310877,531.9255094490433,489.1976508378918,492.36684595041646,450.7546275902983,1.4890213532776224
1,638,481.98103097173095,559.7400245484739,516.4770378154672,519.963527171845,491.6025820194324,2.1027363951103943
2,445,507.78252650854,586.1689858552555,543.1180660065106,555.3212374747783,539.076561165207,3.0977459513112344
