CLUSTER,QTD_MUNICIPIOS,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
0,452,453.6854061033101,477.25297776037434,475.80529469803525,462.0951744716575,546.9466372060775,1.3299576633276262
1,688,478.8872250902399,507.83872145350585,504.02412879424327,506.1625161846404,602.3704688192576,1.8789727854133604
2,575,508.53815461207597,540.8751276816237,533.6953829452178,560.282346441825,645.6614180984687,3.0615363163076688
