NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
ABAETETUBA,PA,4890,461.3144785276073,466.06550102249486,483.30531697341513,473.03558282208587,586.3558282208589,494.0153415132924,1.2537810042347248
ABAETÉ,MG,546,492.13717948717954,523.8869963369963,539.2780219780219,547.0326007326007,667.3260073260074,553.932161172161,2.4514388489208634
ABREU E LIMA,PE,1810,473.12248618784525,493.84867403314917,513.2494475138121,493.80679558011053,589.6906077348066,512.7436022099447,1.3590651558073654
ACARAPE,CE,410,464.85024390243905,480.73487804878044,500.530487804878,501.2685365853659,622.5853658536586,513.9939024390244,1.0053418803418803
ACARAÚ,CE,1141,473.46003505696757,479.4780017528484,499.14601226993864,521.7606485539001,683.0324276950043,531.3754250657317,1.1611607142857143
ACARI,RN,431,487.3749419953596,511.4419953596288,526.415313225058,525.5368909512761,669.6983758700696,544.0935034802784,1.7655913978494624
ACARÁ,PA,749,450.05620827770355,457.696261682243,469.6711615487317,455.1381842456609,535.8611481975968,473.68459279038717,1.0068807339449541
ACOPIARA,CE,1079,460.4491195551436,475.34142724745135,495.2443929564411,496.47784986098236,587.5440222428174,503.01136237256713,1.096264367816092
ACRELÂNDIA,AC,259,460.73783783783784,467.77104247104245,491.99382239382237,474.85173745173745,570.965250965251,493.2639382239382,1.569277108433735
ACREÚNA,GO,401,469.9902743142145,488.340897755611,510.90224438902743,501.49850374064835,611.3216957605985,516.41072319202,2.278947368421053
ADAMANTINA,SP,428,523.2967289719626,549.3483644859813,551.9247663551402,579.4714953271027,675.981308411215,576.0045327102804,3.181547619047619
AFOGADOS DA INGAZEIRA,PE,1083,478.8204986149584,496.63758079409047,518.5378578024007,525.2728531855955,612.927054478301,526.4391689750692,1.2798206278026907
AFONSO CLÁUDIO,ES,424,488.1872641509434,517.0089622641509,524.5492924528302,528.6695754716981,653.6792452830189,542.4188679245283,2.150943396226415
AFRÂNIO,PE,879,449.5763367463026,458.90307167235494,481.47792946530143,496.66484641638226,536.8828213879408,484.70100113765636,1.058041958041958
AGRESTINA,PE,411,469.6861313868613,489.53503649635036,510.8941605839416,509.10705596107056,602.2384428223844,516.2921654501216,1.1128668171557563
AGUDOS,SP,329,517.4577507598784,535.468085106383,546.1516717325228,564.1814589665654,677.7507598784194,568.2019452887538,3.1620111731843576
AIMORÉS,MG,567,487.2500881834215,503.7112874779541,521.6763668430335,520.283774250441,639.1181657848324,534.4079365079365,2.0597539543057994
ALAGOA GRANDE,PB,730,469.57164383561644,482.6879452054795,502.5793150684932,485.7554794520548,600.4931506849315,508.2175068493151,1.1893333333333334
ALAGOA NOVA,PB,616,461.0631493506494,482.12759740259736,497.7512987012987,477.00292207792205,558.6363636363636,495.3162662337662,1.040673211781206
ALAGOINHA,PB,488,457.7024590163934,473.2418032786885,492.51209016393443,472.83831967213115,574.5081967213115,494.16057377049174,1.0856918238993711
ALAGOINHAS,BA,3438,477.18417684700404,494.2842059336824,511.2440081442699,494.8160558464224,582.17568353694,511.94082606166376,1.5440165061898212
ALCÂNTARA,MA,261,449.9992337164751,457.1647509578544,477.08007662835246,461.6927203065134,552.5670498084291,479.7007662835249,1.028052805280528
ALEGRE,ES,792,500.39103535353536,518.7522727272727,525.8376262626263,535.0056818181819,641.2626262626262,544.2498484848486,2.1462585034013606
ALEGRETE,RS,1197,487.97176274018375,511.51896407685877,526.7986633249791,513.3406015037593,583.8262322472849,524.6912447786132,2.0615196078431373
ALENQUER,PA,1148,440.9229094076655,444.38240418118465,462.8335365853659,450.1473867595819,519.7386759581882,463.6049825783972,0.9669811320754716
ALEXANDRIA,RN,710,468.9,484.60591549295776,502.20535211267605,490.33507042253524,641.0140845070423,517.4120845070422,1.128808864265928
ALEXÂNIA,GO,303,480.6973597359736,503.9953795379538,513.9732673267326,511.24950495049507,649.3729372937294,531.8576897689769,1.9478908188585609
ALFENAS,MG,1961,515.377358490566,534.6159102498725,542.5528301886793,555.4879653238144,686.7108618052014,566.9489852116267,2.8455004591368227
ALHANDRA,PB,356,457.33988764044943,470.72078651685393,495.2067415730337,471.2272471910112,556.629213483146,490.2247752808988,1.2606382978723405
ALIANÇA,PE,570,462.2033333333334,474.02000000000004,498.1205263157895,493.8836842105263,590.6666666666666,503.77884210526315,1.0750394944707742
ALMEIRIM,PA,308,451.9714285714286,453.5694805194805,471.3496753246754,452.8964285714286,505.64935064935065,467.08727272727276,1.0888077858880778
ALMENARA,MG,1135,468.63436123348015,486.3436123348018,506.36246696035244,494.76484581497795,599.0132158590309,511.0237004405286,1.4714285714285715
ALMIRANTE TAMANDARÉ,PR,880,492.0915909090909,513.5726136363637,529.5847727272727,503.38261363636366,588.75,525.4763181818182,2.368246051537822
ALPINÓPOLIS,MG,604,493.09288079470195,513.369701986755,526.4594370860927,540.8718543046357,696.7880794701987,554.1163907284769,2.4225352112676055
ALTA FLORESTA,MT,891,486.3864197530864,498.0684624017957,515.6766554433221,505.6949494949495,649.89898989899,531.1450953984288,2.822688274547188
ALTA FLORESTA D'OESTE,RO,321,471.5532710280374,484.9878504672897,501.4934579439252,488.54548286604364,655.2647975077882,520.3689719626169,2.2558479532163744
ALTAMIRA,PA,3831,466.93837118245887,480.2765335421561,496.88989819890367,480.9662229182981,576.935525972331,500.4013103628296,1.6071117877337973
ALTINHO,PE,437,470.85949656750574,491.84897025171625,509.20183066361557,503.37848970251713,580.3661327231122,511.1309839816933,0.9864253393665159
ALTO ALEGRE,RR,80,461.67375000000004,474.86499999999995,490.41125,466.43500000000006,509.0,480.477,1.5826446280991735
ALTO DO RODRIGUES,RN,525,462.33657142857146,470.6965714285715,496.2047619047619,477.3689523809524,592.4190476190477,499.80518095238097,1.363255033557047
ALTO PARAÍSO,RO,118,450.8262711864407,469.614406779661,487.014406779661,473.0661016949153,529.4915254237288,482.00254237288135,1.6481481481481481
ALTO SANTO,CE,405,457.43777777777774,478.48765432098764,491.6977777777778,503.7019753086419,521.1851851851852,490.5020740740741,1.2280701754385965
ALTOS,PI,2038,457.02428851815506,469.20809617271834,491.2909715407262,484.20049067713444,604.5632973503434,501.2574288518155,1.0966019417475728
ALVARÃES,AM,151,442.43245033112584,439.78145695364236,461.55298013245033,445.6509933774835,470.72847682119203,452.0292715231788,1.141304347826087
ALVINÓPOLIS,MG,315,484.8368253968254,503.8406349206349,521.5815873015873,517.4612698412698,603.4920634920635,526.2424761904762,1.856060606060606
ALVORADA,RS,2282,480.4647239263804,510.47927256792286,530.3585013146363,495.06871165644174,574.9342681858019,518.2610955302367,2.009494394875315
ALVORADA D'OESTE,RO,277,458.26281588447654,464.5754512635379,487.62346570397114,471.0198555956679,613.9350180505415,499.083321299639,2.0350877192982457
ALVORADA DO NORTE,GO,273,458.9058608058608,472.06849816849814,490.19267399267403,494.2395604395604,578.6080586080586,498.8029304029304,1.3485804416403786
ALVORADA DO SUL,PR,245,492.88448979591834,510.07102040816324,525.0869387755102,525.204081632653,623.5102040816327,535.3513469387756,2.6234309623430963
ALÉM PARAÍBA,MG,739,495.5562922868741,515.7154262516915,527.0882273342355,542.7916102841677,662.6522327469553,548.7607577807848,2.2170963364993215
AMAMBAI,MS,573,473.4739965095986,491.3982547993019,502.15706806282725,493.5134380453752,558.673647469459,503.8432809773124,1.727080394922426
AMAPÁ,AP,230,446.1991304347826,453.1160869565217,471.2034782608696,444.7765217391305,483.1304347826087,459.6851304347826,1.2657004830917875
AMARANTE,PI,547,444.85959780621573,456.3672760511883,478.5760511882998,459.96288848263254,564.4606946983547,480.8453016453383,0.9397106109324759
AMARANTE DO MARANHÃO,MA,692,447.38973988439307,454.13916184971094,474.6372832369942,464.8517341040463,573.0346820809249,482.81052023121384,1.3263081395348837
AMARGOSA,BA,1210,473.2888429752066,494.9682644628099,506.6652066115703,495.0555371900826,609.4876033057851,515.8930909090908,1.2455954897815362
AMERICANA,SP,2617,532.2142529614061,554.5408100878869,557.3662208635842,588.2091708062667,694.2758884218571,585.3212686282002,4.445200155460552
AMONTADA,CE,1036,452.82702702702704,463.26119691119686,483.7342664092664,491.60646718146717,565.2702702702703,491.3398455598455,0.849004424778761
AMPARO,SP,1103,529.7912964641886,549.3275611967363,555.7359927470535,585.928739800544,673.0734360834089,578.7714052583863,3.1964285714285716
AMPÉRE,PR,348,490.22729885057475,517.151724137931,529.3968390804598,525.3767241379311,627.528735632184,537.9362643678162,2.481792717086835
