NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,4890,461.3144785276073,466.06550102249486,483.30531697341513,473.0355828220858,586.3558282208589,1.2537810042347248,0
ABAETÉ,MG,546,492.13717948717954,523.8869963369963,539.2780219780219,547.0326007326007,667.3260073260074,2.4514388489208634,2
ABREU E LIMA,PE,1810,473.12248618784525,493.8486740331492,513.2494475138121,493.8067955801105,589.6906077348066,1.3590651558073654,1
ACARAPE,CE,410,464.8502439024391,480.7348780487805,500.530487804878,501.2685365853659,622.5853658536586,1.0053418803418803,1
ACARAÚ,CE,1141,473.4600350569676,479.4780017528484,499.1460122699386,521.7606485539001,683.0324276950043,1.1611607142857143,1
ACARI,RN,431,487.3749419953596,511.4419953596288,526.415313225058,525.5368909512761,669.6983758700696,1.7655913978494624,2
ACARÁ,PA,749,450.0562082777036,457.696261682243,469.6711615487317,455.1381842456609,535.8611481975968,1.006880733944954,0
ACOPIARA,CE,1079,460.4491195551436,475.34142724745135,495.2443929564411,496.4778498609824,587.5440222428174,1.096264367816092,1
ACRELÂNDIA,AC,259,460.7378378378378,467.7710424710425,491.9938223938224,474.8517374517375,570.965250965251,1.569277108433735,0
ACREÚNA,GO,401,469.9902743142145,488.340897755611,510.9022443890274,501.4985037406484,611.3216957605985,2.278947368421053,1
ADAMANTINA,SP,428,523.2967289719626,549.3483644859813,551.9247663551402,579.4714953271027,675.981308411215,3.181547619047619,2
AFOGADOS DA INGAZEIRA,PE,1083,478.8204986149584,496.63758079409047,518.5378578024007,525.2728531855955,612.927054478301,1.279820627802691,1
AFONSO CLÁUDIO,ES,424,488.1872641509434,517.0089622641509,524.5492924528302,528.6695754716981,653.6792452830189,2.150943396226415,2
AFRÂNIO,PE,879,449.5763367463026,458.9030716723549,481.47792946530143,496.6648464163823,536.8828213879408,1.058041958041958,0
AGRESTINA,PE,411,469.6861313868613,489.5350364963504,510.8941605839416,509.10705596107056,602.2384428223844,1.1128668171557563,1
AGUDOS,SP,329,517.4577507598784,535.468085106383,546.1516717325228,564.1814589665654,677.7507598784194,3.1620111731843576,2
AIMORÉS,MG,567,487.2500881834215,503.7112874779541,521.6763668430335,520.283774250441,639.1181657848324,2.0597539543057994,1
ALAGOA GRANDE,PB,730,469.5716438356165,482.6879452054795,502.5793150684932,485.7554794520548,600.4931506849315,1.1893333333333334,1
ALAGOA NOVA,PB,616,461.0631493506494,482.12759740259736,497.7512987012987,477.0029220779221,558.6363636363636,1.040673211781206,0
ALAGOINHA,PB,488,457.7024590163934,473.2418032786885,492.5120901639344,472.8383196721312,574.5081967213115,1.0856918238993711,0
ALAGOINHAS,BA,3438,477.184176847004,494.2842059336824,511.2440081442699,494.8160558464224,582.17568353694,1.5440165061898212,1
ALCÂNTARA,MA,261,449.9992337164751,457.1647509578544,477.08007662835246,461.6927203065134,552.5670498084291,1.028052805280528,0
ALEGRE,ES,792,500.39103535353536,518.7522727272727,525.8376262626263,535.0056818181819,641.2626262626262,2.1462585034013606,2
ALEGRETE,RS,1197,487.97176274018375,511.5189640768588,526.7986633249791,513.3406015037593,583.8262322472849,2.0615196078431373,1
ALENQUER,PA,1148,440.9229094076655,444.3824041811847,462.8335365853659,450.1473867595819,519.7386759581882,0.9669811320754716,0
ALEXANDRIA,RN,710,468.9,484.60591549295776,502.20535211267605,490.3350704225352,641.0140845070423,1.128808864265928,1
ALEXÂNIA,GO,303,480.6973597359736,503.9953795379538,513.9732673267326,511.2495049504951,649.3729372937294,1.9478908188585609,1
ALFENAS,MG,1961,515.377358490566,534.6159102498725,542.5528301886793,555.4879653238144,686.7108618052014,2.8455004591368227,2
ALHANDRA,PB,356,457.33988764044943,470.72078651685393,495.2067415730337,471.2272471910112,556.629213483146,1.2606382978723405,0
ALIANÇA,PE,570,462.2033333333334,474.02,498.1205263157895,493.8836842105263,590.6666666666666,1.0750394944707742,1
ALMEIRIM,PA,308,451.9714285714286,453.5694805194805,471.3496753246754,452.8964285714286,505.64935064935065,1.0888077858880778,0
ALMENARA,MG,1135,468.63436123348015,486.3436123348018,506.3624669603525,494.764845814978,599.0132158590309,1.4714285714285715,1
ALMIRANTE TAMANDARÉ,PR,880,492.0915909090909,513.5726136363637,529.5847727272727,503.38261363636366,588.75,2.368246051537822,1
ALPINÓPOLIS,MG,604,493.092880794702,513.369701986755,526.4594370860927,540.8718543046357,696.7880794701987,2.422535211267605,2
ALTA FLORESTA,MT,891,486.3864197530864,498.0684624017957,515.6766554433221,505.6949494949495,649.89898989899,2.822688274547188,1
ALTA FLORESTA D'OESTE,RO,321,471.5532710280374,484.9878504672897,501.4934579439252,488.5454828660437,655.2647975077882,2.2558479532163744,1
ALTAMIRA,PA,3831,466.93837118245887,480.2765335421561,496.88989819890367,480.9662229182981,576.935525972331,1.6071117877337973,0
ALTINHO,PE,437,470.85949656750574,491.84897025171625,509.2018306636156,503.37848970251713,580.3661327231122,0.986425339366516,1
ALTO ALEGRE,RR,80,461.67375,474.865,490.41125,466.43500000000006,509.0,1.5826446280991735,0
ALTO DO RODRIGUES,RN,525,462.33657142857146,470.6965714285715,496.2047619047619,477.3689523809524,592.4190476190477,1.363255033557047,0
ALTO PARAÍSO,RO,118,450.8262711864407,469.614406779661,487.014406779661,473.0661016949153,529.4915254237288,1.648148148148148,0
ALTO SANTO,CE,405,457.43777777777774,478.4876543209877,491.6977777777778,503.7019753086419,521.1851851851852,1.2280701754385963,0
ALTOS,PI,2038,457.0242885181551,469.2080961727184,491.2909715407262,484.2004906771344,604.5632973503434,1.0966019417475728,0
ALVARÃES,AM,151,442.4324503311258,439.7814569536424,461.55298013245033,445.6509933774835,470.728476821192,1.141304347826087,0
ALVINÓPOLIS,MG,315,484.8368253968254,503.8406349206349,521.5815873015873,517.4612698412698,603.4920634920635,1.856060606060606,1
ALVORADA,RS,2282,480.4647239263804,510.47927256792286,530.3585013146363,495.06871165644174,574.9342681858019,2.009494394875315,1
ALVORADA D'OESTE,RO,277,458.2628158844765,464.5754512635379,487.6234657039712,471.0198555956679,613.9350180505415,2.0350877192982457,0
ALVORADA DO NORTE,GO,273,458.9058608058608,472.0684981684981,490.192673992674,494.2395604395604,578.6080586080586,1.3485804416403786,0
ALVORADA DO SUL,PR,245,492.8844897959184,510.0710204081632,525.0869387755102,525.204081632653,623.5102040816327,2.6234309623430963,1
ALÉM PARAÍBA,MG,739,495.5562922868741,515.7154262516915,527.0882273342355,542.7916102841677,662.6522327469553,2.217096336499321,2
AMAMBAI,MS,573,473.4739965095986,491.3982547993019,502.1570680628273,493.5134380453752,558.673647469459,1.727080394922426,1
AMAPÁ,AP,230,446.1991304347826,453.1160869565217,471.2034782608696,444.7765217391305,483.1304347826087,1.2657004830917875,0
AMARANTE,PI,547,444.8595978062157,456.3672760511883,478.5760511882998,459.9628884826325,564.4606946983547,0.939710610932476,0
AMARANTE DO MARANHÃO,MA,692,447.38973988439307,454.1391618497109,474.6372832369942,464.8517341040463,573.0346820809249,1.3263081395348837,0
AMARGOSA,BA,1210,473.2888429752066,494.9682644628099,506.6652066115703,495.0555371900826,609.4876033057851,1.2455954897815362,1
AMERICANA,SP,2617,532.2142529614061,554.5408100878869,557.3662208635842,588.2091708062667,694.2758884218571,4.445200155460552,2
AMONTADA,CE,1036,452.82702702702704,463.26119691119686,483.7342664092664,491.6064671814672,565.2702702702703,0.849004424778761,0
AMPARO,SP,1103,529.7912964641886,549.3275611967363,555.7359927470535,585.928739800544,673.0734360834089,3.196428571428572,2
