NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,6501,455.4070143054915,537.0793416397477,478.4838178741732,433.26309798492537,529.7621904322411,486.7990924473157,1.5296030797822913,1
ABAETÉ,MG,1355,489.799852398524,562.8642804428044,509.2721771217713,495.719926199262,541.9926199261993,519.9297712177122,2.2838370565046,2
ABREU E LIMA,PE,3758,466.5069185737094,546.432118147951,491.95047897817983,445.03049494411925,513.033262373603,492.59065460351246,1.7756797583081572,1
ACARAPE,CE,747,443.5174029451138,531.7243641231593,473.0651941097725,434.1439089692102,500.48192771084337,476.5865595716197,1.4291617473435656,0
ACARAÚ,CE,1984,451.2730846774194,526.8821068548388,469.5367439516129,447.5792842741936,504.664314516129,479.9871068548388,1.353330068560235,0
ACARI,RN,681,468.4543318649046,554.9020558002936,498.8192364170338,452.2718061674008,553.4302496328928,505.57553597650514,1.8492791612057664,1
ACARÁ,PA,839,444.4988081048868,525.3029797377831,464.8030989272944,416.85935637663886,487.89034564958286,467.8709177592372,1.3758553274682308,0
ACOPIARA,CE,2000,446.3784,526.4725,467.5811,439.19575,496.873,475.3001499999999,1.3396115361977634,0
ACRELÂNDIA,AC,534,453.41516853932586,534.7986891385768,471.4220973782772,439.5906367041199,473.70786516853934,474.58689138576784,1.596302003081664,0
ACREÚNA,GO,778,465.6998714652957,538.3551413881748,483.3204370179948,446.6672236503856,491.0539845758355,485.0193316195373,2.351985559566787,1
ADAMANTINA,SP,885,489.5194350282486,562.74,510.55875706214687,484.0341242937853,535.8926553672317,516.5489943502826,3.497451580020387,2
AFOGADOS DA INGAZEIRA,PE,1348,464.2319732937685,549.7842729970326,492.1007418397626,457.7135756676558,519.6261127596439,496.6913353115727,1.6510177281680891,1
AFONSO CLÁUDIO,ES,930,478.4293548387097,556.3488172043011,494.3783870967742,478.6131182795699,510.40860215053766,503.6356559139784,1.9103072348860255,1
AFRÂNIO,PE,1069,448.6351730589336,536.2544434050515,471.6201122544434,446.4466791393826,495.1487371375117,479.6210289990646,1.2606142728093948,0
