NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ALVORADA D'OESTE,RO,218,464.00871559633026,483.54082568807337,493.52247706422014,475.2009174311927,535.5963302752293,1.7680672268907562,0
ALVORADA DO NORTE,GO,296,456.1290540540541,467.71013513513515,492.6320945945946,463.2824324324325,476.7567567567568,1.3941068139963169,0
ALVORADA DO SUL,PR,292,486.456506849315,506.591095890411,529.2962328767123,515.2893835616438,552.945205479452,2.323639774859287,2
ALÉM PARAÍBA,MG,479,505.29478079331943,540.1342379958246,546.2475991649269,558.4279749478079,649.2275574112734,2.304921968787515,1
AMAMBAI,MS,488,478.6424180327869,496.7598360655737,511.08155737704914,508.9282786885246,527.7868852459017,1.7818343722172751,2
AMAPÁ,AP,146,434.94109589041096,437.4109589041096,446.00753424657535,430.22945205479454,471.64383561643837,1.256335282651072,0
AMARANTE,PI,484,444.1481404958678,454.5756198347108,475.18966942148757,451.3051652892562,507.5206611570248,1.0163398692810457,0
AMARANTE DO MARANHÃO,MA,447,447.07897091722594,457.31588366890384,476.5704697986577,460.33758389261743,525.1901565995526,1.1559633027522935,0
AMARGOSA,BA,1113,469.71248876909254,485.27187780772687,497.17430368373766,479.0361185983827,529.3800539083558,1.2680131004366813,0
AMERICANA,SP,2184,534.7512362637362,562.686858974359,566.471108058608,592.6579212454212,639.496336996337,3.8685465768799103,1
AMONTADA,CE,689,451.8793904208999,469.05631349782294,485.6251088534108,482.9040638606677,535.7039187227866,1.04614733276884,0
AMPARO,SP,754,526.4389920424403,557.615649867374,560.2019893899204,578.1237400530504,611.2997347480106,3.134,1
AMPÉRE,PR,330,490.9169696969697,521.730303030303,525.7957575757576,532.7927272727272,552.8484848484849,2.202846975088968,2
AMÉLIA RODRIGUES,BA,394,466.26319796954317,482.6779187817259,506.09010152284264,476.09162436548223,554.4162436548223,1.3202319587628866,2
ANAGÉ,BA,343,455.3906705539359,477.3798833819242,489.34723032069974,465.75160349854224,543.265306122449,1.049518569463549,0
