NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,7450,460.30605369127517,513.2672348993289,492.6231409395973,451.94597315436243,514.0919463087248,1.4479178112295352,1
ABAETÉ,MG,1506,484.0934926958832,534.6591633466135,521.7014608233732,506.85365205843294,532.6560424966799,2.098240469208211,0
ABREU E LIMA,PE,4064,467.78693405511814,524.1798720472441,513.6458661417323,469.1600393700787,509.1584645669291,1.6384343622164372,2
ACARAPE,CE,869,451.80195627157656,506.41749136939006,493.0659378596087,448.9043728423475,490.58688147295743,1.2914870689655173,1
ACARAÚ,CE,1769,462.0591294516676,502.72063312605997,492.2163369135104,466.9003391746749,492.832108535896,1.2843087790110999,1
ACARI,RN,630,473.3911111111112,528.8511111111111,513.4168253968254,480.8903174603175,555.3650793650794,1.7718120805369129,2
ACARÁ,PA,967,445.24994829369183,497.3592554291624,485.26845915201653,444.94529472595656,468.4374353671148,1.320458404074703,1
ACOPIARA,CE,1902,454.56919032597267,497.04547844374343,492.35262881177704,458.58838065194533,473.65930599369085,1.2457075192421552,1
ACRELÂNDIA,AC,625,448.32384,497.96848,488.0328,453.58896,448.32,1.4641379310344829,1
ACREÚNA,GO,768,467.0903645833334,518.0539062500001,508.9393229166667,484.7641927083334,508.671875,2.2798466593647317,2
ADAMANTINA,SP,925,492.52313513513513,546.7392432432432,536.066054054054,511.58691891891897,558.1091891891892,3.1829694323144104,0
AFOGADOS DA INGAZEIRA,PE,1444,467.5880193905817,516.0521468144044,510.35837950138506,476.60415512465374,510.39542936288086,1.4367521367521368,2
AFONSO CLÁUDIO,ES,898,481.2791759465479,532.9042316258352,515.7415367483296,492.4790645879733,529.8886414253898,1.9669856459330144,2
AFRÂNIO,PE,1093,458.61756633119853,500.56303751143645,492.23376029277216,460.46724611161943,505.01829826166517,1.2041522491349481,1
AGRESTINA,PE,910,456.4134065934066,513.8553846153847,499.0056043956044,459.6820879120879,500.5527472527473,1.3356417359187442,1
AGUDOS,SP,725,489.39268965517243,546.1696551724137,537.9933793103448,506.41793103448276,546.6758620689656,2.868639667705088,0
AIMORÉS,MG,719,480.55146036161335,534.6552155771905,522.0421418636996,496.8842837273991,521.029207232267,2.178270042194093,2
ALAGOA GRANDE,PB,1229,459.50683482506105,512.0612693246542,500.7684296175753,461.64938974776237,510.22294548413345,1.4244810307802434,2
ALAGOA NOVA,PB,1224,458.2835784313725,512.8055555555555,502.1343954248366,457.97491830065366,520.9477124183006,1.3935185185185186,2
ALAGOINHA,PB,621,446.23848631239935,498.4975845410628,488.2962962962963,450.16956521739127,495.8132045088567,1.3669014084507043,1
ALAGOINHAS,BA,6078,472.1623231326094,528.9016946363936,511.58849950641655,471.56512010529775,514.2053307008885,1.8512969323700106,2
ALCÂNTARA,MA,487,456.3788501026694,502.20821355236137,491.5030800821355,444.87351129363446,484.10677618069815,1.5064102564102564,1
ALEGRE,ES,1871,494.2781934794228,537.8333511491181,519.9488508818814,506.16729021913414,532.7311598075895,2.371198957428323,0
ALEGRETE,RS,2948,471.12059023066485,526.8682157394844,515.3280189959295,484.1604138398914,511.9776119402985,2.266228845668098,2
ALENQUER,PA,1215,444.35925925925926,496.2668312757201,485.5542386831276,439.5744032921811,477.73251028806584,1.2771847898599067,1
ALEXANDRIA,RN,849,462.7429917550059,510.96902237926975,501.479976442874,464.8101295641932,526.9729093050648,1.391196834817013,2
ALEXÂNIA,GO,636,455.3221698113208,516.6482704402515,508.0086477987421,470.989465408805,498.1446540880503,2.082208588957055,2
ALFENAS,MG,4615,489.8137161430119,542.9612351029252,529.7214301191766,506.65328277356446,548.7551462621885,2.5502457210642264,0
ALHANDRA,PB,715,449.1847552447552,497.4672727272727,487.14755244755247,450.83160839160837,479.44055944055947,1.4011627906976745,1
ALIANÇA,PE,911,462.8705817782656,512.6875960482986,505.1625686059275,458.0902305159166,523.8419319429198,1.4832427536231885,2
ALMEIRIM,PA,630,448.26079365079363,495.7209523809524,478.8033333333333,440.62666666666667,463.3333333333333,1.537544696066746,1
ALMENARA,MG,2136,460.51783707865167,514.8661516853933,507.93487827715353,467.9698970037453,497.1137640449438,1.6048502139800285,2
ALMIRANTE TAMANDARÉ,PR,1878,470.90820021299254,535.5107028753994,515.568903088392,478.68136315228963,513.1735889243877,2.3648780487804877,2
ALPINÓPOLIS,MG,1397,481.64817465998567,533.0976377952757,519.851753758053,517.3335719398711,527.2584108804581,2.215551181102362,0
ALTA FLORESTA,MT,1731,465.23703061813984,518.0086077411901,506.0761409589833,475.7479491623339,499.2258809936453,2.6918449197860963,2
ALTA FLORESTA D'OESTE,RO,853,458.9405627198124,510.4407971864009,499.2974208675264,466.4150058616647,465.6975381008206,1.8009174311926606,1
ALTAMIRA,PA,6883,455.7354206014819,508.86983873311056,496.3685602208339,455.48382972541043,488.52448060438763,2.0276154778965934,1
ALTO ALEGRE,RR,268,456.2649253731343,484.1283582089552,476.64514925373135,447.5074626865672,465.97014925373134,1.5414110429447854,1
ALTO DO RODRIGUES,RN,869,459.854085155351,511.1910241657077,501.1635212888377,458.18388952819333,499.6283084004603,1.5460526315789473,1
ALTO PARAÍSO,RO,329,454.5294832826748,502.1808510638298,492.8404255319149,454.64832826747715,459.2705167173252,1.7686230248306998,1
ALTO SANTO,CE,600,450.87466666666666,493.4106666666667,480.3548333333334,446.182,453.96666666666664,1.2165551839464883,1
ALTOS,PI,2713,453.8726870622927,502.0877626244011,489.59336527828975,454.68186509399186,479.343899741983,1.4005218525766472,1
ALVARÃES,AM,169,444.87514792899407,490.8816568047337,479.19704142011835,432.13076923076926,491.8343195266272,1.3528301886792453,1
ALVINÓPOLIS,MG,770,474.8816883116883,523.9783116883117,519.0602597402598,492.88428571428574,517.6103896103896,2.075977653631285,2
ALVORADA,RS,4619,465.12859926390996,537.1156310889803,521.7492963844988,484.112058887205,503.75925525005414,2.2876179900055527,2
ALVORADA D'OESTE,RO,681,456.7823788546255,511.4162995594714,497.3588839941263,462.27151248164466,481.6196769456681,1.9086538461538463,1
ALVORADA DO SUL,PR,663,469.29969834087484,517.6565610859728,507.86953242835597,477.09426847662144,499.18552036199094,2.4749303621169916,2
ALÉM PARAÍBA,MG,1113,488.6574123989218,544.0635220125786,529.5880503144654,508.1969451931716,557.8122192273136,2.495773457311919,0
AMAMBAI,MS,1367,460.21843452816387,511.31148500365765,500.87673738112653,471.55062179956104,468.0760790051207,1.8082942097026604,1
AMAPÁ,AP,351,444.2698005698006,475.02564102564105,463.12849002849003,429.82849002849,440.1139601139601,1.435933147632312,1
AMARANTE,PI,994,448.8385311871227,485.21287726358145,478.3306841046278,437.79778672032194,461.40845070422534,1.1974907063197027,1
AMARANTE DO MARANHÃO,MA,791,451.8448798988622,491.5402022756005,480.9445006321112,455.8214917825537,467.1302149178255,1.4545454545454546,1
AMARGOSA,BA,1803,458.3477537437604,516.1684414864116,491.636827509706,452.9413754853023,506.3433166943982,1.336173838943332,1
AMERICANA,SP,4722,506.78288860652265,565.6078991952562,553.4042778483694,536.624332909784,567.0360016941974,3.963269299181786,0
AMONTADA,CE,1562,454.7967349551857,481.8866837387964,480.0783610755442,451.59923175416134,428.06658130601795,1.1590080233406272,1
AMPARO,SP,1989,503.7017596782303,561.6544997486175,548.252790346908,530.1264957264958,567.8733031674208,3.2318125770653516,0
AMPÉRE,PR,785,472.39146496815283,536.1527388535033,519.0712101910829,497.85273885350324,527.203821656051,2.3015350877192984,2
AMÉLIA RODRIGUES,BA,883,465.1454133635334,522.4312570781427,502.73510758776894,463.7662514156285,512.4575311438279,1.6265323992994747,2
ANAGÉ,BA,814,448.6615479115479,501.3361179361179,488.6882063882064,449.2390663390663,486.019656019656,1.2661909989023052,1
ANAJATUBA,MA,425,458.78823529411767,506.14588235294116,492.6743529411765,458.7183529411764,494.8705882352941,1.4671669793621014,1
ANAJÁS,PA,492,433.73414634146343,491.9719512195122,470.6939024390244,435.2599593495935,445.0406504065041,1.1681360201511335,1
ANAMÃ,AM,172,436.9720930232558,479.6377906976744,473.8883720930233,433.2686046511628,458.0232558139535,1.1049618320610688,1
ANANINDEUA,PA,25633,472.9902586509578,532.6787266414387,511.9528615456638,468.74210978036126,522.0827839113642,1.8197210857944874,2
ANANÁS,TO,580,446.45758620689656,488.88793103448273,483.9432758620689,444.8010344827586,461.37931034482756,1.476038338658147,1
ANASTÁCIO,MS,717,453.4461645746165,504.08033472803345,496.13068340306836,457.86527196652725,466.3821478382148,1.6903381642512076,1
ANCHIETA,ES,1822,487.0900109769484,539.9824368825466,519.8127332601537,496.08847420417123,535.3529088913282,2.15438373570521,0
ANDRADAS,MG,975,494.22235897435894,552.7997948717949,541.0090256410257,517.4014358974359,567.7128205128205,2.741537053979872,0
ANDRADINA,SP,2112,484.823768939394,538.509375,531.022490530303,496.88309659090913,543.6197916666666,2.785838779956427,0
ANDRELÂNDIA,MG,1344,477.1308035714286,530.4106398809524,517.5840029761905,488.14367559523805,530.8779761904761,1.8745727956254272,2
ANGICOS,RN,1723,454.7266976204295,501.7287869994196,493.6334881021474,462.576494486361,487.08067324434126,1.4515122419587134,1
ANGRA DOS REIS,RJ,3101,482.0832634633989,545.6996775233796,531.2967107384715,493.228281199613,540.3128023218317,2.7631963026027733,0
ANORI,AM,202,439.3079207920792,494.6985148514852,481.58415841584156,437.52772277227723,479.6039603960396,1.260536398467433,1
ANÁPOLIS,GO,13883,483.5051645897861,540.0258157458762,523.9702153713174,496.09320031693443,537.5005402290572,2.4613358213050875,0
APARECIDA,SP,1059,483.9637393767705,544.9806421152031,535.1421152030217,509.44976392823423,541.7223796033994,2.665768194070081,0
APARECIDA DE GOIÂNIA,GO,11944,468.69293369055595,528.4026289350302,514.0641242464836,478.25370897521765,512.9895344943068,2.1316224658541065,2
APARECIDA DO TABOADO,MS,449,470.8053452115813,520.5075723830735,511.28864142538976,477.2420935412027,496.9265033407572,2.496551724137931,2
APIAÍ,SP,857,467.4483080513419,528.0323220536757,523.9441073512252,483.17292882147024,515.6359393232206,2.376579203109815,2
APODI,RN,2381,465.77123057538853,512.1689626207476,499.4796304073919,474.83242335153295,520.6934061318774,1.402997932460372,2
APUCARANA,PR,3787,481.3654343807763,538.7506469500925,528.029469236863,503.2174808555585,524.2645893847373,2.776103230890465,0
APUÍ,AM,304,448.25921052631577,495.0536184210526,486.90394736842103,454.23519736842104,444.4736842105263,1.7447643979057592,1
AQUIDAUANA,MS,1912,459.8024581589958,513.0635983263599,497.89288702928866,466.15172594142257,480.293410041841,1.7750996015936256,1
AQUIRAZ,CE,2080,470.57802884615387,524.9821153846154,509.9460576923077,471.46750000000003,522.5360576923077,1.5935007974481659,2
ARACAJU,SE,33019,489.20898270692635,541.5580393106999,522.2668493897453,495.17900299827375,553.1924952300191,2.6029764937049706,0
ARACATI,CE,3468,465.61245674740485,517.0292675893887,505.3862456747405,468.37027104959634,512.6297577854672,1.444575781455214,2
ARACI,BA,765,457.28013071895424,510.1419607843137,494.73346405228756,460.7505882352941,505.90849673202615,1.3688524590163935,1
ARACOIABA,CE,1271,453.6639653815893,499.83446105428794,492.4907159716758,448.8622344610543,484.4217151848938,1.209257842387146,1
ARACRUZ,ES,3288,491.2678527980535,543.588594890511,524.3263381995134,510.0613746958638,532.2001216545012,2.5737760652765185,0
ARAGARÇAS,GO,803,461.40510585305105,518.1856787048567,507.55392278953923,463.7100871731009,483.7359900373599,1.834212840809147,2
ARAGUANÃ,TO,238,444.71512605042017,486.9970588235294,478.7974789915967,432.47142857142853,438.06722689075633,1.304421768707483,1
ARAGUARI,MG,3671,489.105420866249,545.1474802506128,531.9550531190412,505.6719967311359,552.4053391446472,2.7828059305156008,0
ARAGUATINS,TO,1421,462.733427163969,508.22941590429275,496.8675580577059,461.71618578465865,486.10837438423647,1.726552598225602,1
ARAGUAÍNA,TO,8926,465.62277615953394,519.0335536634551,503.81422809769214,467.7452274254985,511.94600044812904,2.30092716412588,2
ARAIOSES,MA,592,449.172972972973,499.9353040540541,484.0760135135135,438.37668918918916,482.7027027027027,1.2668539325842696,1
ARAME,MA,547,440.4173674588665,484.18171846435104,472.9667276051188,440.0252285191956,445.0091407678245,1.296521739130435,1
ARAPIRACA,AL,13404,466.7461951656222,522.8875037302298,506.73617576842736,472.8451357803641,536.0954938824232,1.710408666246346,2
ARAPOEMA,TO,210,442.0904761904762,484.16142857142853,479.83857142857147,433.6928571428571,444.6666666666667,1.6497584541062802,1
