NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
MUZAMBINHO,MG,960,495.9488541666667,518.4127083333334,531.8947916666667,556.8594791666667,620.4375,544.7106666666666,2.6031976744186047,2
MÂNCIO LIMA,AC,521,432.4241842610365,463.0909788867562,479.6207293666027,463.87236084452974,545.8349328214971,476.9686372360845,1.3115615615615617,0
MÃE DO RIO,PA,1214,439.5503294892916,464.5334431630972,480.0248764415156,466.2210049423394,523.6902800658978,474.8039868204282,1.3272193690388847,0
NANUQUE,MG,901,455.4196448390677,486.6082130965594,504.4238623751388,496.8341842397336,531.7425083240844,495.0056825749167,1.8560975609756096,1
NATAL,RN,29914,499.323069465802,530.6240088252991,539.1468844019523,547.987861870696,622.9377548973724,548.0039158922243,3.1647568906782286,2
NATIVIDADE,TO,194,437.8907216494845,451.80927835051546,478.1551546391753,459.00876288659794,487.83505154639175,462.9397938144331,1.5337837837837838,0
NAVEGANTES,SC,1058,473.8286389413989,504.5186200378071,522.9175803402647,510.9455576559546,550.4914933837429,512.5403780718336,2.688492063492064,1
NAVIRAÍ,MS,1220,463.7976229508196,494.4515573770492,511.9397540983607,501.106393442623,533.327868852459,500.9246393442624,2.440405244338498,1
NAZARÉ,BA,1174,443.11277683134585,475.705195911414,492.7819420783646,474.2770868824532,517.3764906303237,480.6506984667802,1.3743682310469314,0
NAZARÉ DA MATA,PE,1416,459.6363700564972,493.9447740112994,501.9247881355933,501.34978813559326,569.7175141242938,505.3146468926554,1.5722433460076046,1
NEPOMUCENO,MG,436,489.0924311926605,515.4649082568808,522.2066513761469,549.2942660550458,621.8348623853211,539.5786238532111,2.237749546279492,2
NERÓPOLIS,GO,765,466.519477124183,502.9526797385621,516.0656209150327,512.6571241830065,573.8039215686274,514.3997647058824,2.1875719217491367,1
NEÓPOLIS,SE,935,430.4018181818182,456.2604278074866,479.1273796791444,458.9803208556149,499.2513368983957,464.8042566844921,1.2733217088055797,0
NHAMUNDÁ,AM,509,423.7838899803537,456.43889980353634,470.7811394891945,455.3406679764244,487.3477406679765,458.738467583497,1.2706489675516224,0
NILÓPOLIS,RJ,3854,482.023533990659,518.7681370005189,533.5627919045148,522.9829527763363,584.9091852620654,528.4493201868189,2.6259101941747574,2
NIOAQUE,MS,192,444.89947916666665,479.021875,495.2375,474.1270833333333,511.4583333333333,480.94885416666665,1.8092369477911647,0
NIQUELÂNDIA,GO,584,465.1782534246575,486.686301369863,510.36849315068497,508.62157534246575,572.3287671232877,508.6366780821918,2.240031897926635,1
NITERÓI,RJ,12324,516.3553554040897,550.525340798442,553.9290327815645,577.648182408309,662.27523531321,572.146629341123,4.794059823058559,2
NOSSA SENHORA DA GLÓRIA,SE,2081,456.4483421432004,487.0338298894762,499.9848630466122,500.3899086977415,572.7054300816915,503.3124747717444,1.439337377508166,1
NOSSA SENHORA DAS DORES,SE,922,448.3163774403471,476.76203904555314,490.99663774403473,482.663557483731,556.9848156182212,491.14468546637744,1.4358490566037736,0
NOSSA SENHORA DO LIVRAMENTO,MT,135,432.5437037037037,465.9948148148149,486.7681481481481,463.3533333333333,516.0,472.932,2.2295081967213117,0
NOSSA SENHORA DO SOCORRO,SE,3033,457.18783382789314,488.2824596109463,505.127563468513,488.3973953181669,572.4010554089709,502.2792615268981,1.5963806970509384,1
NOVA ANDRADINA,MS,1014,463.7072978303748,488.97731755424064,510.0507889546351,502.2778106508876,524.1025641025641,497.8231558185405,2.336477987421384,1
NOVA BRASILÂNDIA D'OESTE,RO,321,454.7239875389408,485.1520249221184,500.7897196261682,504.74330218068536,533.208722741433,495.7235514018691,1.7936962750716332,1
NOVA CRUZ,RN,1839,450.8338771071234,483.2270799347471,501.5961392060903,499.47563893420335,573.8553561718326,501.7976182707994,1.5331253000480076,1
NOVA ERA,MG,739,477.47063599458727,509.4742895805142,525.4435723951285,524.4852503382949,575.31799729364,522.4383491204329,2.293206197854589,1
NOVA ESPERANÇA,PR,398,479.2412060301508,509.5379396984925,523.1349246231156,515.9587939698492,579.6984924623116,521.5142713567839,2.865209471766849,1
NOVA FRIBURGO,RJ,3830,505.3623759791122,542.6377284595301,547.0048302872062,562.1876240208877,660.6631853785901,563.5711488250653,3.0673474349623144,2
NOVA IGUAÇU,RJ,11713,473.50593357807566,505.9707760607872,523.3502945445232,508.1641338683514,568.3428669000256,515.8668009903525,2.297811136093109,1
NOVA LIMA,MG,1929,500.6224468636599,533.8073613271125,541.0344738206325,556.1161741835148,599.1809227579057,546.152275790565,3.569708491761724,2
NOVA MUTUM,MT,687,464.4649199417759,494.5170305676856,509.2289665211063,500.9625909752547,546.9286754002911,503.2204366812227,3.09875,1
NOVA ODESSA,SP,758,497.07836411609503,535.135092348285,546.6232189973615,555.1449868073879,592.7968337730871,545.3556992084433,3.7569444444444446,2
NOVA OLINDA,CE,586,447.0066552901024,475.6641638225256,491.7580204778157,491.8220136518772,535.4948805460751,488.3491467576793,1.1253644314868805,0
NOVA OLINDA DO NORTE,AM,192,429.19947916666666,459.41875,473.4322916666667,462.7760416666667,482.0833333333333,461.38197916666667,1.306547619047619,0
NOVA OLÍMPIA,MT,305,445.6577049180328,472.94327868852463,491.08983606557376,471.87704918032784,506.4262295081968,477.5988196721311,2.061124694376528,0
NOVA PETRÓPOLIS,RS,345,520.5944927536232,552.4979710144927,551.8657971014493,588.3278260869565,640.0579710144928,570.668811594203,3.7371794871794872,2
NOVA PRATA,RS,708,479.8244350282486,519.2166666666667,527.9084745762711,537.158757062147,623.9265536723163,537.60697740113,3.5895953757225434,2
NOVA RUSSAS,CE,1218,455.9697044334975,480.8685550082102,496.2328407224959,497.8372742200329,539.6387520525451,494.1094252873563,1.24310216256525,1
NOVA SERRANA,MG,1226,480.9110114192496,515.3962479608483,530.3890701468189,535.4305057096249,577.2920065252855,527.8837683523655,2.7153511497824736,2
NOVA VENÉCIA,ES,1254,481.40079744816586,506.3361244019139,517.4974481658693,533.6228070175439,576.8421052631579,523.1398564593302,2.1499013806706118,1
NOVA VIÇOSA,BA,343,446.4128279883382,470.42769679300295,494.396501457726,475.0457725947522,518.6588921282798,480.9883381924198,1.4837209302325582,0
NOVA XAVANTINA,MT,438,450.2116438356165,476.9888127853881,491.4221461187215,479.3671232876712,517.3059360730593,483.0591324200914,2.554838709677419,0
NOVO ACORDO,TO,318,424.2817610062893,447.753144654088,469.73899371069183,463.1408805031446,490.44025157232704,459.0710062893082,1.3342318059299192,0
NOVO AIRÃO,AM,105,430.2819047619048,475.6257142857143,484.4952380952381,477.8828571428571,511.04761904761904,475.8666666666666,1.5927152317880795,0
NOVO ARIPUANÃ,AM,223,421.03766816143496,449.0932735426009,463.4569506726457,452.8242152466368,445.6502242152466,446.412466367713,1.2310469314079422,0
NOVO CRUZEIRO,MG,684,451.0374269005848,478.5883040935673,495.34722222222223,496.5703216374269,501.4619883040936,484.6010526315789,1.4824191279887482,0
NOVO GAMA,GO,1259,448.35552025417,484.47299444003175,506.5691024622717,479.0280381254965,524.4797458300238,488.58108022239867,1.8043859649122809,0
NOVO HAMBURGO,RS,2403,491.1324178110695,535.0935497295048,546.8151477320017,556.0720349563046,600.4660840615896,545.9158468580941,3.4139751552795032,2
NOVO HORIZONTE,SP,573,494.3359511343805,521.1951134380454,535.6425828970332,561.2884816753926,682.3385689354276,558.9601396160558,3.0145299145299145,2
NOVO ORIENTE,CE,849,450.7800942285041,478.5679623085984,496.2182567726737,496.1965842167256,550.2944640753828,494.4114723203769,0.8987635239567233,1
NOVO PROGRESSO,PA,331,449.3401812688822,473.9108761329305,493.2030211480362,490.2135951661632,515.1661631419939,484.3667673716012,2.1890410958904107,0
NOVO REPARTIMENTO,PA,592,442.2412162162162,465.1555743243243,484.5875,475.4199324324324,499.5945945945946,473.3997635135135,1.643646408839779,0
NÍSIA FLORESTA,RN,274,451.91058394160586,473.5846715328467,499.0397810218978,482.4240875912409,534.9635036496351,488.38452554744526,1.5181058495821729,0
OCARA,CE,645,442.08,477.00046511627903,494.8565891472868,483.9646511627907,512.4031007751938,482.0609612403101,1.198005698005698,0
OEIRAS,PI,2380,442.8260084033613,466.0031092436975,483.20168067226894,482.57495798319326,548.0504201680673,484.53123529411766,1.2072695802682822,0
OEIRAS DO PARÁ,PA,519,428.5774566473989,458.4631984585742,470.0433526011561,454.357225433526,503.5067437379576,462.98959537572256,1.2714078374455733,0
OIAPOQUE,AP,706,429.3250708215297,458.87308781869694,468.8267705382437,447.556657223796,470.59490084985833,455.035297450425,1.498956158663883,0
OLHO D'ÁGUA DAS FLORES,AL,946,436.6682875264271,465.3521141649048,485.3579281183932,471.0442917547569,523.5517970401692,476.3948837209302,1.2596964586846544,0
OLINDA,PE,8151,482.100956937799,512.8846521899153,525.5814378603852,524.800650226966,583.1309041835358,525.6997202797203,2.293834196891192,2
OLIVEIRA,MG,1533,490.3864318330072,522.9358121330724,530.2456621004566,541.1384866275278,625.4142204827136,542.0241226353554,2.49055330634278,2
OLIVEIRA DOS BREJINHOS,BA,216,442.2875,468.9578703703704,484.9671296296296,486.0634259259259,531.8518518518518,482.8255555555555,1.4883720930232558,0
OLÍMPIA,SP,883,496.10283125707815,523.6077010192525,536.126160815402,559.641449603624,579.7281993204983,539.041268403171,3.2418032786885247,2
ORIXIMINÁ,PA,1411,443.6173635719348,476.78362863217575,487.2446491849752,466.2959603118356,527.2572643515238,480.239773210489,1.3926654740608229,0
ORLEANS,SC,632,489.8444620253165,526.7004746835444,528.9550632911393,533.7,580.8860759493671,532.0172151898735,3.434813753581662,2
ORLÂNDIA,SP,1138,493.8699472759227,518.0671353251319,533.073374340949,539.6456942003515,613.7434094903339,539.6799121265378,3.3515497553017943,2
OROBÓ,PE,882,454.2163265306122,481.23956916099775,496.4802721088435,500.4393424036281,585.827664399093,503.64063492063485,1.2273175542406312,1
ORÓS,CE,371,443.1625336927223,478.3935309973046,494.7504043126684,487.9409703504043,521.5094339622641,485.1513746630728,1.34251968503937,0
OSASCO,SP,11710,488.73939368061485,526.5026729291204,538.4166695132366,537.9598633646456,583.6532877882152,535.0543774551664,3.363458904109589,2
OSVALDO CRUZ,SP,523,496.7139579349905,527.7606118546845,538.2726577437858,554.0162523900574,598.1644359464627,542.9855831739962,2.9137096774193547,2
OSÓRIO,RS,939,481.51075612353566,521.6604898828541,533.6320553780618,534.2781682641107,596.2087326943557,533.4580404685836,3.2305113160100585,2
OURICURI,PE,1671,461.0223219628965,484.48647516457214,498.12160383004186,500.6576301615799,534.6020347097547,495.778013165769,1.3318840579710145,1
OURINHOS,SP,1757,488.6749003984064,521.47546955037,535.1663062037563,547.0508821855435,576.6192373363688,533.797359134889,3.049645390070922,2
OURO BRANCO,MG,1220,505.8609836065574,538.1532786885246,543.7825409836065,563.0105737704919,622.9344262295082,554.7483606557377,3.04989816700611,2
OURO FINO,MG,576,490.6307291666666,520.6987847222222,530.409375,543.5657986111112,596.1805555555555,536.2970486111111,2.4760802469135803,2
OURO PRETO,MG,2803,495.8064930431681,526.5623974313236,533.0115947199429,541.336282554406,596.5965037459864,538.6626542989654,2.845914502164502,2
OURO PRETO DO OESTE,RO,851,458.0338425381904,484.93701527614576,502.204347826087,490.4318448883666,534.75910693302,494.0732314923619,2.0742081447963803,1
PACAJUS,CE,1916,457.4417536534447,492.9807933194154,508.9135699373695,503.3699373695199,563.3507306889353,505.211356993737,1.39546965918537,1
PACAJÁ,PA,472,434.6612288135593,456.4033898305085,479.3027542372881,455.121186440678,496.8220338983051,464.4621186440678,1.530841121495327,0
PACATUBA,CE,1628,455.6055896805897,488.9787469287469,504.98157248157247,495.0567567567568,550.4668304668305,499.0178992628993,1.4585470085470085,1
PACOTI,CE,930,440.4816129032258,477.3966666666667,495.0922580645161,476.9962365591398,534.0860215053764,484.81055913978497,1.233163913595934,0
PADRE BERNARDO,GO,249,438.4421686746988,461.0397590361446,488.1799196787149,467.7493975903615,501.8473895582329,471.4517269076306,1.8197026022304832,0
PADRE PARAÍSO,MG,455,451.743956043956,481.6281318681319,505.3835164835165,494.678021978022,536.7472527472528,494.0361758241758,1.424812030075188,1
PAIÇANDU,PR,271,471.04354243542434,511.5915129151291,521.6671586715867,503.3461254612546,570.2583025830259,515.581328413284,2.7308612440191387,1
PALHOÇA,SC,2943,485.0203533809038,523.0484199796126,532.7433571185865,537.3933061501868,573.3469249065579,530.3104723071694,3.2649942329873127,2
PALMARES,PE,1707,450.8553602811951,480.9489162272994,500.8234915055653,496.980316344464,554.0597539543058,496.7335676625659,1.4692380501656412,1
PALMAS,TO,10661,475.53953662883407,502.71258793734177,518.6141356345559,515.5210299221461,581.2419097645625,518.725839977488,2.9537859007832896,1
PALMAS DE MONTE ALTO,BA,384,450.6484375,478.7513020833333,494.5388020833333,483.6940104166667,540.15625,489.55776041666667,1.3116279069767445,0
PALMEIRA,PR,407,491.77616707616704,531.5769041769041,534.7132678132677,538.8786240786241,547.960687960688,528.9811302211302,3.032157676348548,2
PALMEIRA DAS MISSÕES,RS,994,470.1800804828974,506.6317907444668,518.2777665995976,518.3202213279678,571.3682092555332,516.9556136820926,2.6900866217516843,1
PALMEIRA DOS ÍNDIOS,AL,2748,449.209788937409,480.38151382823867,493.8561499272198,490.2779839883551,556.4119359534207,494.02747452692864,1.54375,1
PALMEIRÓPOLIS,TO,295,440.4969491525424,469.3054237288136,489.1745762711864,470.59220338983056,524.7457627118644,478.86298305084745,1.5503355704697988,0
PALMITOS,SC,621,473.3587761674718,510.37326892109496,516.4793880837359,526.2449275362319,552.0450885668276,515.7002898550725,3.168918918918919,1
