NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,3505,469.6976034236805,496.6196291012839,478.878059914408,488.78907275320967,604.1027104136947,507.61741512125536,1.3750573131591013,1
ABAETÉ,MG,460,497.06652173913045,534.35,524.4145652173913,564.34,637.6521739130435,551.564652173913,2.4827935222672064,2
ABREU E LIMA,PE,1354,482.4424667651403,511.0607090103397,506.63943870014776,512.4042836041359,578.2865583456426,518.1666912850812,1.4775623268698062,1
ACARAPE,CE,317,463.5539432176656,485.59684542586757,477.02082018927445,489.0403785488959,588.3911671924291,500.72063091482653,1.17875,0
ACARAÚ,CE,1018,467.71650294695485,488.6016699410609,475.84548133595285,513.7657170923379,614.4204322200393,512.0699607072692,1.2758152173913044,1
ACARI,RN,342,492.9856725146199,522.0567251461988,513.5891812865497,524.2304093567251,635.7309941520468,537.718596491228,1.8248730964467006,1
ACARÁ,PA,430,456.8006976744186,477.266511627907,456.10999999999996,462.4895348837209,569.1162790697674,484.3566046511627,1.182282793867121,0
ACOPIARA,CE,839,470.64159713945173,497.8854588796186,483.9847437425507,507.176758045292,562.7890345649582,504.4955184743743,1.2167008196721312,0
ACRELÂNDIA,AC,212,458.7193396226415,493.58867924528306,481.6943396226415,489.0943396226415,525.0,489.6193396226416,1.6596153846153847,0
ACREÚNA,GO,314,475.27993630573246,502.45796178343943,491.5,505.46273885350314,572.3566878980891,509.4114649681529,2.4145631067961166,1
ADAMANTINA,SP,280,519.4203571428571,560.2253571428572,549.0146428571429,594.9671428571428,672.4285714285714,579.2112142857143,3.818485523385301,2
AFOGADOS DA INGAZEIRA,PE,678,490.18333333333334,519.2510324483776,515.3407079646017,543.4676991150442,620.1474926253687,537.6780530973451,1.5615671641791045,1
AFONSO CLÁUDIO,ES,378,493.51296296296294,532.9330687830688,508.8230158730159,544.378835978836,666.6137566137567,549.2523280423281,2.0337995337995336,2
AFRÂNIO,PE,648,464.8566358024691,487.20246913580246,466.3304012345679,509.566049382716,548.5185185185185,495.2948148148148,1.1098615916955017,0
AGRESTINA,PE,290,481.9989655172414,512.323448275862,502.39379310344833,520.1517241379311,628.8965517241379,529.1528965517242,1.1614420062695925,1
AGUDOS,SP,243,509.06954732510286,541.0720164609054,540.5658436213992,567.8061728395062,639.5884773662551,559.6204115226337,3.1849529780564265,2
AIMORÉS,MG,367,496.5858310626703,528.3313351498638,518.041416893733,556.1863760217983,622.8337874659401,544.3957493188011,2.65967365967366,2
ALAGOA GRANDE,PB,483,477.42525879917184,503.21987577639754,492.9650103519669,502.9786749482402,597.8467908902692,514.8871221532092,1.2858306188925082,1
ALAGOA NOVA,PB,432,471.64722222222224,505.7986111111111,490.0724537037037,494.7138888888889,609.1203703703703,514.2705092592593,1.2906309751434035,1
ALAGOINHA,PB,368,466.5733695652174,483.19918478260865,472.329347826087,476.23532608695655,554.4021739130435,490.54788043478254,1.2108050847457628,0
ALAGOINHAS,BA,2311,488.4599740372133,519.0118563392471,512.2193855473821,515.9606231068801,598.6499350930333,526.8603548247512,1.9044795783926218,1
ALCÂNTARA,MA,140,467.4871428571428,486.55,478.4364285714286,482.2807142857143,559.2857142857143,494.808,1.2201086956521738,0
ALEGRE,ES,718,501.1227019498607,530.8903899721448,513.6621169916435,544.4541782729805,638.2172701949861,545.6693314763231,2.1846153846153844,2
ALEGRETE,RS,853,488.92415005861665,524.2718640093786,520.764712778429,525.1641266119578,619.0855803048065,535.6420867526377,2.622854561878952,1
ALENQUER,PA,656,462.1881097560976,478.51463414634145,458.7172256097561,467.1771341463415,559.6646341463414,485.25234756097564,1.143975903614458,0
ALEXANDRIA,RN,557,475.89766606822263,498.0594254937163,484.9849192100538,506.9245960502693,607.1095152603232,514.595224416517,1.289902280130293,1
ALEXÂNIA,GO,227,471.44449339207046,504.65991189427314,496.9162995594714,506.720704845815,582.8193832599119,512.5121585903083,2.345303867403315,1
ALFENAS,MG,1595,511.37548589341696,547.1348589341693,533.8487774294671,566.0201880877743,659.8369905956113,563.6432601880879,2.9585813492063493,2
ALHANDRA,PB,195,466.3825641025641,488.7076923076923,481.1246153846154,492.61128205128205,544.2051282051282,494.6062564102564,1.2702702702702702,0
ALIANÇA,PE,512,471.373046875,491.529296875,482.77109375,496.571875,567.578125,501.9646875,1.2488076311605723,0
ALMEIRIM,PA,161,459.6695652173913,482.4055900621118,468.639751552795,470.23540372670806,532.1739130434783,482.6248447204969,1.429553264604811,0
ALMENARA,MG,752,477.4502659574468,511.48497340425536,506.8147606382979,519.0841755319149,595.3457446808511,522.0359840425532,1.7304170905391658,1
ALMIRANTE TAMANDARÉ,PR,590,488.0196610169491,525.4852542372881,515.7205084745763,523.4954237288135,586.6779661016949,527.8797627118644,2.627574370709382,1
ALPINÓPOLIS,MG,512,492.6103515625,525.00078125,512.0650390625,563.871875,670.234375,552.756484375,2.5130434782608697,2
ALTA FLORESTA,MT,782,480.25984654731457,507.0945012787724,500.5314578005115,518.6081841432225,617.9028132992328,524.8793606138108,3.0867861142217246,1
ALTA FLORESTA D'OESTE,RO,210,479.4057142857143,515.0942857142858,492.7504761904762,519.5014285714286,634.8571428571429,528.3218095238095,2.301418439716312,1
ALTAMIRA,PA,3085,472.21354943273906,500.60129659643434,485.04055105348465,497.3027876823339,583.3452188006484,507.70068071312807,1.824552429667519,1
ALTINHO,PE,281,487.5843416370107,520.5975088967971,509.5480427046263,536.570818505338,636.2989323843416,538.1199288256228,1.3655737704918032,1
ALTO ALEGRE,RR,52,470.54615384615386,479.46730769230766,468.0,463.08653846153845,516.1538461538462,479.4507692307692,1.4578313253012047,0
ALTO DO RODRIGUES,RN,442,473.48981900452486,488.043665158371,486.85203619909504,492.1848416289593,561.4932126696832,500.41271493212673,1.5524475524475525,0
ALTO PARAÍSO,RO,87,464.64367816091954,488.27701149425286,474.82643678160923,483.8896551724138,552.4137931034483,492.8101149425287,2.287581699346405,0
ALTO SANTO,CE,306,468.27352941176474,480.46993464052287,466.63235294117646,489.04901960784315,482.94117647058823,477.4732026143791,1.256064690026954,0
ALTOS,PI,1335,466.26659176029966,494.39348314606747,480.1852434456929,497.9029962546816,587.7303370786517,505.2957303370787,1.2781007751937985,0
ALVARÃES,AM,102,444.2029411764706,457.90294117647056,437.70490196078435,447.50882352941176,516.4705882352941,460.7580392156862,1.2864583333333333,0
ALVINÓPOLIS,MG,228,484.0135964912281,528.5872807017544,516.8355263157895,539.1837719298245,598.859649122807,533.4959649122808,2.2509727626459144,1
ALVORADA,RS,1398,486.00071530758225,529.5133047210301,527.8440629470672,520.0942060085837,596.6094420600858,532.0123462088698,2.358070500927644,1
ALVORADA D'OESTE,RO,199,470.3542713567839,488.67537688442206,475.13718592964824,494.3467336683417,598.391959798995,505.3811055276381,2.193832599118943,0
ALVORADA DO NORTE,GO,218,467.2559633027523,495.50412844036697,476.98440366972477,493.1802752293578,550.4587155963303,496.6766972477065,1.7796934865900382,0
ALVORADA DO SUL,PR,237,486.9666666666667,524.3506329113924,513.4206751054852,525.9367088607595,595.2742616033755,529.1897890295359,2.7285714285714286,1
ALÉM PARAÍBA,MG,536,503.4408582089552,538.6850746268657,530.1085820895522,573.5569029850747,693.7686567164179,567.9120149253732,2.7010489510489513,2
AMAMBAI,MS,488,471.19856557377045,505.70881147540985,493.8479508196721,515.364344262295,562.5409836065573,509.732131147541,1.9453015427769986,1
AMAPÁ,AP,147,450.91904761904766,466.9469387755102,446.3380952380952,457.138775510204,526.2585034013606,469.5202721088435,1.3450704225352113,0
AMARANTE,PI,371,457.45822102425876,475.9865229110512,460.77088948787065,464.05283018867925,547.1698113207547,481.0876549865229,1.1090712742980562,0
AMARANTE DO MARANHÃO,MA,464,461.22887931034484,475.37025862068964,460.57866379310343,479.14870689655174,566.0344827586207,488.4721982758621,1.4540441176470589,0
AMARGOSA,BA,1071,480.4214752567694,508.2776844070962,492.1844070961718,505.90793650793654,585.1540616246499,514.3891129785247,1.3368592351505288,1
AMERICANA,SP,2203,525.7967771221063,562.4638674534725,554.8694053563323,596.0204720835225,681.1802088061734,584.0661461643213,4.484683986041102,2
AMONTADA,CE,847,457.865761511216,476.21782762691856,461.6710743801653,490.7286894923259,505.69067296340023,478.43480519480516,0.8107675906183369,0
AMPARO,SP,917,519.4772082878953,556.7252998909487,547.9532170119957,587.9641221374045,661.3740458015267,574.6987786259542,3.4201923076923078,2
AMPÉRE,PR,247,488.5955465587045,519.7198380566801,515.619028340081,541.446153846154,603.3198380566802,533.7400809716598,2.7910714285714286,1
AMÉLIA RODRIGUES,BA,310,478.15258064516127,500.25903225806445,493.6690322580645,505.0709677419355,602.8387096774194,515.998064516129,1.5185676392572944,1
ANAGÉ,BA,364,464.4200549450549,495.5304945054945,483.8285714285714,496.1376373626374,613.021978021978,510.58774725274725,1.1588235294117648,1
ANAJATUBA,MA,149,467.9161073825503,482.6765100671141,470.4859060402684,495.99798657718117,633.0201342281879,510.01932885906035,1.225130890052356,1
ANAJÁS,PA,206,447.2703883495146,463.8252427184466,453.4878640776699,449.9800970873786,481.5533980582524,459.2233980582524,1.1134453781512605,0
ANAMÃ,AM,85,449.16588235294114,463.2823529411765,464.1305882352941,473.7752941176471,510.8235294117647,472.2355294117647,1.2137931034482758,0
ANANINDEUA,PA,11760,481.48499149659864,515.1345408163265,501.5538010204082,506.34742346938776,600.5119047619048,521.0065323129253,1.8247128344731425,1
ANANÁS,TO,161,462.10496894409937,478.43167701863354,466.05403726708073,494.904347826087,588.0745341614906,497.91391304347826,1.793193717277487,0
ANASTÁCIO,MS,212,460.05094339622644,484.3938679245283,474.23066037735845,475.79952830188677,535.9433962264151,486.083679245283,1.7329545454545454,0
ANCHIETA,ES,695,497.80446043165466,535.3742446043165,525.8692086330935,552.7247482014388,641.7841726618705,550.7113669064748,2.410394265232975,2
ANDRADAS,MG,378,495.3671957671957,535.3772486772486,529.0624338624339,546.4126984126984,662.4338624338625,553.7306878306879,2.785202863961814,2
ANDRADINA,SP,816,498.47267156862745,525.0454656862745,522.4101715686274,547.9849264705882,606.0539215686274,539.9934313725489,3.1138014527845037,2
ANDRELÂNDIA,MG,451,483.0631929046563,517.0286031042128,504.20155210643014,531.8580931263858,597.8713968957871,526.8045676274944,2.0159362549800797,1
ANGICOS,RN,734,470.4589918256131,493.5456403269755,486.8681198910082,500.62765667574934,555.9400544959128,501.4880926430518,1.4472573839662448,0
ANGRA DOS REIS,RJ,1370,493.672700729927,530.7673722627737,523.5386131386862,535.9491240875913,611.5474452554745,539.0950510948906,2.7179978118161925,2
ANORI,AM,81,461.89382716049386,490.1012345679012,474.8975308641975,473.48641975308647,540.9876543209876,488.27333333333337,1.3744186046511628,0
ANÁPOLIS,GO,5777,500.79968841959493,535.9612428596157,524.6721135537476,552.8042582655357,677.7739311061105,558.402246840921,2.9557475778999738,2
APARECIDA,SP,304,508.27368421052637,554.9190789473683,547.2404605263158,586.25,645.1973684210526,568.3761184210526,2.608988764044944,2
APARECIDA DE GOIÂNIA,GO,5958,483.11117824773413,521.5689157435381,511.9725075528701,524.7459718026183,624.4142329640819,533.1625612621685,2.2027159285539515,1
APARECIDA DO TABOADO,MS,156,498.6307692307692,532.0942307692308,524.0826923076922,572.226282051282,638.7179487179487,553.1503846153846,2.8384615384615386,2
APIAÍ,SP,315,482.2914285714285,526.032380952381,521.3015873015873,530.364126984127,588.5079365079365,529.699492063492,2.211864406779661,1
APODI,RN,1183,489.3377007607777,513.9152155536771,503.1283178360102,521.860270498732,636.196111580727,532.8875232459848,1.4124617737003058,1
APUCARANA,PR,1267,502.7725335438043,535.6328334648776,526.8264404104183,551.5458563535911,604.8776637726914,544.3310655090766,3.222529158993247,2
APUÍ,AM,71,468.4718309859155,505.3774647887324,485.31126760563376,519.5802816901409,489.5774647887324,493.66366197183095,1.7548076923076923,0
AQUIDAUANA,MS,685,469.43766423357664,495.40116788321166,486.1778102189781,497.85985401459857,558.8905109489051,501.553401459854,2.0142276422764227,0
AQUIRAZ,CE,853,485.63728018757325,512.9343493552169,506.3117233294256,525.6856975381008,615.1699882766706,529.1478077373974,1.7220708446866484,1
ARACAJU,SE,16102,505.9348093404546,539.3652900260837,527.6163023226928,549.7242081728978,667.3146193019501,557.9910458328158,2.934936350777935,2
ARACATI,CE,1508,477.36644562334214,496.668700265252,491.7700928381963,510.5401193633952,554.867374005305,506.2425464190981,1.408236994219653,1
ARACI,BA,367,471.07547683923707,501.83732970027245,489.4068119891008,499.16948228882836,612.2615803814714,514.750136239782,1.460048426150121,1
ARACOIABA,CE,756,465.6160052910053,488.9242063492064,479.890873015873,490.23928571428576,561.984126984127,497.33089947089957,1.0492845786963434,0
ARACRUZ,ES,1118,504.1894454382827,543.3269230769231,528.6710196779964,564.2828264758497,660.7334525939177,560.240733452594,3.15,2
ARAGARÇAS,GO,212,472.1306603773585,506.2632075471698,497.97877358490564,499.5443396226415,552.6415094339623,505.7116981132075,1.9391304347826086,1
ARAGUANÃ,TO,83,448.1578313253012,474.3843373493976,463.5566265060241,472.3530120481928,547.710843373494,481.2325301204819,1.2743362831858407,0
ARAGUARI,MG,1430,510.6744755244755,550.1909790209791,537.3433566433566,571.4104195804196,670.5454545454545,568.0329370629371,3.2971464019851116,2
ARAGUATINS,TO,570,470.0731578947369,488.1082456140351,479.5207017543859,490.46596491228064,573.578947368421,500.34940350877196,1.8164933135215453,0
ARAGUAÍNA,TO,3411,488.60184696569917,515.6766637349751,503.59038405159777,524.0986514218704,633.6909997068309,533.1317091761947,2.542209302325581,1
ARAIOSES,MA,251,462.7561752988048,484.9880478087649,476.50597609561754,481.24940239043826,552.2709163346614,491.5541035856574,1.1407185628742516,0
ARAME,MA,270,457.1414814814815,481.52333333333337,456.96037037037036,479.6051851851852,524.6666666666666,479.9794074074074,1.2554347826086956,0
ARAPIRACA,AL,6745,491.1127798369163,521.5629948109711,509.79487027427723,539.3831578947369,630.8376575240919,538.5382920681986,1.8314296241709653,1
ARAPOEMA,TO,83,449.9168674698795,452.29638554216865,449.44939759036146,464.5024096385542,487.4698795180723,460.72698795180725,1.90625,0
ARAPONGAS,PR,1041,498.8244956772334,533.9193083573487,525.4703170028819,552.545148895293,613.0835734870317,544.7685686839577,3.2972,2
ARAPOTI,PR,175,508.42,544.6662857142858,534.8034285714286,563.4817142857142,593.9428571428572,549.0628571428572,3.5703125,2
ARAPUTANGA,MT,266,460.8511278195489,497.19887218045113,487.0954887218045,496.26992481203,615.4887218045113,511.3808270676692,2.758403361344538,1
ARARANGUÁ,SC,1104,506.03976449275365,541.7207427536232,534.5667572463768,561.7522644927536,639.1847826086956,556.6528623188406,3.4918367346938775,2
ARARAQUARA,SP,2801,521.8534094966083,554.7314530524812,548.3624419850054,578.1393787932881,680.2856122813281,576.6744591217422,3.800818124606671,2
ARARAS,SP,995,520.0166834170855,556.4121608040201,548.5323618090451,591.2031155778894,661.4874371859296,575.5303517587939,3.713810316139767,2
ARARI,MA,800,465.32612500000005,482.20175,471.00875,487.76262499999996,581.6,497.57984999999996,1.4976689976689976,0
ARARIPE,CE,569,475.80949033391914,497.7799648506151,488.459402460457,517.482776801406,603.2337434094903,516.5530755711775,1.1022187004754358,1
ARARIPINA,PE,1849,482.24012979989186,506.4273120605733,490.1125473228772,525.6974040021634,647.1822606814494,530.331930773391,1.4297832233741754,1
ARARUAMA,RJ,1242,501.561191626409,541.9768115942029,532.6758454106281,548.998309178744,634.0257648953301,551.8475845410628,2.575334143377886,2
ARARUNA,PB,464,476.79568965517245,501.81594827586207,489.70387931034486,509.1280172413793,612.0689655172414,517.9025,1.1963993453355155,1
ARATUBA,CE,318,470.9965408805031,487.86855345911954,474.3367924528302,491.1232704402516,566.9811320754717,498.2612578616352,1.091317365269461,0
ARAUCÁRIA,PR,1392,501.394683908046,537.8442528735632,529.5980603448276,547.7262212643678,617.528735632184,546.8183908045976,3.0513100436681224,2
ARAXÁ,MG,1199,512.3726438698916,548.5689741451209,537.0788156797331,575.9163469557965,693.0275229357799,573.3928607172644,3.647777777777778,2
ARAÇATUBA,SP,2265,522.0803973509934,551.6520971302429,542.7046357615894,584.7418543046358,666.384105960265,573.5126181015453,3.962971175166297,2
ARAÇOIABA,PE,305,468.3554098360656,488.50590163934424,478.23803278688524,493.57475409836064,521.4426229508197,490.0233442622951,1.3247863247863247,0
ARAÇOIABA DA SERRA,SP,213,502.69577464788733,543.9253521126761,536.9014084507043,562.393896713615,595.3051643192488,548.2443192488264,3.200626959247649,2
ARAÇUAÍ,MG,932,479.0348712446352,513.488948497854,500.3523605150215,515.9002145922747,613.6695278969958,524.4891845493563,1.7907869481765835,1
ARCOS,MG,423,518.528841607565,552.4572104018912,544.9659574468085,596.0229314420804,699.7163120567376,582.3382505910165,3.371331828442438,2
ARCOVERDE,PE,1956,489.41886503067485,518.5549079754601,508.4012781186094,537.6668711656441,609.120654396728,532.6325153374233,1.6920975199663724,1
AREADO,MG,409,495.24327628361857,535.8432762836186,519.9471882640587,555.3777506112469,652.2249388753056,551.7272860635696,2.6239495798319328,2
AREIA,PB,457,472.809409190372,499.53063457330416,486.95886214442015,498.4166301969365,591.3347921225383,509.81006564551416,1.3339350180505416,1
AREIA BRANCA,SE,752,472.09880319148937,497.64640957446807,490.4728723404255,492.81755319148937,590.6648936170212,508.7401063829787,1.5505154639175258,1
ARENÁPOLIS,MT,250,465.36359999999996,489.8908,477.8956,498.6056,574.56,501.26311999999996,2.627551020408163,0
ARINOS,MG,441,472.5691609977324,494.5238095238095,488.39206349206347,497.39569160997735,550.0226757369614,500.58068027210885,1.7693050193050193,0
ARIPUANÃ,MT,83,471.4,504.19397590361444,494.72530120481923,492.06746987951806,524.8192771084338,497.4412048192771,3.0950413223140494,0
ARIQUEMES,RO,1188,484.67306397306396,513.7984006734007,504.6,527.9202020202019,608.6363636363636,527.925606060606,2.5349428208386278,1
AROEIRAS,PB,437,467.1091533180778,493.4130434782609,475.28558352402746,482.45903890160184,593.7757437070939,502.40851258581245,1.0414141414141413,0
ARRAIAS,TO,263,450.9444866920152,469.874144486692,451.9133079847909,462.47338403041823,509.27756653992395,468.89657794676805,1.3468468468468469,0
ARROIO DO MEIO,RS,113,513.1867256637169,564.1575221238938,552.170796460177,601.2884955752213,710.9734513274336,588.3553982300884,3.996031746031746,2
ARROIO GRANDE,RS,221,475.27104072398186,505.8371040723982,499.1873303167421,502.94751131221716,534.2081447963801,503.49022624434383,1.8448795180722892,1
