NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,6242,488.023518103172,488.7758250560718,479.3909804549824,477.46401794296696,506.3088753604614,487.99264338353095,1.3837237676915568,0
ABAETÉ,MG,1054,518.6356736242884,532.6481973434535,514.8435483870968,541.2734345351043,544.7628083491461,530.4327324478179,2.1286821705426355,2
ABREU E LIMA,PE,3302,491.6547244094488,496.29391278013327,496.25684433676565,488.5489097516656,483.519079345851,491.25469412477287,1.5594985125371863,1
ACARAPE,CE,567,482.49329805996473,484.289065255732,485.4774250440917,479.9003527336861,482.57495590828927,482.9470194003528,1.395977808599168,0
ACARAÚ,CE,1216,485.82171052631577,491.41981907894734,485.9577302631579,503.2489309210526,502.0888157894737,493.7074013157894,1.3630532392559334,1
ACARI,RN,618,499.3333333333333,509.85080906148863,498.4705501618123,497.6210355987055,545.9223300970874,510.2396116504854,1.713060686015831,1
ACARÁ,PA,754,476.9375331564987,479.8771883289125,470.89854111405833,461.06790450928384,458.2493368700265,469.406100795756,1.3264346190028222,0
ACOPIARA,CE,1077,486.2623955431754,491.4437325905293,481.6291550603528,490.6787372330548,502.7669452181987,490.5561931290622,1.238095238095238,0
ACRELÂNDIA,AC,503,486.0648111332008,490.1582504970179,483.8226640159045,485.0731610337972,465.8051689860835,482.1848111332008,1.54590395480226,0
ACREÚNA,GO,600,499.6376666666666,503.6881666666667,496.591,502.8668333333333,511.4666666666666,502.8500666666666,2.2081151832460733,1
ADAMANTINA,SP,701,528.2427960057062,539.0577746077033,522.5359486447932,540.2524964336662,534.9500713266762,533.007817403709,3.450757575757576,2
AFOGADOS DA INGAZEIRA,PE,1032,497.20174418604654,500.4241279069768,496.1537790697674,511.2125968992248,509.2248062015504,502.8434108527132,1.5225193525686136,1
