CLUSTER,QTD_MUNICIPIOS,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
0,452,456.62566051103585,478.200093768275,476.21130702486766,465.159883247354,548.8425743913276,0.9141475579747012
1,669,481.46084049146174,508.07313409040313,503.92606591328644,508.6044494888743,603.0126031527748,1.3451937762819826
2,594,511.0309635529388,541.1319191753172,533.709503278246,562.6736430649438,645.528322529736,2.213235992964285
