MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,5535,469.5339837398374,537.4913821138211,493.97360433604337,495.07056910569105,487.8373983739837,496.7813875338753,1.0435349322210636,0
ABAETÉ,MG,833,497.07911164465787,573.8103241296519,530.0112845138055,544.2394957983194,516.5906362545018,532.3461704681873,1.8643589743589744,2
ABREU E LIMA,PE,2817,476.6666666666667,553.3035143769968,511.161199858005,512.3167909123181,472.25417110401133,505.1404685835995,1.2212749213011542,1
ACARAPE,CE,566,467.5086572438163,539.8697879858657,499.17190812720844,500.8411660777385,486.9257950530035,498.86346289752646,0.9777117384843982,0
ACARAÚ,CE,1064,470.875,545.5226503759399,507.4267857142857,518.4892857142856,500.0563909774436,508.474022556391,0.8042977743668457,1
ACARI,RN,581,478.3122203098107,561.9507745266782,518.440791738382,519.97917383821,525.3012048192771,520.7968330464716,1.4577312138728324,1
ACARÁ,PA,653,453.76722817764164,532.6263399693721,485.60857580398164,488.0425727411945,444.90045941807045,480.9890352220521,1.0276015228426396,0
ACOPIARA,CE,1161,464.73359173126613,535.4748492678725,499.21731266149874,507.09285099052545,466.18432385874246,494.54058570198106,0.783096926713948,0
ACRELÂNDIA,AC,433,456.40600461893763,538.8466512702079,491.0337182448037,492.44665127020784,460.3233256351039,487.81127020785226,1.1362359550561798,0
ACREÚNA,GO,487,477.49096509240246,546.9443531827516,510.38028747433265,513.1613963039015,473.264887063655,504.24837782340865,1.8741349480968859,1
ADAMANTINA,SP,449,523.5178173719377,597.5917594654788,552.0334075723831,564.7167037861915,567.4387527839643,561.0596881959912,2.6381031613976704,2
AFOGADOS DA INGAZEIRA,PE,927,478.0090614886732,553.0019417475728,513.6970873786408,530.3943905070118,501.5749730312837,515.3354908306364,1.1689412737799834,1
AFONSO CLÁUDIO,ES,589,487.8473684210526,565.7008488964346,514.3456706281834,531.4538200339558,497.2156196943973,519.3126655348049,1.7370030581039755,1
AFRÂNIO,PE,921,460.1610206297503,531.5684039087948,484.74332247557,502.57643865363735,455.656894679696,486.94121606948966,0.8363636363636363,0
AGRESTINA,PE,775,471.19587096774194,551.8092903225806,508.2972903225807,509.87961290322585,480.64516129032256,504.3654451612903,0.8612234580384226,1
AGUDOS,SP,430,513.0839534883721,585.4723255813954,545.4565116279069,554.3139534883721,528.1860465116279,545.3025581395349,2.361683848797251,2
AIMORÉS,MG,540,488.4831481481482,572.2211111111111,526.2522222222223,539.015,493.22222222222223,523.8387407407407,1.70066765578635,1
ALAGOA GRANDE,PB,893,468.8921612541993,543.0343784994401,495.47357222844346,502.0045912653975,478.0963045912654,497.5002015677492,1.0160018552875696,0
ALAGOA NOVA,PB,738,473.08983739837396,552.9505420054201,499.6109756097561,499.8428184281843,484.1463414634146,501.9281029810298,1.04102422907489,1
ALAGOINHA,PB,511,459.447553816047,526.5763209393347,483.4590998043053,486.08454011741685,433.1506849315069,477.7436399217222,0.8775752773375595,0
ALAGOINHAS,BA,3986,482.80953336678374,559.4054691419971,516.3219518314099,510.32676869041643,483.8585047666834,510.5444455594581,1.3574586155003763,1
ALCÂNTARA,MA,246,468.6869918699187,534.2845528455284,490.1975609756098,488.4357723577236,460.0813008130081,488.33723577235776,1.127857142857143,0
ALEGRE,ES,1303,498.8264006139678,575.8290867229471,522.7405986185726,540.9983115886416,525.9708365310821,532.8730468150422,1.788679245283019,2
ALEGRETE,RS,1739,484.68654399079935,570.7225991949396,524.5581368602645,516.0232892466935,489.41920644048304,517.0819551466359,1.9161058770749215,1
ALENQUER,PA,941,454.1092454835281,523.5331562167906,476.9139213602551,483.2807651434644,439.7662061636557,475.52065887353876,0.9340124003542959,0
ALEXANDRIA,RN,648,475.1484567901235,542.1466049382716,494.94228395061725,507.86466049382716,489.72222222222223,501.96484567901234,0.9520777479892761,1
