UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,CLUSTER
AC,26921.0,1.1635624418199226,467.5181754021025,543.2415809219569,505.156580364771,497.8705880167899,469.1519631514431,496.5877775714127,0
AL,63522.0,1.0763287922704994,476.5078807342338,551.0918768300746,508.45107521803476,515.8794150058249,494.0892918988697,509.2039079374075,0
AM,76418.0,1.0426000819264778,470.39460860006807,544.5724659111727,505.0111060221414,502.55974901201284,463.518804470151,497.21134680310917,0
AP,28092.0,1.113632500861204,468.9427630642176,546.5591769898905,503.70634700270534,499.42884095116057,470.48198775452084,497.823823152499,0
BA,284000.0,1.1188462187056882,480.94366619718306,558.8190845070422,514.7432302816901,514.9106126760563,503.8048591549296,514.6442905633802,1
CE,226612.0,0.9147688422417614,481.3494528092069,558.8121061550139,517.4804101283252,526.4187977688736,506.1058549414859,518.033324360581,1
DF,72790.0,2.1934000518128878,502.505559829647,581.2559444978706,542.773463387828,540.5077414480011,527.9076796263223,538.9900777579338,2
ES,79450.0,1.7384658825998172,499.365346758968,579.3419118942732,532.5776035242291,546.2520050346131,523.7671491504091,536.2608032724984,2
GO,131989.0,1.7505167881819597,491.83205342869473,565.6908757547976,525.0437642530817,528.9049799604512,515.0226155209904,525.2988577836032,1
MA,158370.0,0.9671400404333946,470.25597398497194,543.9960668055819,501.3995257940266,500.3424019700701,472.5506093325756,497.70891557744517,0
MG,418538.0,1.808129602370499,505.234912719992,582.2718185684454,538.1712073933548,551.4889854684641,540.0416688568303,543.4417186014174,2
MS,48461.0,1.721458715730396,491.25193248178954,565.748915622872,523.0413012525536,522.7963248798002,494.548193392625,519.477333525928,1
MT,62634.0,1.8824221738492024,482.8553038285915,557.975561196794,515.1941134208256,516.8179998084107,476.8458025992273,509.93775617076983,1
PA,208973.0,1.1533647207207265,474.56812076201237,551.295820034167,505.48436353021685,505.567986773411,491.2922722074143,505.64171266144433,0
PB,114257.0,1.0549249415163242,481.52887525490775,559.4969446073326,514.6802279072617,521.9656808773204,506.0873294415222,516.751811617669,1
PE,215360.0,1.1046199022293852,482.5229685178307,559.0941158989598,517.0034068536404,526.1649995356611,497.00835809806836,516.3587697808321,1
PI,92681.0,0.9294880074754142,473.9797229205555,546.9119409587728,504.5080189035509,509.8276097582028,490.5134817276464,505.14815485374567,0
PR,165354.0,2.2373137712153452,503.26310582144987,584.1931855292283,539.7406721337251,544.0572293382681,512.1028823010028,536.6714150247349,2
RJ,259888.0,1.88957977241188,502.2586502647294,585.9544715415872,543.9839176876192,548.3280293818876,541.2077510312134,544.3465639814074,2
RN,88394.0,1.1954802125981114,485.862664886757,564.2864990836482,521.899481865285,529.7131592642033,510.0889200624477,522.3701450324683,1
RO,42753.0,1.6512910942039782,475.3531798938086,550.8116272542278,508.7418169485182,507.80060814445767,464.62376909222746,501.466200266648,0
RR,9121.0,1.3392547226519782,483.18303914044515,554.5523517158206,514.8287358842232,513.9164565288894,469.0012060081132,507.0963578554984,0
RS,166188.0,2.2180963064167436,498.4156130406527,585.3080168243195,542.1641249669049,542.0610314824174,524.3159554239777,538.4529483476545,2
SC,87444.0,2.5700889827882665,506.0631512739581,588.3973171401125,542.7670966561457,550.4287475412834,525.6449842184712,542.6602593659943,2
SE,53670.0,1.0339814262722922,481.813355692193,556.4437972796721,512.9229662753866,515.790447177194,512.7974659959009,515.9536064840693,1
SP,627897.0,2.3400833811990926,507.2261804085702,587.4407980926808,547.6639348491871,554.5311230982152,531.6478658123864,545.701980452208,2
TO,37455.0,1.3162624964390688,475.4367160592711,544.7843198504873,504.4458203177145,506.77151782138554,481.0919770391136,502.5060702175944,0
