UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,CLUSTER
AC,12328.0,1.4096246543838753,470.4783176508761,503.314406229721,486.9005515898767,496.86354639844245,606.6855937702791,512.848483127839,0
AL,36477.0,1.1657426308550072,477.955108698632,506.48718370480026,488.40454532993385,518.4764399484607,638.1029141650903,525.8852383693834,1
AM,41905.0,0.8631704185412717,462.69056437179336,490.1346450304259,475.85027323708385,488.71145448037237,576.4262021238516,498.76262784870545,0
AP,12822.0,1.2373108040219165,469.07512088597724,501.1032288254562,478.52348307596316,493.00359538293554,607.3015130244892,509.80138823896425,0
BA,170695.0,1.1880611234277183,480.4857336184422,510.63257798998217,492.4683265473506,514.3887922903425,629.4813556343186,525.4913572160872,1
CE,137825.0,0.8668096971061692,479.60202865953204,511.53353092689997,496.5866591692363,524.3064182840558,633.513658625068,529.1084591329584,1
DF,43318.0,3.0040401843959295,506.7917239946442,542.5848030841682,524.9602151530542,549.9026039983379,641.3153885220925,553.1109469504594,2
ES,40949.0,1.9374197065392647,502.61900168502274,533.0590783657719,512.4862487484432,548.0273291167061,650.3133165645071,549.3009948960903,2
GO,81066.0,1.8202592579640275,486.7223065156786,518.4062936372832,501.21519502627496,527.4170540053784,638.8727703352823,534.5267239039796,1
MA,80157.0,1.0260848769340274,467.50449243359907,494.0551929338672,476.7905497960254,498.03318736978673,620.1484586498996,511.3063762366356,0
MG,211591.0,2.09500585636178,507.61077975906346,542.0609435183915,521.4173419474364,560.8865514128673,667.2190216029983,559.8389276481515,2
MS,25408.0,2.0648391220900146,488.4133461901763,516.4178762594458,500.7069859886648,528.7001180730479,621.6750629722922,531.1826778967255,1
MT,33409.0,2.3146069309314905,484.4265078272322,514.7328264838816,494.05872369720737,521.81155077973,618.984704720285,526.8028627016672,1
PA,114072.0,1.165217980667208,470.58096640718134,499.77572498071385,476.51905112560485,495.82539974752797,625.4518199032191,513.6305924328494,0
PB,69689.0,1.043098315432594,479.6959577551694,508.59899553731566,489.1749888791631,518.6483677481382,640.2295914706768,527.2695802780927,1
PE,126182.0,1.1179532542877548,481.63811003154166,510.1642151812462,495.7026319126342,525.0789779841816,634.2995038912047,529.3766878001617,1
PI,54575.0,0.9612789842867886,473.5200513055429,498.82029134218953,481.58599725148883,510.3475272560697,639.606779661017,520.7761293632615,1
PR,89470.0,2.6432168593760403,502.6633676092545,536.5067475131327,517.3302391863194,547.8722018553705,623.4972616519503,545.5739635632056,2
RJ,151796.0,2.180167981827339,500.9368883238029,539.6117051832723,520.6215348230521,549.1435386966717,654.2127592294922,552.9052852512583,2
RN,55563.0,1.2809283893291463,489.10656192070275,519.8921386534204,499.7884671454025,528.7155175206523,641.8407933336933,535.868695714774,1
RO,17807.0,1.8319868196522207,476.99086875947665,503.6469815241198,485.58825742685457,508.0064974448249,608.6797326893918,516.5824675689336,0
RR,4624.0,1.528761563733576,486.15549307958486,513.776838235294,496.6552335640138,512.2306012110728,611.4965397923876,524.0629411764706,1
RS,96604.0,2.5847051147035067,502.60772017721837,540.3783777069273,520.4857272990764,549.9512960125875,640.8780174733965,550.8602277338413,2
SC,52659.0,3.036852797881743,507.9525285326346,540.9026035435538,517.9012571450274,556.2358950986537,641.9996581780892,552.9983884995917,2
SE,36501.0,1.0387192087621642,480.66539546861725,507.51293663187306,488.23134708638116,515.6836278458123,648.6364757129942,528.1459565491356,1
SP,338686.0,2.782645184658701,510.4744305935291,547.6854800611776,530.5527358674406,566.1269656850297,647.5179960199123,560.4715216454179,2
TO,19377.0,1.463691374125657,474.05245394023837,498.8518862569024,482.32687206481904,508.03993394230275,617.5011611704598,516.1544614749446,0
