CLUSTER,QTD_UFS,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
0,10,493.40428099993323,498.9991203618165,491.22986262632566,488.20986527234334,497.9833759053433,1.0793442627810352
1,9,505.0229443751268,512.4034042393304,503.5880111881379,508.25168423992807,521.5972033296018,1.2327659945982985
2,8,523.4198115016693,537.3512416367374,526.1407864441228,537.621692969035,545.1814041838325,2.0134074214322393
