UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,CLUSTER
AC,26653.0,1.1612499046138656,451.94566090121185,486.088331519904,504.02926875023456,483.3120811916108,557.7098262859715,496.6170337297866,0
AL,69358.0,1.07603263997589,465.41941664984574,495.04543095244964,510.0810303065256,509.0657919778541,593.2203927448888,514.5664125263128,1
AM,71033.0,1.0545362102792608,452.65515605422837,487.0172722537412,504.5124899694509,483.37789478129883,543.7300972787297,494.2585820674897,0
AP,29189.0,1.0855247059953637,451.64116276679573,487.2770187399363,500.223433485217,475.5608208571722,561.4813799719072,495.2367631642057,0
BA,279925.0,1.0806530578264697,466.4253667946772,498.08744092167547,512.895449138162,502.85991997856564,582.7421630793963,512.6020679824953,1
CE,213883.0,0.907044394819948,470.5563036800495,503.14234324373604,516.7197556608052,520.2272204897071,600.4978422782549,522.2286930705106,1
DF,65930.0,2.180306097450907,493.8160958592446,528.6597922038526,539.3918170787199,538.061120885788,607.4585166085242,541.4774685272259,2
ES,69431.0,1.7455381200680982,490.53944203597814,522.8803344327462,531.044030764356,544.0922152928808,612.3495268684018,540.1811098788726,2
GO,120633.0,1.760336863171305,479.1133147646166,510.3268069267946,523.964808137077,524.5805127950064,599.4377989439042,527.4846483134797,1
MA,160661.0,0.9528135890250864,453.38445111134615,483.0692495378467,499.78998761367103,486.796961926043,564.8743627887291,497.58300259552726,0
MG,372050.0,1.7585935502916628,493.4607351162478,525.3751517269184,534.6366544819246,548.368110200242,618.0623034538369,543.9805909958338,2
MS,46656.0,1.717206668761428,476.2786501200274,505.81916795267483,520.3725673010974,516.1198302469136,575.5452674897119,518.827096622085,1
MT,58381.0,1.8953206001226495,468.49565783388425,499.8967420907488,512.6432161148318,507.2852263578904,570.2995837686918,511.7240852332095,1
PA,192716.0,1.1043602039508857,459.16460906203946,490.5940363021233,502.3437571348513,487.1746871043401,585.1687457190892,504.8891670644886,0
PB,113367.0,1.0154386794347956,469.8085430504468,500.75254527331583,513.7232104580697,512.1546428854957,601.7643582347597,519.6406599804176,1
PE,196020.0,1.0803918203987817,472.1050749923478,503.28423426181007,518.0348734822978,519.6539853076218,593.5736149372513,521.3303565962656,1
PI,92899.0,0.8841815765619339,460.58353373018014,488.65758404288533,503.5414902205622,500.7468293523074,591.8677273167634,509.0794329325396,0
PR,152453.0,2.1990740735104315,492.31496789174366,527.0889310148045,535.4258912582894,541.0921254419394,586.3525152014064,536.4548861616366,2
RJ,237760.0,1.8708675799868637,493.06286465343203,528.1115936238224,539.3541680686405,541.1356414030955,620.9298452220727,544.5188225942126,2
RN,87348.0,1.1567480372488426,476.67673558639007,506.8084970462975,520.273489948253,520.063892705042,603.4805605165544,525.4606351605073,1
RO,38725.0,1.614382336368504,460.8406352485474,492.7127359586831,508.3130432537121,496.8097275661718,556.3744351194318,503.0101154293094,0
RR,8422.0,1.4577302908708327,469.610543813821,502.64687722631203,514.1581690809784,501.04132035146046,554.8302066017573,508.45742341486584,0
RS,152455.0,2.231104879872299,487.4550752681119,528.0815696435013,537.2390042963497,540.9350057393985,599.8314256665901,538.7084161227904,2
SC,78266.0,2.5432871667715156,493.6293856847162,530.0622850279816,537.4711586129354,549.4540937316332,601.5636419390285,542.436112999259,2
SE,53631.0,0.9995492036996529,469.0500643284668,498.82432921258226,512.7222445973412,507.88910704629785,609.1051817046111,519.5181853778599,1
SP,570536.0,2.3210046392314974,497.90877087510694,532.5896555169173,543.3825535987212,552.8076792700197,606.7837612350492,546.6944840991629,2
TO,32361.0,1.236464268167705,460.55639195327717,487.23201075368496,505.4736009394024,497.379849201199,576.393807360712,505.407132041655,0
