UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,CLUSTER
AC,14978.0,1.154920737443938,475.98220056082255,508.3410335158232,506.46627720656966,494.25320470022695,592.5757778074509,515.5236987581786,0
AL,54546.0,0.9459346117663218,482.8970153631797,507.38063469365306,502.36902980970194,510.9593920727459,607.79928867378,522.2810721226123,0
AM,47486.0,0.8754738365315514,473.4719264625364,499.4282757023123,498.2518552836627,487.3808827865054,552.5540159204818,502.21739123109967,0
AP,18032.0,1.079511502076453,476.2159106033718,505.32451752440113,499.7548691215617,484.324794809228,583.027950310559,509.7296084738243,0
BA,218630.0,0.9723480205390638,486.1044916068244,514.0335512052326,507.18474363079173,508.75637606915797,614.6990806385217,526.1556486301057,1
CE,172281.0,0.8337829677303746,485.19607327563693,512.1483117697251,509.1798875093598,525.9150753710508,619.1229444918476,530.312458483524,1
DF,49654.0,2.1320411392405063,516.9767954243364,546.5914568816208,539.6142143633947,558.1481270391107,640.9030490997704,560.4467285616465,2
ES,48797.0,1.7215152457794562,511.8613418857717,539.9879172899974,530.2030616636268,559.1291308891939,649.1255609976023,558.0614025452384,2
GO,95464.0,1.6680365549594334,499.5283122433587,524.5728023129137,518.5201384815218,535.7311080616777,642.8576217212772,544.2419965641499,1
MA,111744.0,0.8497026130618807,468.9518470790378,494.4874328823024,490.2067627792096,485.2443388459335,590.2239046391752,505.8228572451318,0
MG,248051.0,1.790020294799918,517.0574333503997,546.1031993420709,535.5446291286872,570.2571096266494,663.1514486940185,566.4227640283651,2
MS,31028.0,1.8193364967277097,497.39411499290964,523.6468512311461,517.4473733402089,530.490373211293,605.4428258347299,534.8843077220574,1
MT,40988.0,2.061768858772753,493.10876354054847,518.1110300575778,511.71813701571193,521.6250390358153,602.499268078462,529.4124475456231,1
PA,151966.0,1.0173283276166267,475.43439124541027,501.1062375794585,493.5555986207441,487.6348860929419,595.0025663635287,510.5467359804165,0
PB,86906.0,0.8490558664052353,487.6318297931098,513.8204232158884,508.6424412583711,516.1576024670334,627.1003152831795,530.6705224035162,1
PE,151467.0,0.9574428981128336,490.11000283890206,516.3850838796569,512.8702469844917,529.1949725022612,620.6392151425723,533.8399042695769,1
PI,70238.0,0.805663007500475,477.9428784988183,499.92656254449156,496.56269113585233,504.1125444915858,616.3353170648367,518.975998747117,0
PR,113558.0,2.24889429562334,511.1826775744554,539.9110216805509,534.3476884059247,557.4954763204705,617.1797671674386,552.0233262297681,2
RJ,182354.0,1.7381218867726693,510.54983932351354,543.635365826908,534.4947201596895,556.592903363787,645.8534498831942,558.2252557114184,2
RN,72194.0,1.0834930213930307,495.670009973128,523.8801950300578,516.9132213203314,527.6808723716654,626.3321051610938,538.0952807712553,1
RO,22765.0,1.7100209370465775,484.35500109817707,507.67387217219414,502.6242169997804,506.6885657808039,598.5398638260488,519.9763039754008,0
RR,6041.0,1.3987410807453526,494.9945373282569,524.1571759642443,518.8003476245653,520.8366495613309,592.3489488495283,530.2275318655852,1
RS,109783.0,2.228614471523225,511.970209413115,543.3246103677254,538.5784666114062,561.4159150323821,640.8793711230336,559.2337145095324,2
SC,61708.0,2.628064085101244,517.0826456861347,546.7236906073766,538.0152265508524,569.1309133337654,644.1424126531406,563.0189777662539,2
SE,46848.0,0.913681342182632,487.16388106215857,511.90292648565577,505.5091978312841,511.50918288934423,636.9334870218579,530.6037350580601,1
SP,406244.0,2.2955218913379265,517.3001750179694,549.2334471401423,542.9642104252616,574.2680408818345,645.452585145873,565.8436917222161,2
TO,21468.0,1.2809098682888576,482.1142630892492,505.2730622321595,501.5879727967207,506.16735606484065,604.4522079373952,519.918972424073,0
