MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,MEDIA_GERAL,RENDA_FAMILIAR_SM_MEDIA
ABAETETUBA,PA,6237,488.02821869488537,489.0839185505852,479.5337983004649,477.54511784511783,506.4229597562931,488.12280262946933,0.9613219094247246
ABAETÉ,MG,1054,518.6356736242884,532.6481973434535,514.8435483870968,541.2734345351043,544.7628083491461,530.4327324478179,1.603855232100708
ABREU E LIMA,PE,3299,491.7951500454683,496.74522582600787,496.52622006668685,488.64946953622314,483.87390118217644,491.5179933313125,1.1859165424739195
ACARAPE,CE,567,482.49329805996473,484.28906525573194,485.4774250440917,479.9003527336861,482.57495590828927,482.94701940035276,1.0034722222222223
ACARAÚ,CE,1216,485.82171052631577,491.41981907894734,485.9577302631579,503.2489309210526,502.0888157894737,493.7074013157894,0.8740322580645161
ACARI,RN,618,499.3333333333333,509.85080906148863,498.4705501618123,497.6210355987055,545.9223300970874,510.2396116504854,1.3196829590488772
ACARÁ,PA,753,476.8913678618858,480.5144754316069,470.9019920318725,461.1620185922975,458.06108897742365,469.50618857901725,0.9302544769085768
ACOPIARA,CE,1076,486.714312267658,491.4281598513011,481.64265799256503,491.1347583643123,503.2342007434944,490.83081784386616,0.7828423566878981
ACRELÂNDIA,AC,502,486.1633466135458,491.1346613545817,483.9705179282869,485.27430278884464,465.8964143426295,482.4878486055777,1.1637199434229137
ACREÚNA,GO,600,499.63766666666663,503.6881666666667,496.59099999999995,502.8668333333333,511.46666666666664,502.8500666666666,1.744047619047619
ADAMANTINA,SP,701,528.2427960057062,539.0577746077033,522.5359486447932,540.2524964336662,534.9500713266762,533.007817403709,2.5230637813211847
AFOGADOS DA INGAZEIRA,PE,1031,497.2159068865179,500.9095053346266,496.6350145489816,511.3051406401552,509.2337536372454,503.0598642095054,1.0864022662889519
AFONSO CLÁUDIO,ES,617,518.9181523500811,530.1690437601296,509.62090761750403,533.7294975688817,551.5397082658022,528.7954619124798,1.5390932982917214
AFRÂNIO,PE,1023,483.458651026393,487.4561094819159,478.0992179863148,487.789247311828,481.8768328445748,483.73601173020523,0.8202054794520548
AGRESTINA,PE,901,482.5669256381798,496.46437291897894,487.67136514983355,481.5679245283019,491.65371809101,487.98486126526086,0.866386925795053
AGUDOS,SP,535,526.4452336448599,546.7218691588786,531.7822429906543,536.9794392523364,540.9345794392524,536.5726728971963,2.3462566844919786
AIMORÉS,MG,578,520.7596885813149,528.9441176470589,516.718339100346,528.6737024221454,529.2387543252595,524.8669204152249,1.6493142144638404
ALAGOA GRANDE,PB,1069,487.87923292797007,493.4063610851263,488.510757717493,484.08035547240416,497.32460243217963,490.24026192703457,0.9473981900452488
ALAGOA NOVA,PB,963,496.49543094496363,501.48089304257525,490.15649013499484,484.25171339563866,515.5555555555555,497.58801661474564,0.9078947368421053
ALAGOINHA,PB,567,477.21657848324514,481.6329805996473,471.82716049382714,467.86067019400355,472.2045855379189,474.14839506172837,0.8727272727272727
ALAGOINHAS,BA,4496,504.0769572953737,508.9875889679716,499.21739323843417,493.7966637010676,510.62722419928826,503.3411654804271,1.2670256111757858
ALCÂNTARA,MA,330,487.14181818181817,488.32848484848483,478.09787878787876,474.68030303030304,454.969696969697,476.64363636363635,1.0758317025440314
ALEGRE,ES,1661,522.6723660445515,529.1366646598435,509.19674894641787,524.8579771222155,537.1583383503913,524.6044190246839,1.6726941747572817
ALEGRETE,RS,2175,507.2976551724137,515.5926436781609,511.0452413793103,510.9276321839081,512.919540229885,511.55654252873563,1.8063448498546981
ALENQUER,PA,947,474.69461457233365,476.09017951425557,465.56314677930305,458.98489968321013,463.1467793030623,467.695923970433,0.8757119609438568
ALEXANDRIA,RN,718,498.08579387186626,500.4729805013927,487.7016713091922,491.42256267409476,521.6155988857938,499.8597214484679,0.8739270386266095
ALEXÂNIA,GO,485,487.1348453608247,498.86886597938144,496.0655670103093,494.96742268041237,495.21649484536084,494.4506391752578,1.6305309734513274
ALFENAS,MG,3464,526.8095554272518,537.057390300231,522.0298210161664,537.8626732101617,559.3475750577368,536.6214030023095,1.9404301075268817
ALHANDRA,PB,621,480.49919484702093,481.7056360708535,476.67874396135267,474.41610305958136,470.72463768115944,476.80486312399364,0.9952460850111857
ALIANÇA,PE,721,486.88793342579754,487.69570041608875,487.08183079056863,480.72496532593624,485.40915395284327,485.55991678224683,0.9518768046198267
ALMEIRIM,PA,498,470.64236947791164,472.9038152610442,465.21224899598394,453.0684738955823,439.19678714859435,460.20473895582336,0.990909090909091
ALMENARA,MG,1544,493.84915803108805,500.6490284974093,494.83847150259066,496.99190414507774,497.1373056994819,496.69317357512955,1.1397394881170018
ALMIRANTE TAMANDARÉ,PR,1107,510.493044263776,530.73369467028,521.3467028003614,512.380487804878,513.2791327913279,517.6466124661247,2.054767309875142
ALPINÓPOLIS,MG,1071,516.6063492063493,521.475350140056,507.74024276377224,539.6653594771242,537.4789915966387,524.593258636788,1.7923404255319149
ALTA FLORESTA,MT,1221,503.5887796887797,510.72260442260443,497.95569205569205,504.265601965602,506.35544635544636,504.5776248976249,2.0743325242718447
ALTA FLORESTA D'OESTE,RO,609,496.23300492610844,504.7233169129721,488.8422003284073,498.00147783251236,486.1740558292282,494.79481116584566,1.422496984318456
ALTAMIRA,PA,5813,488.49938069843455,496.929468432823,484.9003612592465,477.8232754171685,494.5191811457079,488.53433339067607,1.3957806973218798
ALTO ALEGRE,RR,182,482.528021978022,475.9868131868132,461.6791208791209,461.9697802197802,430.54945054945057,462.5426373626374,1.1444223107569722
ALTO DO RODRIGUES,RN,707,492.1376237623762,484.25176803394623,485.2154172560113,477.0925035360679,486.67609618104666,485.07468175388965,1.100411946446962
ALTO PARAÍSO,RO,241,492.78589211618254,493.20248962655603,481.7203319502075,477.3630705394191,445.3941908713693,478.09319502074686,1.178191489361702
ALTO SANTO,CE,420,482.46976190476187,487.11499999999995,477.8066666666666,479.9211904761905,481.5238095238095,481.76728571428566,0.8682795698924731
ALTOS,PI,2119,484.78570080226524,485.922180273714,478.1129306276546,480.1258140632374,480.89664936290706,481.9686550259556,0.9446952595936795
ALVARÃES,AM,167,463.7215568862275,453.7305389221557,456.6508982035928,441.6293413173653,429.10179640718565,448.9668263473054,0.9142857142857143
ALVINÓPOLIS,MG,562,513.3937722419929,519.5841637010676,505.99857651245554,520.6434163701067,516.5836298932385,515.2407117437723,1.587916063675832
ALVORADA,RS,3017,501.75773947630097,521.1932051706993,520.846105402718,510.0710308253232,516.8114020550215,514.1358965860126,1.9812537794799436
ALVORADA D'OESTE,RO,531,496.8412429378531,500.0080979284369,486.9708097928437,484.1713747645951,487.3069679849341,491.0596986817326,1.4682486631016043
ALVORADA DO SUL,PR,864,508.5917824074074,515.540162037037,505.20694444444445,506.66550925925924,494.02777777777777,506.0064351851852,2.056141154903758
ALÉM PARAÍBA,MG,842,518.3877672209026,534.1142517814727,520.2774346793349,536.9914489311163,558.5748218527316,533.6691448931116,1.8487437185929647
AMAMBAI,MS,790,492.7706329113924,500.77898734177217,493.3796202531646,496.9743037974684,480.9113924050633,492.9629873417722,1.3706477732793523
AMAPÁ,AP,246,465.6605691056911,464.3260162601626,453.3252032520325,445.4719512195122,440.1626016260163,453.78926829268295,0.9122807017543859
AMARANTE,PI,844,476.3964454976303,475.32097156398106,464.48222748815164,461.5946682464455,450.37914691943126,465.6346919431279,0.7608303249097473
AMARANTE DO MARANHÃO,MA,659,485.92625189681337,479.30864946889227,470.12883156297426,482.1532625189681,464.9165402124431,476.4867071320183,0.97045191193511
AMARGOSA,BA,1259,494.4425734710087,501.3586973788721,489.8717235901509,482.57037331215247,493.24861000794283,492.29839555202545,0.8692544843049327
AMERICANA,SP,3738,542.4813536650615,557.9234082397004,543.3634831460674,570.1288657035849,562.8089887640449,555.3412199036918,2.980054774946416
AMONTADA,CE,1008,477.3741071428571,480.4661706349207,471.6768849206349,490.5359126984127,470.6547619047619,478.1415674603175,0.9021739130434783
AMPARO,SP,1591,532.3854179761156,549.3228158390949,535.0778126964174,559.3847894406034,561.4707730986801,547.5283218101823,2.5863200403836446
AMPÉRE,PR,564,511.6489361702128,529.0666666666666,508.82712765957444,524.8572695035461,521.2411347517731,519.1282269503547,2.0044313146233383
AMÉLIA RODRIGUES,BA,584,488.07945205479456,495.0352739726027,493.64554794520546,482.4979452054794,510.0,493.8516438356164,1.1443385650224216
ANAGÉ,BA,532,480.8513157894737,491.84248120300754,478.55864661654135,475.15714285714284,497.96992481203006,484.87590225563906,0.8298153034300791
ANAJATUBA,MA,334,480.73802395209583,479.1173652694611,473.5263473053892,473.17485029940116,488.0239520958084,478.9161077844311,0.9010934393638171
ANAJÁS,PA,329,469.52492401215807,476.91367781155014,457.8224924012158,455.81337386018237,457.14285714285717,463.4434650455927,0.7947952218430034
ANAMÃ,AM,159,460.75471698113205,457.71446540880504,457.4383647798742,456.145283018868,392.2012578616352,444.85081761006285,0.7663230240549829
ANANINDEUA,PA,19314,505.8155483069276,514.4252096924511,503.2317593455524,496.95212799005907,521.0759034896965,508.3001097649373,1.3361511320199941
ANANÁS,TO,473,474.61437632135306,476.938266384778,468.7139534883721,473.5329809725159,473.276955602537,473.41530655391114,1.1021505376344085
ANASTÁCIO,MS,456,488.1361842105263,486.39473684210526,486.23333333333335,477.5355263157895,456.3157894736842,478.92311403508774,1.1767299864314789
ANCHIETA,ES,1382,517.4557163531115,528.5542691751085,515.6550651230102,526.2550651230101,543.2416787264833,526.2323589001447,1.6476057055527253
ANDRADAS,MG,772,533.0809585492228,542.720207253886,526.6764248704663,547.0796632124352,555.6217616580311,541.0358031088083,2.120133819951338
ANDRADINA,SP,1608,514.0696517412936,524.9633706467662,518.110012437811,525.6151741293532,539.5149253731344,524.4546268656716,2.148482469911041
ANDRELÂNDIA,MG,988,507.019028340081,518.224089068826,504.6200404858299,513.5376518218624,535.0202429149798,515.6842105263158,1.4866852146263911
ANGICOS,RN,1312,482.7692835365854,483.1586890243902,476.3554115853659,476.60762195121947,468.4146341463415,477.4611280487805,0.9564983888292159
ANGRA DOS REIS,RJ,2462,509.6229082047117,527.2882209585703,516.9277822908205,518.4682778229081,537.7985377741674,522.0211454102356,1.98913371566556
ANORI,AM,155,468.761935483871,466.00967741935483,471.5,458.92,479.2258064516129,468.8834838709678,0.8698347107438017
ANÁPOLIS,GO,9960,522.9287248995984,529.3722289156627,519.5429618473896,529.0771385542168,555.0281124497992,531.1898333333334,1.8863362831858408
APARECIDA,SP,736,513.1222826086956,534.6111413043478,527.0580163043478,536.9203804347826,536.6847826086956,529.6793206521738,2.0442895683453237
APARECIDA DE GOIÂNIA,GO,8843,505.94387651249576,514.150944249689,506.499932149723,504.7905009612123,518.7673866334954,510.0305281013231,1.6939512082143133
APARECIDA DO TABOADO,MS,300,498.2876666666666,497.999,494.4483333333333,497.8453333333334,502.3333333333333,498.1827333333334,1.8401639344262295
APIAÍ,SP,590,498.6101694915254,521.7361016949152,514.042033898305,511.4257627118644,519.5593220338983,513.0746779661017,1.6660919540229886
APODI,RN,1936,497.6793904958678,497.61229338842975,487.3126549586777,500.67381198347107,513.7809917355372,499.4118285123967,0.9640759592795615
APUCARANA,PR,2634,520.691761579347,534.5941154138193,523.019589977221,529.6672741078208,523.6598329536827,526.3265148063782,2.332588681288925
APUÍ,AM,190,486.2842105263158,490.70526315789476,480.47526315789474,482.65263157894736,434.42105263157896,474.9076842105263,1.2455673758865249
AQUIDAUANA,MS,1370,490.4985401459854,492.9029197080292,488.2866423357664,487.6985401459854,470.0,485.87732846715323,1.3132942326490713
AQUIRAZ,CE,1456,495.370260989011,505.954739010989,500.4348901098901,507.660576923077,519.8763736263736,505.85936813186817,1.0759493670886076
ARACAJU,SE,24605,521.0667222109327,529.8612599065231,517.9457102214997,526.2324405608616,557.3541963015647,530.4920658402764,1.6920351782218217
ARACATI,CE,2397,487.78848560700874,498.78406341259904,496.88068418856903,496.3803504380475,513.6003337505215,498.6867834793491,0.9874037227214377
ARACI,BA,539,488.43135435992576,498.3985157699443,483.91595547309834,487.3641929499072,512.8385899814472,494.1897217068646,0.9371639784946236
ARACOIABA,CE,1006,483.6924453280318,486.74015904572565,480.625944333996,480.5584493041749,497.89264413518885,485.90192842942344,0.7389240506329114
ARACRUZ,ES,2570,523.3210505836577,535.3433852140078,517.8368482490272,536.2777042801556,542.7470817120623,531.105214007782,1.9649025069637882
ARAGARÇAS,GO,514,498.38035019455253,504.49066147859924,494.7017509727627,488.481906614786,480.0,493.2109338521401,1.4601328903654485
ARAGUANÃ,TO,190,472.5842105263158,472.26210526315793,467.4836842105263,450.6810526315789,433.05263157894734,459.2127368421053,1.050561797752809
ARAGUARI,MG,2694,524.831737193764,537.6455085374907,525.8336302895323,535.4272828507795,556.7409057164068,536.0958129175947,2.082263790278536
ARAGUATINS,TO,1272,487.4643867924528,487.65361635220125,476.8555817610063,477.7084119496855,488.19182389937106,483.57476415094345,1.0921372191863996
ARAGUAÍNA,TO,8139,499.60751935127166,501.3214154072982,493.450743334562,493.71589875906136,517.6975058360978,501.15861653765813,1.5510516689529035
ARAIOSES,MA,551,475.3869328493648,472.22232304900183,468.635390199637,464.80018148820324,467.15063520871144,469.63909255898363,0.8616951379763469
ARAME,MA,387,466.8268733850129,471.1956072351422,457.8826873385013,462.58320413436695,432.2997416020672,458.1576227390181,0.8368869936034116
ARAPIRACA,AL,11091,495.9461274907583,503.4981336218555,496.39074023983414,499.45180777206747,522.8239112794157,503.62214408078614,1.205858476525504
ARAPOEMA,TO,194,478.88917525773195,474.19278350515464,463.8948453608248,462.8989690721649,467.11340206185565,469.3978350515464,1.323293172690763
ARAPONGAS,PR,1947,516.7769388803287,527.4842321520288,517.8425783256291,527.5907550077042,517.8736517719568,521.5136312275295,2.489426596177308
ARAPOTI,PR,325,510.0092307692308,519.8618461538462,516.8067692307693,516.7901538461538,502.0923076923077,513.1120615384615,1.9625279642058167
ARAPUTANGA,MT,546,491.25457875457874,497.5236263736264,487.01941391941386,486.8624542124543,498.53479853479854,492.23897435897436,1.753440366972477
ARARANGUÁ,SC,1390,529.0388489208633,537.1798561151079,525.021510791367,540.3004316546762,536.6043165467626,533.6289928057554,2.318621867881549
ARARAQUARA,SP,5311,537.6883072867633,551.1987761250235,539.7703633967237,553.1839578233854,561.8753530408586,548.7433515345509,2.3830132832803925
ARARAS,SP,2116,538.291965973535,550.60713610586,538.5015122873345,559.3697542533081,559.4328922495274,549.2406521739131,2.4960908413998513
ARARI,MA,1269,479.3768321513002,479.50252167060677,474.42939322301027,472.33640661938534,469.97635933806146,475.1243026004728,0.8974507531865585
