UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,CLUSTER
AC,13667.0,1.1622028785070921,478.2776761542402,511.4240725835955,502.95258652227994,506.76658374185996,621.2848467110558,524.1411531426063,0
AL,40329.0,1.0343021192127122,487.71410399464406,518.7291874333606,507.66867266731134,528.6339086017506,647.5419673188028,538.0575680031739,1
AM,38246.0,0.9007572253026301,476.3546044030749,506.1086623437745,496.79704805731325,500.6016655336505,596.0618103853998,515.1847581446425,0
AP,13849.0,1.0174401065855947,475.6581630442632,510.9267456134017,496.8856235107228,497.67177413531664,615.299299588418,519.2883211784243,0
BA,175164.0,1.0502762870137523,487.07463234454565,520.9203632024845,510.1458107830376,522.6962937589915,644.6578063985751,537.098981297527,1
CE,145938.0,0.8401149954323125,491.0257492907948,522.8105126834685,511.51593279337794,538.2472906302676,656.6740670695775,544.0547104934973,1
DF,42911.0,2.2212275709430083,512.9347929435343,550.4517070215096,544.2150031460465,561.3885111043788,664.4575982848221,566.6895225000583,2
ES,40159.0,1.7612237202579777,506.5776139844119,544.3881247043005,530.902203740133,562.8999178266391,674.357429218855,563.825057894868,2
GO,85905.0,1.6852734861778913,493.8309050695536,528.7928572260056,517.9936813922357,539.9098562365403,659.6260985972878,548.0306797043245,1
MA,88482.0,0.9350987371066734,477.8948678827333,504.61107908953244,492.21175380303345,508.2356942655003,633.4911055355892,523.2889001152777,0
MG,206589.0,1.8640402192939092,511.973621054364,550.7967137650118,538.0303723818791,576.3149475528706,686.3566792036362,572.6944667915523,2
MS,27602.0,1.7757291326713922,494.78479095717705,525.8888921092674,517.0412904861967,537.9718136366929,639.9318889935512,543.1237352365771,1
MT,34954.0,2.069959910133637,489.96683641357214,522.9799450706643,511.7563225954111,531.1574497911541,639.353435944384,539.0427979630371,1
PA,125911.0,1.0492575466686611,476.85061829387416,510.0238517683126,493.8324221076793,502.99875308749813,633.581498042268,523.4574286599264,0
PB,67671.0,0.9267192902339012,490.56336540024535,522.1901405328723,511.1849315068493,529.9481934654432,661.3660208952136,543.0505303601245,1
PE,122216.0,1.0050654453898336,492.89720085749826,523.9307922039667,515.3926482620934,540.6063101394253,655.1610263795247,545.5975955685018,1
PI,57068.0,0.8576809437243239,482.8904131912805,512.1946660124764,498.644951636644,523.0129003995235,653.9692997827153,534.1424462045279,1
PR,94630.0,2.3004777356817225,507.978470886611,543.5580587551516,533.8368022825742,560.5097717425765,642.082003592941,557.5930214519707,2
RJ,161866.0,1.8397320188495303,506.05053068587597,548.1618610455563,538.8557090432827,559.5527664858587,669.9000407744678,564.5041816070083,2
RN,60457.0,1.1329919764105363,496.38831566237167,528.1684684982715,518.4647220338422,536.8649337545694,654.1859503448732,546.8144780587855,1
RO,18255.0,1.7130863364070432,482.8315749109833,515.2633196384552,503.94530813475757,518.4746754313886,631.3886606409203,530.380707751301,0
RR,4577.0,1.360328110785975,494.9037142232904,527.967249289928,517.2435219576141,527.4447236180905,629.1369892942977,539.3392396766441,1
RS,97705.0,2.2740428746345,504.0083547413131,544.7723975231564,538.2788854203982,561.1752489637173,660.0133053579654,561.6496384013101,2
SC,54202.0,2.688109046326802,510.79310542046414,548.0458470167152,538.9918434744105,569.3973672558208,665.0337625917863,566.4523851518394,2
SE,41354.0,0.9449956871108938,488.1408110460899,520.4777772404119,507.4994220631619,522.7689389176379,665.6497557672776,540.9073410069159,1
SP,361956.0,2.3505392867113053,511.72694692172524,552.3152082021019,546.5832932732155,575.1831391108312,665.2721877797302,570.2161550575208,2
TO,18391.0,1.3128329431729506,483.96769071828606,513.0717416127453,500.7473873090098,520.811804687075,640.2642596922408,531.7725768038713,0
