NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA,CLUSTER
ABAETETUBA,PA,4380,464.50315068493154,473.2758675799087,492.72573059360735,476.5966210045662,636.082191780822,1.1539637252904014,1
ABAETÉ,MG,529,492.04820415879016,523.6862003780718,539.5155009451796,547.0434782608696,680.9829867674858,2.0779220779220777,2
ABREU E LIMA,PE,1687,475.6967990515709,499.807231772377,518.2647895672792,497.2877296976882,625.7142857142857,1.2966222645099903,0
ACARAPE,CE,374,467.3390374331551,487.1184491978609,507.95240641711234,506.52139037433153,671.4973262032086,1.0053418803418803,0
ACARAÚ,CE,1013,478.3607107601185,489.7323790720632,510.916485686081,530.8217176702863,757.2556762092794,1.1225314183123878,0
ACARI,RN,410,489.54024390243904,516.4321951219513,530.4290243902439,528.0385365853658,693.3658536585366,1.6228070175438596,2
ACARÁ,PA,669,451.84753363228697,463.87563527653214,479.1136023916293,457.7431988041854,580.2989536621824,0.9827387802071348,1
ACOPIARA,CE,934,464.9203426124197,486.1110278372591,507.5926124197002,503.4594218415417,668.8436830835118,1.068683957732949,0
ACRELÂNDIA,AC,238,464.07941176470587,474.7058823529412,499.3617647058824,480.4411764705882,601.9327731092437,1.2329192546583851,1
ACREÚNA,GO,375,473.3096,492.4562666666667,515.6645333333333,506.4042666666667,652.0,1.884868421052632,0
ADAMANTINA,SP,414,524.5350241545893,551.0876811594203,554.2210144927536,580.1442028985507,691.0628019323672,2.2855579868708973,2
AFOGADOS DA INGAZEIRA,PE,985,482.57167512690353,504.0587817258884,525.4146192893402,530.769035532995,665.746192893401,1.1809954751131222,0
AFONSO CLÁUDIO,ES,396,491.99545454545455,522.940404040404,529.5830808080808,533.6565656565657,693.0808080808081,1.8704156479217604,2
