CLUSTER,QTD_UFS,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
0,10,457.94304519061734,489.39387252840623,504.7873088896836,491.2209398455924,567.7360445868637,1.154676697910224
1,9,472.11573609248796,503.0867886313538,516.8714720929288,514.665834422164,593.1583064259297,1.2911240693671122
2,8,492.90010488728586,528.0172779426738,537.3752805225728,544.6772487167781,606.6072733324621,2.1079529285308656
