COD_MUNICIPIO,UF,QTD_PARTICIPANTES,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA,MUNICIPIO,RENDA_FAMILIAR_SM_MEDIA
1100015,RO,391,480.1107416879795,557.4429667519182,505.76393861892586,517.9698209718671,463.4782608695652,504.95314578005116,ALTA FLORESTA D'OESTE,1.549607072691552
1100023,RO,2648,475.34595921450153,551.8685422960725,508.87813444108764,506.8959592145015,453.76888217522657,499.35149546827796,ARIQUEMES,1.7789286771234092
1100049,RO,3012,484.0462151394422,560.8166998671978,519.3809096945552,520.895219123506,477.17131474103587,512.4620717131473,CACOAL,1.9366314976839938
1100056,RO,356,471.56488764044946,551.2943820224718,505.7971910112359,503.3176966292135,452.24719101123594,496.8442696629213,CEREJEIRAS,1.6386198547215496
1100064,RO,366,482.05245901639347,551.6724043715847,512.9409836065573,516.194262295082,476.9945355191257,507.97092896174865,COLORADO DO OESTE,1.8883610451306414
1100098,RO,623,481.0422150882825,555.544783306581,509.29117174959873,522.1889245585875,467.57624398073835,507.1286677367576,ESPIGÃO D'OESTE,1.727391874180865
1100106,RO,1934,458.44720785935885,527.8135470527404,487.3898138572906,482.37730093071355,411.5511892450879,473.51581178903825,GUAJARÁ-MIRIM,1.3886418755052548
1100114,RO,1154,466.936308492201,546.6804159445406,502.66733102253033,500.1928076256499,430.1213171577123,489.31963604852683,JARU,1.681760607979734
1100122,RO,3593,477.3716114667409,551.13754522683,510.29963818536044,509.94714723072644,468.76704703590315,503.50459782911213,JI-PARANÁ,1.8722416993194473
1100130,RO,441,472.0764172335601,548.3022675736961,502.4546485260771,504.56870748299315,434.4671201814059,492.3738321995464,MACHADINHO D'OESTE,1.3987108655616942
1100148,RO,333,467.93573573573576,544.9906906906907,498.2912912912913,510.12312312312315,442.22222222222223,492.7126126126126,NOVA BRASILÂNDIA D'OESTE,1.4669211195928753
1100155,RO,987,475.49554204660586,550.5059777102331,504.0439716312057,503.6108409321175,463.9311043566363,499.5174873353597,OURO PRETO DO OESTE,1.7456487341772151
1100189,RO,870,478.2603448275862,550.0618390804598,510.1803448275862,509.9735632183908,463.95402298850576,502.48602298850574,PIMENTA BUENO,1.9189478186484175
1100205,RO,18468,476.39282001299546,551.6771063461123,510.8728232618584,507.5933181719732,475.35520901017975,504.3782553606238,PORTO VELHO,1.7619018429978341
1100254,RO,506,470.8407114624506,551.3768774703558,508.4122529644269,512.3231225296443,469.60474308300394,502.51154150197624,PRESIDENTE MÉDICI,1.6613418530351438
1100288,RO,2028,477.070315581854,553.4028599605523,507.6307692307692,508.5973372781065,455.1972386587771,500.3797041420118,ROLIM DE MOURA,1.6591580502215657
