NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA
-0.6825344066051875,-0.772158631432865,-0.9568779253409871,-1.0681274794092934,0.6011993251239067
0.8330050258338785,0.7245788067376667,0.6576459593168775,1.1844010574415023,0.7328042328882612
-0.05991911374661469,-0.052030678749976474,0.09981691861982006,-0.20179431454287827,-0.20416673851590725
-0.8008761440225318,-0.7890390227261732,-0.5793277333428186,-0.2778498551374918,0.5495042315441091
-0.4019978829867507,-0.3574791794394481,-0.2634188264149816,0.12471299446178416,0.9770570573520113
0.14473432915734244,0.29503103791174623,0.15492833603151876,0.010855111216227703,1.392456314453698
-1.3550185170582114,-1.083829991880679,-1.6167638827153512,-1.572912513862309,-0.7157131557582451
-0.6762226860265705,-0.45181713521894123,-0.44886741435960326,-0.2590353573180467,0.11079425079481794
-1.015034812420131,-0.8870408492323804,-1.0019634427130737,-0.9938677807075507,-1.6122517677953634
-0.03935178380274637,-0.22791132362112826,-0.10709002515220216,-0.2150416173372818,-0.6289376197395644
1.9526890175512797,1.6425741868805008,1.5961461814941018,1.7091371263822375,1.529329409755406
0.35503321288865347,0.030722418104995257,0.4052517623514985,0.5027093470162403,0.8008079708957909
0.5113628662525026,0.5724353370334818,0.30234764226850663,0.8355223053247122,0.8542035499033805
-1.0644105147924063,-1.0971981131713242,-1.0254809337164024,-0.24975533163546568,-0.2549807950677605
-0.4631941284653135,-0.19255476339434768,-0.2594342529964021,-0.08118242413901797,-0.2255292310042923
1.3943267045941794,1.5440795263670597,1.3424512147251837,1.0755351063580054,1.0030699311094355
0.44383571886540657,0.7457790043757274,0.7504130171261385,0.42600650144849894,0.14470070744888755
-0.6130305955290749,-0.68972266379683,-0.6920921394552875,-0.7188056239148464,0.055284775002694804
-0.5402794016929567,-0.26066466361988216,-0.5526546046622013,-0.7871195233947458,0.23643779991373645
-1.1801092226276901,-1.1454544363590173,-1.1537985195090317,-1.2388189305757409,-0.5019297702473671
0.07514954031820072,-0.0647454207045878,0.07407389674914036,-0.4202656968039188,-0.45960772443070513
-1.169572702780784,-1.3447037367109576,-1.3455363083416843,-1.1382635594435935,-0.7370177633161364
1.0804148752303822,0.8939190480812785,0.5597665647042148,0.7322475481117776,0.8606173888045667
0.2983899254369595,0.4290584659322497,0.5329677759109398,-0.012441224811583095,-0.22422830934100643
-1.6063704228186704,-1.4535469092985882,-1.6125105803913529,-1.6298010469122168,-1.3814290254874544
-0.4065721698216203,-0.7257685478181263,-0.6432976696045439,-0.2578843191092264,0.3723032150334109
-0.43224431390085627,-0.0631301789211673,-0.09612220677338801,-0.4942225473212656,-0.9275370366495188
1.3136381374617292,1.031471824991532,1.0244871592330487,1.2321707821063375,1.6249422875238244
-0.8936875910186945,-0.9212820159199708,-0.9027514598645583,-0.976330620502193,-0.367994877691414
-0.43215016104792947,-0.35902283025056037,-0.3978362391706455,-0.5405125401404133,0.17154733152015203
-1.5957579457087918,-1.2932865885924318,-1.7382716195186612,-1.6334098305403686,-1.3893967122514805
-0.28285302743976065,-0.16967694279529377,-0.05058701257853837,-0.16671919477011404,-0.418211382072711
0.3793963365977608,0.7196057431792322,0.7027163514585165,0.087285573503746,-0.6512288758525181
0.8287345689876112,0.3721667418853817,0.4233136838237252,1.2364773244738452,1.0594719658366734
0.1206062435440912,0.11208443220034339,-0.12226173040511237,0.039683017539939545,0.12161371061753594
0.13193194417409812,0.06511412040864968,-0.09911113174648115,-0.19388790477480256,-0.041016195321439824
-0.7355995086051716,-0.7682015579940042,-0.7900632933451416,-0.8892148649668579,-0.6140099412187058
-0.5848983647701845,-1.0288490476958256,-1.4628560115585765,-1.3684140614382923,-2.4833829737949027
-0.5747999657689669,-0.8364756254788938,-0.6346966463721885,-0.9071940261356498,-0.5073229867862541
-1.013990353815858,-0.7251907103815786,-0.7109582209103827,-0.7561238873384339,-1.0602210408749262
-1.0166391047862458,-0.7231557429679365,-0.617295866012486,-0.4261022478956417,-0.16074347604461686
-0.8581607207557216,-1.0816346578160678,-1.0411859502740186,-0.9218679321885118,-0.5674119569864567
