UF,QTD_PARTICIPANTES,RENDA_FAMILIAR_SM_MEDIA,NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA,NOTA_GERAL_MEDIA
AC,26653.0,1.2798261936491693,451.94566090121197,486.08833151990393,504.0292687502345,483.3120811916106,557.7098262859715,496.61703372978656
AL,64801.0,1.2942973923003562,460.4742750883474,490.28903566302984,506.823343775559,502.2377879970988,586.0674989583495,509.17838829647695
AM,71033.0,1.3060695252357337,452.65515605422837,487.0172722537412,504.5124899694509,483.37789478129883,543.7300972787297,494.2585820674897
AP,28677.0,1.3140425900263637,451.64202671130175,487.4866269135544,500.35990166335387,475.28969557485084,561.5238693029257,495.26042403319735
BA,278069.0,1.3026535736728764,466.33003139508537,497.93939957348715,512.7477151354519,502.60716800506356,582.5810140648545,512.4410656347885
CE,210431.0,1.193068200515817,470.8218161772743,503.5053461704787,516.9647604202803,520.8432512319953,601.5420731736293,522.7354494347317
DF,65930.0,2.180306097450907,493.8160958592446,528.6597922038526,539.3918170787199,538.061120885788,607.4585166085242,541.4774685272259
ES,70393.0,1.946027189336028,490.204266049181,522.6225136022048,530.8803744690524,543.5774977625617,611.6906510590542,539.7950605884107
GO,120471.0,1.9150517627388284,479.1665031418349,510.38263150467753,524.0160644470454,524.6386034813358,599.5042790381087,527.5416163226006
MA,156075.0,1.1788336730432665,452.23836040365217,481.75128944417736,498.6372154412942,485.1895780874581,563.8586576966202,496.33502021464034
MG,381238.0,2.0057451273045834,493.70624177023274,525.5693288706792,534.7189742365662,548.6460662368389,618.5562824272502,544.2393787083134
MS,47394.0,1.9016922388373263,476.08040258260536,505.7099485166899,520.303956196987,515.8769949782674,575.2137401358822,518.6370084820863
MT,57849.0,2.0073321980496357,468.6643053466785,500.1753841898736,512.8627530294387,507.4701827170737,570.4541132949576,511.9253477156045
PA,198581.0,1.2823114312549073,458.869310759841,490.1820390671817,502.0763285510699,486.8391860248463,584.4240889108223,504.47819066275224
PB,109876.0,1.3095443098774115,469.67188831045905,500.4857129855473,513.6927099639593,512.1649240962539,600.3820670574102,519.279460482726
PE,196909.0,1.3350439382912809,472.0328517233849,503.1774073302896,517.9729027114048,519.5850733079749,593.5826193825574,521.2701708911222
PI,91471.0,1.1821810867558376,460.93782400979546,488.9974232270338,503.81806692831617,501.1085130806485,592.4931399022641,509.4709934296115
PR,148493.0,2.4139587799537,493.41998747415704,528.3760971897665,536.5408578182136,542.6558787282903,586.0322035382139,537.4050049497283
RJ,238935.0,2.046232730655187,493.0824596647624,528.1180321007805,539.3416000167408,541.1740084123296,620.9213384393245,544.5274877267875
RN,87849.0,1.4890764962798422,476.91842252046126,507.0972429965053,520.5493357920978,520.322214254004,603.5485890562214,525.6871609238581
RO,39184.0,1.6899946628654658,460.6925607390772,492.5916853817885,508.230938648428,496.6436759902001,556.0162311147407,502.83501837484687
RR,8422.0,1.6875542732039777,469.610543813821,502.64687722631203,514.1581690809784,501.04132035146046,554.8302066017573,508.45742341486584
RS,152698.0,2.2662820283353295,487.43606137604945,528.1520419389907,537.2825989862342,541.0428715503805,599.8495068697691,538.7526161442848
SC,78266.0,2.614232654134363,493.6293856847162,530.0622850279815,537.4711586129354,549.4540937316332,601.5636419390285,542.436112999259
SE,57998.0,1.3179196460721236,469.35540363460814,499.308024414635,512.7330511396945,508.4840977275079,611.6162626297458,520.2993679092383
SP,571010.0,2.3848497959475248,497.90634121994356,532.5781326071348,543.3748629621198,552.8064524264023,606.7860457785328,546.6903669988267
TO,32036.0,1.5417152550920732,460.364733424897,486.88814458733924,505.2273660881508,497.1696653764516,576.7068298164564,505.271347858659
