NO_MUNICIPIO_PROVA,UF,QTD_PARTICIPANTES,NU_NOTA_CN_MEDIA,NU_NOTA_CH_MEDIA,NU_NOTA_LC_MEDIA,NU_NOTA_MT_MEDIA,NU_NOTA_REDACAO_MEDIA,RENDA_FAMILIAR_SM_MEDIA
ABAETETUBA,PA,5229,450.21197169630904,477.77689806846433,490.8756741250717,474.9154714094473,571.3520749665328,1.4585209003215434
ABAETÉ,MG,801,483.4126092384519,513.2247191011236,525.8008739076155,545.3770287141074,587.2659176029963,2.355693348365276
ABREU E LIMA,PE,2402,462.6891756869275,492.21960865945044,510.2022897585345,499.3135720233139,540.4829308909242,1.6086884704327717
ACARAPE,CE,580,446.88948275862066,476.87068965517244,498.4170689655173,499.1141379310345,579.9655172413793,1.4068047337278107
ACARAÚ,CE,1121,455.1386262265834,485.7257805530776,503.96066012488853,509.2707404103479,571.2578055307761,1.1043276661514683
ACARI,RN,504,468.178373015873,501.6380952380953,512.9113095238095,507.11071428571427,602.8571428571429,1.8621262458471761
ACARÁ,PA,646,435.090092879257,469.90959752321976,477.50216718266256,458.3862229102167,531.4241486068112,1.3445595854922279
ACOPIARA,CE,1161,446.6052540913006,478.23186907838067,493.0987941429801,495.50387596899225,520.1894918173988,1.2090690208667736
ACRELÂNDIA,AC,402,442.7179104477612,473.1995024875622,490.14800995024876,476.2592039800995,499.55223880597015,1.599562363238512
ACREÚNA,GO,456,463.875,489.7837719298245,508.1611842105263,500.34956140350874,540.2631578947369,2.283333333333333
ADAMANTINA,SP,398,506.4693467336683,534.7022613065327,542.4683417085427,561.6321608040201,615.0251256281407,3.568561872909699
AFOGADOS DA INGAZEIRA,PE,762,471.04199475065616,495.25118110236224,517.6064304461942,520.5444881889764,574.7506561679791,1.5524891774891776
AFONSO CLÁUDIO,ES,553,476.855877034358,508.46039783001805,516.3247739602169,534.662567811935,594.5388788426764,1.9982905982905983
AFRÂNIO,PE,932,439.39259656652365,466.4896995708155,484.7473175965665,494.9932403433477,513.7768240343347,1.2352631578947368
AGRESTINA,PE,797,455.1534504391468,490.6612296110414,505.0792973651192,503.8053952321205,541.8820577164366,1.285796766743649
AGUDOS,SP,403,495.3880893300248,531.863523573201,538.9027295285359,541.1521091811414,598.2630272952854,3.1920077972709553
AIMORÉS,MG,446,475.06255605381165,513.6793721973094,525.6636771300448,520.4441704035875,566.5022421524664,2.223132969034608
ALAGOA GRANDE,PB,868,452.1180875576037,480.40391705069123,497.95864055299535,486.6890552995391,555.7142857142857,1.4048804780876494
ALAGOA NOVA,PB,763,452.88466579292265,489.5629095674967,498.80458715596336,482.9737876802097,565.8453473132372,1.3729189789123197
ALAGOINHA,PB,556,439.2241007194245,468.40107913669067,484.70593525179856,468.47338129496404,535.7553956834532,1.3421461897356144
ALAGOINHAS,BA,4008,465.4477045908183,493.05895708582835,510.3311377245509,493.39962574850296,537.8842315369261,1.823824513082825
ALCÂNTARA,MA,280,439.56178571428575,464.6796428571429,482.8178571428571,474.15607142857147,525.1428571428571,1.5773480662983426
ALEGRE,ES,1193,487.86479463537296,515.8210393964795,521.4746018440904,529.1356244761107,588.0469404861693,2.3559147180192572
ALEGRETE,RS,1461,470.2895277207392,504.65160848733746,520.6624914442164,506.0114305270362,546.7624914442163,2.6120591581342434
ALENQUER,PA,1170,429.9531623931624,461.355641025641,475.8935042735043,456.7964957264957,498.44444444444446,1.2747252747252746
ALEXANDRIA,RN,662,454.8850453172206,478.09607250755283,497.22145015105735,498.29501510574016,566.8277945619335,1.360385144429161
ALEXÂNIA,GO,342,456.75584795321635,495.0052631578947,510.2461988304094,491.462865497076,534.8538011695906,2.186320754716981
ALFENAS,MG,2804,494.57425106990013,521.8698644793153,532.510057061341,547.4402639087018,618.8231098430813,2.8171091445427727
ALHANDRA,PB,478,445.25376569037655,474.45774058577405,492.1797071129707,476.67071129707114,536.4435146443515,1.5
ALIANÇA,PE,665,454.9637593984963,484.72616541353386,500.98210526315785,488.4580451127819,546.3157894736842,1.3858321870701513
ALMEIRIM,PA,299,427.9374581939799,463.89665551839465,474.09565217391304,457.52140468227424,490.70234113712377,1.3451086956521738
ALMENARA,MG,1332,457.5478228228228,490.1111111111111,507.32394894894895,500.3539039039039,537.2972972972973,1.6663533834586466
ALMIRANTE TAMANDARÉ,PR,863,473.22433371958283,512.5691772885284,526.0282734646582,509.76929316338357,546.1877172653534,2.549011532125206
ALPINÓPOLIS,MG,898,482.9673719376392,504.85979955456565,519.458574610245,546.0152561247216,597.3496659242762,2.303769401330377
ALTA FLORESTA,MT,1119,466.73628239499556,496.6441465594281,507.56139410187666,507.6022341376229,554.4950848972296,2.7461350691619204
ALTA FLORESTA D'OESTE,RO,396,465.7830808080808,495.7901515151515,506.704797979798,500.2729797979798,557.5757575757576,1.9444444444444444
ALTAMIRA,PA,5224,448.79104134762633,477.25698698315466,494.0589969372129,480.5329632465544,533.7748851454824,1.870913016656385
ALTO ALEGRE,RR,106,450.1377358490566,468.266037735849,477.1952830188679,464.08867924528306,454.7169811320755,2.2851239669421486
ALTO DO RODRIGUES,RN,569,451.5363796133568,474.87047451669594,497.75096660808435,479.139367311072,534.4815465729349,1.6270553064275037
ALTO PARAÍSO,RO,155,441.898064516129,476.5361290322581,491.89677419354837,482.54709677419356,492.9032258064516,1.6425438596491229
ALTO SANTO,CE,372,442.8021505376344,475.1956989247312,494.78629032258067,492.78548387096777,521.236559139785,1.2589041095890412
ALTOS,PI,1807,446.0091311566132,469.7645821804095,487.4540675152186,480.19690094078584,529.5074709463198,1.323960880195599
ALVARÃES,AM,101,430.0019801980198,452.91881188118816,471.2346534653465,450.8910891089109,480.0,1.396551724137931
ALVINÓPOLIS,MG,416,477.21009615384617,504.3971153846154,515.7853365384616,526.2550480769231,554.9519230769231,2.265021459227468
ALVORADA,RS,2275,468.6412307692308,512.9680879120879,528.8940219780219,507.4758241758242,555.2175824175824,2.495761429003936
ALVORADA D'OESTE,RO,379,450.02453825857515,485.1730870712401,501.645382585752,489.15435356200527,537.1503957783641,2.010615711252654
ALVORADA DO SUL,PR,647,467.2414219474498,499.0772797527048,515.5995363214838,502.5758887171561,536.9088098918083,2.477551020408163
ALÉM PARAÍBA,MG,776,484.8889175257732,515.996262886598,528.6305412371133,533.3106958762886,596.5463917525773,2.4425675675675675
AMAMBAI,MS,768,458.747265625,489.6953125,500.3354166666666,502.48203125000003,509.140625,2.062165058949625
AMAPÁ,AP,183,429.64972677595625,450.64590163934423,456.3863387978142,453.9491803278688,479.1256830601093,1.4750623441396509
AMARANTE,PI,680,430.0108823529412,456.2523529411764,477.45911764705886,458.4986764705882,507.6470588235294,1.0836477987421385
AMARANTE DO MARANHÃO,MA,645,437.57674418604654,459.1091472868217,479.42124031007756,478.7657364341086,511.90697674418607,1.3445205479452054
AMARGOSA,BA,1361,455.6259368111683,486.5908890521675,500.4985304922851,485.21932402645115,531.7119764878765,1.4002549394518802
AMERICANA,SP,3174,518.7435412728419,548.3866414618777,552.428922495274,582.3495904221802,624.0453686200378,4.4645979020979025
AMONTADA,CE,1015,442.8533004926108,467.084236453202,481.0689655172414,489.7809852216749,514.167487684729,1.2030332681017613
AMPARO,SP,1301,503.0290545734051,531.9079938508839,543.0039969254419,558.2813989239047,597.7248270561107,3.414565826330532
AMPÉRE,PR,453,472.7679911699779,518.6101545253863,524.798233995585,523.70353200883,568.7417218543046,2.598936170212766
AMÉLIA RODRIGUES,BA,611,457.1183306055646,488.0585924713584,502.43436988543374,487.79705400982,547.3977086743045,1.514765100671141
ANAGÉ,BA,520,441.41576923076923,472.15596153846155,487.7728846153846,477.54846153846154,539.4615384615385,1.185483870967742
ANAJATUBA,MA,296,434.5138513513514,458.1986486486486,482.0824324324324,467.5905405405405,511.8243243243243,1.2113821138211383
ANAJÁS,PA,196,420.619387755102,455.54030612244895,472.1984693877551,457.6438775510204,488.46938775510205,1.4381443298969072
ANAMÃ,AM,129,418.1356589147287,466.40232558139536,487.95968992248066,449.64031007751936,474.4186046511628,1.2852564102564104
ANANINDEUA,PA,17228,469.4658695147434,500.42163338750873,511.62618411887627,493.2788948223822,574.21639192013,1.8634640894447603
ANANÁS,TO,323,427.1665634674922,456.8835913312693,480.40557275541795,471.20030959752324,511.08359133126936,1.494459833795014
ANASTÁCIO,MS,407,444.13562653562656,471.4307125307125,486.5810810810811,472.8850122850123,484.5208845208845,1.7098976109215016
ANCHIETA,ES,1058,485.9434782608696,519.1837429111531,527.7378071833648,540.1859168241965,605.7466918714556,2.3563622170179546
ANDRADAS,MG,711,496.97088607594935,522.2789029535865,536.9915611814346,550.897046413502,614.9085794655415,2.9426450742240218
ANDRADINA,SP,1237,484.08472109943415,511.3321746160065,530.3114793856104,532.2717865804365,590.6871463217461,2.8403790087463556
ANDRELÂNDIA,MG,814,472.35761670761667,505.3740786240786,515.4472972972973,522.7427518427518,574.5208845208845,2.1291618828932264
ANGICOS,RN,1196,447.685618729097,476.25451505016724,495.2099498327759,485.1583612040134,526.989966555184,1.428721174004193
ANGRA DOS REIS,RJ,2133,475.21823722456634,512.4451476793249,529.0578527894983,520.3149085794655,559.6812001875293,2.560683424980361
ANORI,AM,107,433.95140186915893,457.82616822429907,477.9598130841121,467.9271028037383,498.13084112149534,1.1496815286624205
ANÁPOLIS,GO,8009,489.072431015108,517.9975902110126,531.3259333250094,537.6145336496442,612.8954925708578,2.8097421512568777
APARECIDA,SP,524,490.63912213740457,526.0082061068703,537.3973282442748,547.5641221374045,583.7404580152672,2.8593964334705078
APARECIDA DE GOIÂNIA,GO,8030,469.0583063511831,502.0400373599004,516.5547571606476,506.61262764632625,571.4196762141968,2.194167186525265
APARECIDA DO TABOADO,MS,243,477.75020576131686,502.2390946502058,516.5835390946502,521.2691358024691,565.679012345679,2.797752808988764
APIAÍ,SP,444,470.9990990990991,508.3923423423424,527.4171171171172,509.36486486486484,532.1171171171171,2.3058419243986252
APODI,RN,1591,463.6873664362036,486.7194217473287,502.60766813324955,508.450974230044,579.1074795725958,1.3676957001102537
APUCARANA,PR,2290,484.7250655021834,517.9811353711791,529.5835807860261,528.9299563318777,551.6681222707424,2.9554140127388533
APUÍ,AM,147,447.35918367346943,478.2578231292517,489.91904761904766,476.7074829931973,468.7074829931973,1.8350515463917525
AQUIDAUANA,MS,1136,451.3471830985916,475.88776408450707,493.13133802816895,479.93961267605636,503.7676056338028,1.8941136671177266
AQUIRAZ,CE,1332,463.0452702702703,496.64947447447446,512.4090840840842,509.12882882882883,577.2672672672672,1.6026162790697673
ARACAJU,SE,23363,489.5250481530625,519.2102170098019,529.4920814963832,532.9009973034285,622.5758678251937,2.807361939873057
ARACATI,CE,2068,456.79584139264995,490.8562379110251,510.18892649903285,505.6365087040619,547.3500967117989,1.4643760539629005
ARACI,BA,608,454.0027960526316,477.0759868421053,491.75,484.58717105263156,528.3552631578947,1.2884012539184952
