NOTA_CN_MEDIA,NOTA_CH_MEDIA,NOTA_LC_MEDIA,NOTA_MT_MEDIA,NOTA_REDACAO_MEDIA
-1.2356294998711759,-1.0287666368404247,-0.8110466267471061,-1.2483282231348884,-1.3832982799917821
-0.48536644854843203,-0.585640097603649,-0.5527312306375991,-0.3330166307324159,-0.06985111650586244
-1.396164058719955,-1.3812063303640785,-1.1851465372991508,-1.5161168039933834,-2.672979318371127
-1.4562401330772152,-1.053179949818504,-1.1709288281303587,-1.654465969770426,-1.7122137095675642
-0.516006124273109,-0.40995013729564994,-0.38305871769480415,-0.5665534824375448,-0.2075012768561892
-0.2322209481561482,-0.3242349858844471,-0.33515704455437556,0.07905443584458212,0.398787093794774
1.6574840573159482,1.558971072886191,1.696657038166218,1.1243112699060054,0.8241710492544145
1.1036468972813243,1.1408076126591618,0.8776645247872676,1.172571603302894,1.2963621323616483
0.06466518653823077,0.12507459790587314,0.10514130033541758,0.19379330328185831,0.58046451418589
-1.3400421061496672,-1.5718141581447673,-1.5577224875635916,-1.2644348117654478,-0.8077358775831625
1.5864954839839445,1.594796094685388,1.3345474450415724,1.779584747077521,1.9365162547232837
0.17426844326169053,-0.042247102565623716,0.08132328356178914,0.11807864547167644,-0.4494589865987289
-0.2639598833085516,-0.26722884706990163,-0.2786937918820424,-0.19367003272946642,-0.4727559765118738
-1.3591037793191216,-1.1304861758096334,-1.3728618833203112,-1.4130491052644867,-0.7533318546824785
-0.2246601030839988,-0.33763566193345845,-0.3321818312009994,-0.2555588276782363,0.6694766669698056
-0.012866036138960599,-0.2014299746156943,-0.05826794253424584,0.22362846186900662,0.36032310778980964
-0.8442712858239539,-0.9705031653614858,-1.0726304176003802,-0.538155331684171,0.2983506842929675
1.2869485393388793,1.144126122352264,1.098991774294622,1.1280107541936695,-0.270136122320667
1.0813320608515962,1.4052421132569757,1.3675220818880356,1.0417427728236042,1.105893983923551
0.32601442819891036,0.11634751026536998,0.1639176903203793,0.07186333087286106,0.3374351668122141
-0.8722517442249532,-0.7824978239799203,-0.7577322057733912,-0.7472165188775812,-0.8879657944315057
0.15228214991549321,0.0681331065900814,0.05747814951588218,-0.35012170275065674,-0.9818097649093445
0.9012055798207106,1.1713780096183741,1.3258955709351254,1.1045418546535497,0.5900238687922913
1.4786998484066138,1.3994498836469755,1.3792220035094112,1.4721958890788176,0.8536309513886736
-0.36753139879513785,-0.37905971531980714,-0.4977264343354836,-0.5114937915305896,0.947604820683545
1.5564828824888037,1.6815077176243465,1.8398194237881975,1.7232149919301416,0.8659449960145637
-0.7632120079118074,-0.9399530788840728,-0.9622943068700782,-0.6404108279569127,-0.3959472126572273
